name,price,currency,image_url,image_location
Farlin Baby Cotton Buds 200 pcs,400,BDT,https://chaldn.com/_mpimage/farlin-baby-cotton-buds-200-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128346&q=best&v=1&m=400&webp=1,images/Farlin_Baby_Cotton_Buds_200_pcs.jpg
SmartCare Baby Bottle and Accessories Liquid Wash 500 ml,550,BDT,https://chaldn.com/_mpimage/smartcare-baby-bottle-and-accessories-liquid-wash-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184051&q=best&v=1&m=400&webp=1,images/SmartCare_Baby_Bottle_and_Accessories_Liquid_Wash_500_ml.jpg
Pur Going Out Cup (Green) 250 ml each,529,BDT,https://chaldn.com/_mpimage/pur-going-out-cup-green-250-ml-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99641&q=best&v=1&m=400&webp=1,images/Pur_Going_Out_Cup_Green_250_ml_each.jpg
Lion Bottle & Nipple Brush (Blue) each,170,BDT,https://chaldn.com/_mpimage/lion-bottle-nipple-brush-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97605&q=best&v=1&m=400&webp=1,images/Lion_Bottle__Nipple_Brush_Blue_each.jpg
All-Max Maximum Protection 3 layer Medical Mask 50 pcs,400,BDT,https://chaldn.com/_mpimage/all-max-maximum-protection-3-layer-medical-mask-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121615&q=best&v=1&m=400&m=400&webp=1,images/All-Max_Maximum_Protection_3_layer_Medical_Mask_50_pcs.jpg
Birthday Celebration Balloon 20 pcs,150,BDT,https://chaldn.com/_mpimage/birthday-celebration-balloon-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D50627&q=best&v=1&m=400&webp=1,images/Birthday_Celebration_Balloon_20_pcs.jpg
Smartcare Silicon Baby Teether (6+ months) each,175,BDT,https://chaldn.com/_mpimage/smartcare-silicon-baby-teether-6-months-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D83899&q=best&v=1&m=400&webp=1,images/Smartcare_Silicon_Baby_Teether_6_months_each.jpg
Smartcare Silicon Nipple (3+ Months ) M each,50,BDT,https://chaldn.com/_mpimage/smartcare-silicon-nipple-3-months-m-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133757&q=best&v=1&m=400&m=400&webp=1,images/Smartcare_Silicon_Nipple_3_Months__M_each.jpg
Smartcare Silicon Nipple (6+ months) L each,50,BDT,https://chaldn.com/_mpimage/smartcare-silicon-nipple-6-months-l-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58909&q=best&v=1&m=400&webp=1,images/Smartcare_Silicon_Nipple_6_months_L_each.jpg
Smartcare Baby pacifier Medicine Feeder 10 ml,215,BDT,https://chaldn.com/_mpimage/smartcare-baby-pacifier-medicine-feeder-10-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D56325&q=best&v=1&m=400&webp=1,images/Smartcare_Baby_pacifier_Medicine_Feeder_10_ml.jpg
Smartcare Bottle & Nipple Brush Set each,265,BDT,https://chaldn.com/_mpimage/smartcare-bottle-nipple-brush-set-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133750&q=best&v=1&m=400&webp=1,images/Smartcare_Bottle__Nipple_Brush_Set_each.jpg
Kodomo Baby Bottle Cleanser Refill 700 ml,600,BDT,https://chaldn.com/_mpimage/kodomo-baby-bottle-cleanser-refill-700-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129832&q=best&v=1&m=400&webp=1,images/Kodomo_Baby_Bottle_Cleanser_Refill_700_ml.jpg
Farlin Baby Floss Toothpick 50 pcs,229,BDT,https://chaldn.com/_mpimage/farlin-baby-floss-toothpick-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109138&q=best&v=1&m=400&webp=1,images/Farlin_Baby_Floss_Toothpick_50_pcs.jpg
