name,price,currency,image_url,image_location
225 Parachute Just for Baby - Baby Shampoo 100 ml,199,BDT,https://chaldn.com/_mpimage/parachute-just-for-baby-baby-shampoo-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131916&q=best&v=1&m=400&webp=1,images/225_Parachute_Just_for_Baby_-_Baby_Shampoo_100_ml.jpg
260 Parachute Just For Baby - Baby Face Cream 100 gm,239,BDT,https://chaldn.com/_mpimage/parachute-just-for-baby-baby-face-cream-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110353&q=best&v=1&m=400&webp=1,images/260_Parachute_Just_For_Baby_-_Baby_Face_Cream_100_gm.jpg
Kodomo Baby Lotion 180 ml,680,BDT,https://chaldn.com/_mpimage/kodomo-baby-lotion-180-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169450&q=best&v=1&m=400&webp=1,images/Kodomo_Baby_Lotion_180_ml.jpg
Baby Soft Baby Face Cream 50 ml,140,BDT,https://chaldn.com/_mpimage/baby-soft-baby-face-cream-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174556&q=best&v=1&m=400&webp=1,images/Baby_Soft_Baby_Face_Cream_50_ml.jpg
Baby Soft Baby Lotion 100 ml,190,BDT,https://chaldn.com/_mpimage/baby-soft-baby-lotion-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174555&q=best&v=1&m=400&webp=1,images/Baby_Soft_Baby_Lotion_100_ml.jpg
Baby Soft Baby Wash 100 ml,190,BDT,https://chaldn.com/_mpimage/baby-soft-baby-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174553&q=best&v=1&m=400&webp=1,images/Baby_Soft_Baby_Wash_100_ml.jpg
Himalaya Baby Lotion 200 ml,300,BDT,https://chaldn.com/_mpimage/himalaya-baby-lotion-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D151044&q=best&v=1&m=400&webp=1,images/Himalaya_Baby_Lotion_200_ml.jpg
Johnson's Baby Soap 50 gm (Buy 3 Get 1 Free) 4 pcs,300,BDT,https://chaldn.com/_mpimage/johnsons-baby-soap-50-gm-buy-3-get-1-free-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141525&q=best&v=1&m=400&webp=1,images/Johnsons_Baby_Soap_50_gm_Buy_3_Get_1_Free_4_pcs.jpg
Johnson's Milk + Rice Baby Bath 500 ml,723,BDT,https://chaldn.com/_mpimage/johnsons-milk-rice-baby-bath-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141347&q=best&v=1&m=400&webp=1,images/Johnsons_Milk__Rice_Baby_Bath_500_ml.jpg
Parachute Just For Baby - Milky Glow Baby Face Cream 100 ml,285,BDT,https://chaldn.com/_mpimage/parachute-just-for-baby-milky-glow-baby-face-cream-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137116&q=best&v=1&m=400&webp=1,images/Parachute_Just_For_Baby_-_Milky_Glow_Baby_Face_Cream_100_ml.jpg
Parachute Just For Baby - Milky Glow Baby Lotion 200 ml,415,BDT,https://chaldn.com/_mpimage/parachute-just-for-baby-milky-glow-baby-lotion-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137114&q=best&v=1&m=400&webp=1,images/Parachute_Just_For_Baby_-_Milky_Glow_Baby_Lotion_200_ml.jpg
Meril Baby Shampoo 200 ml,290,BDT,https://chaldn.com/_mpimage/meril-baby-shampoo-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136926&q=best&v=1&m=400&webp=1,images/Meril_Baby_Shampoo_200_ml.jpg
