name,price,currency,image_url,image_location
Farlin Glass Feeding Bottle S 120 cc each,772,BDT,https://chaldn.com/_mpimage/farlin-glass-feeding-bottle-s-120-cc-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109168&q=best&v=1&m=400&webp=1,images/Farlin_Glass_Feeding_Bottle_S_120_cc_each.jpg
Twinkle PP Baby Feeder 120 ml,150,BDT,https://chaldn.com/_mpimage/twinkle-pp-baby-feeder-120-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136604&q=best&v=1&m=400&webp=1,images/Twinkle_PP_Baby_Feeder_120_ml.jpg
Smartcare Spoon Food Feeder 180 ml,530,BDT,https://chaldn.com/_mpimage/smartcare-spoon-food-feeder-180-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68560&q=best&v=1&m=400&webp=1,images/Smartcare_Spoon_Food_Feeder_180_ml.jpg
SmartCare PP Bottle Feeder L (6+ Months) 240 ml,290,BDT,https://chaldn.com/_mpimage/smartcare-pp-bottle-feeder-l-6-months-240-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133755&q=best&v=1&m=400&webp=1,images/SmartCare_PP_Bottle_Feeder_L_6_Months_240_ml.jpg
Lion Nipple (S) each,40,BDT,https://chaldn.com/_mpimage/lion-nipple-s-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130176&q=best&v=1&m=400&m=400&webp=1,images/Lion_Nipple_S_each.jpg
Smartcare Borosilicate Blue Glass Bottle M (3+ Month) 120 ml,500,BDT,https://chaldn.com/_mpimage/smartcare-borosilicate-blue-glass-bottle-m-3-month-120-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68707&q=best&v=1&m=400&webp=1,images/Smartcare_Borosilicate_Blue_Glass_Bottle_M_3_Month_120_ml.jpg
Smartcare Borosilicate Pink Glass Bottle S (0+ Months) 60 ml,460,BDT,https://chaldn.com/_mpimage/smartcare-borosilicate-pink-glass-bottle-s-0-months-60-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68710&q=best&v=1&m=400&webp=1,images/Smartcare_Borosilicate_Pink_Glass_Bottle_S_0_Months_60_ml.jpg
Smartcare Spoon Food Feeder 120 ml,430,BDT,https://chaldn.com/_mpimage/smartcare-spoon-food-feeder-120-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68713&q=best&v=1&m=400&webp=1,images/Smartcare_Spoon_Food_Feeder_120_ml.jpg
Angel Orthodontic Silicone Pacifier (P2A-S) 6M+ each,257,BDT,https://chaldn.com/_mpimage/angel-orthodontic-silicone-pacifier-p2a-s-6m-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68721&q=best&v=1&m=400&webp=1,images/Angel_Orthodontic_Silicone_Pacifier_P2A-S_6M_each.jpg
Farlin Glass Feeding Bottle S 60 cc each,772,BDT,https://chaldn.com/_mpimage/farlin-glass-feeding-bottle-s-60-cc-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128371&q=best&v=1&m=400&webp=1,images/Farlin_Glass_Feeding_Bottle_S_60_cc_each.jpg
Angel Silicon Nipple (3-6 Months) M each,55,BDT,https://chaldn.com/_mpimage/angel-silicon-nipple-3-6-months-m-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123455&q=best&v=1&m=400&webp=1,images/Angel_Silicon_Nipple_3-6_Months_M_each.jpg
Angel Silicon Nipple (0-3 Months) each,55,BDT,https://chaldn.com/_mpimage/angel-silicon-nipple-0-3-months-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68737&q=best&v=1&m=400&webp=1,images/Angel_Silicon_Nipple_0-3_Months_each.jpg
Farlin Milk Powder Container Mixed Color 4 layer,345,BDT,https://chaldn.com/_mpimage/farlin-milk-powder-container-mixed-color-4-layer?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68738&q=best&v=1&m=400&webp=1,images/Farlin_Milk_Powder_Container_Mixed_Color_4_layer.jpg
Farlin Standard Neck Feeding Bottle M 200 cc each,659,BDT,https://chaldn.com/_mpimage/farlin-standard-neck-feeding-bottle-m-200-cc-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128378&q=best&v=1&m=400&webp=1,images/Farlin_Standard_Neck_Feeding_Bottle_M_200_cc_each.jpg
Angel Baby Feeding Bottle & Nipple Cleanser 300 ml,365,BDT,https://chaldn.com/_mpimage/angel-baby-feeding-bottle-nipple-cleanser-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125206&q=best&v=1&m=400&webp=1,images/Angel_Baby_Feeding_Bottle__Nipple_Cleanser_300_ml.jpg
Angel Drinking Cup (6M+) (DCA-06) 200 ml,329,BDT,https://chaldn.com/_mpimage/angel-drinking-cup-6m-dca-06-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125213&q=best&v=1&m=400&m=400&webp=1,images/Angel_Drinking_Cup_6M_DCA-06_200_ml.jpg
Pur Baby New Born Feeder S 70 ml,350,BDT,https://chaldn.com/_mpimage/pur-baby-new-born-feeder-s-70-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68835&q=best&v=1&m=400&webp=1,images/Pur_Baby_New_Born_Feeder_S_70_ml.jpg
