name,price,currency,image_url,image_location
Kinder Wet Wipes Jar 160 pcs,240,BDT,https://chaldn.com/_mpimage/kinder-wet-wipes-jar-160-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186396&q=best&v=1&m=400&webp=1,images/Kinder_Wet_Wipes_Jar_160_pcs.jpg
Kinder Wet Wipes Jar 120 pcs,200,BDT,https://chaldn.com/_mpimage/kinder-wet-wipes-jar-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186395&q=best&v=1&m=400&webp=1,images/Kinder_Wet_Wipes_Jar_120_pcs.jpg
Kinder Wet Wipes Pouch 120 pcs,235,BDT,https://chaldn.com/_mpimage/kinder-wet-wipes-pouch-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186394&q=best&v=1&m=400&webp=1,images/Kinder_Wet_Wipes_Pouch_120_pcs.jpg
Supermom Premium Mild Baby Wipes 120 pcs,235,BDT,https://chaldn.com/_mpimage/supermom-premium-mild-baby-wipes-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100392&q=best&v=1&m=400&webp=1,images/Supermom_Premium_Mild_Baby_Wipes_120_pcs.jpg
Smart Care Baby Wet Wipes with Fliptop 120 pcs,220,BDT,https://chaldn.com/_mpimage/smart-care-baby-wet-wipes-with-fliptop-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184395&q=best&v=1&m=400&webp=1,images/Smart_Care_Baby_Wet_Wipes_with_Fliptop_120_pcs.jpg
NeoCare Baby Wipes 180 pcs,260,BDT,https://chaldn.com/_mpimage/neocare-baby-wipes-180-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132012&q=best&v=1&m=400&m=400&webp=1,images/NeoCare_Baby_Wipes_180_pcs.jpg
Comfort Baby Wet Wipes 120 pcs,185,BDT,https://chaldn.com/_mpimage/comfort-baby-wet-wipes-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109787&q=best&v=1&m=400&webp=1,images/Comfort_Baby_Wet_Wipes_120_pcs.jpg
ACI Twinkle Baby Wipes Jar 120 pcs,200,BDT,https://chaldn.com/_mpimage/aci-twinkle-baby-wipes-jar-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122871&q=best&v=1&m=400&webp=1,images/ACI_Twinkle_Baby_Wipes_Jar_120_pcs.jpg
Savlon Baby Wipes Jar 160 pcs,230,BDT,https://chaldn.com/_mpimage/savlon-baby-wipes-jar-160-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133168&q=best&v=1&m=400&webp=1,images/Savlon_Baby_Wipes_Jar_160_pcs.jpg
Dr Rhazes Sensitive Baby Wipes 120 pcs,220,BDT,https://chaldn.com/_mpimage/dr-rhazes-sensitive-baby-wipes-120-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92726&q=best&v=1&m=400&m=400&webp=1,images/Dr_Rhazes_Sensitive_Baby_Wipes_120_pcs.jpg
