name,price,currency,image_url,image_location
Goalini Plus Condensed Milk 400 gm,105,BDT,https://chaldn.com/_mpimage/goalini-plus-condensed-milk-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114901&q=best&v=1&m=400&webp=1,images/Goalini_Plus_Condensed_Milk_400_gm.jpg
Foster Clark's Corn Flour 400 gm,360,BDT,https://chaldn.com/_mpimage/foster-clarks-corn-flour-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D173671&q=best&v=1&m=400&webp=1,images/Foster_Clarks_Corn_Flour_400_gm.jpg
Hershey's Chocolate Syrup 623 gm,1029,BDT,https://chaldn.com/_mpimage/hersheys-chocolate-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103086&q=best&v=1&m=400&webp=1,images/Hersheys_Chocolate_Syrup_623_gm.jpg
Baking Soda 100 gm,25,BDT,https://chaldn.com/_mpimage/baking-soda-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47984&q=low&v=1&m=400&webp=1,images/Baking_Soda_100_gm.jpg
Anchor Yeast 35 gm,60,BDT,https://chaldn.com/_mpimage/anchor-yeast-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176952&q=best&v=1&m=400&m=400&webp=1,images/Anchor_Yeast_35_gm.jpg
55 Sugar Candy (Tal Misri) 200 gm,39,BDT,https://chaldn.com/_mpimage/sugar-candy-tal-misri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48011&q=best&v=1&m=400&webp=1,images/55_Sugar_Candy_Tal_Misri_200_gm.jpg
Chocolate Chips Dark 250 gm,439,BDT,https://chaldn.com/_mpimage/chocolate-chips-dark-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98037&q=best&v=1&m=400&m=400&webp=1,images/Chocolate_Chips_Dark_250_gm.jpg
Chocolate Chips White 250 gm,429,BDT,https://chaldn.com/_mpimage/chocolate-chips-white-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98036&q=best&v=1&m=400&m=400&webp=1,images/Chocolate_Chips_White_250_gm.jpg
Silver Edible Paper (Tobok) 25 gm,549,BDT,https://chaldn.com/_mpimage/silver-edible-paper-tobok-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73694&q=best&v=1&m=400&m=400&webp=1,images/Silver_Edible_Paper_Tobok_25_gm.jpg
Golden Edible Paper (Tobok) 25 gm,549,BDT,https://chaldn.com/_mpimage/golden-edible-paper-tobok-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128924&q=best&v=1&m=400&webp=1,images/Golden_Edible_Paper_Tobok_25_gm.jpg
Sweet Ball Golden 150 gm,520,BDT,https://chaldn.com/_mpimage/sweet-ball-golden-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131363&q=best&v=1&m=400&webp=1,images/Sweet_Ball_Golden_150_gm.jpg
Sweet Ball White 150 gm,375,BDT,https://chaldn.com/_mpimage/sweet-ball-white-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131362&q=best&v=1&m=400&webp=1,images/Sweet_Ball_White_150_gm.jpg
