name,price,currency,image_url,image_location
Silicon Spatula 2 pcs,219,BDT,https://chaldn.com/_mpimage/silicon-spatula-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133658&q=best&v=1&m=400&webp=1,images/Silicon_Spatula_2_pcs.jpg
Silicone Chocolate Mould each,269,BDT,https://chaldn.com/_mpimage/silicone-chocolate-mould-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133659&q=best&v=1&m=400&webp=1,images/Silicone_Chocolate_Mould_each.jpg
Lacy's Baking & Cooking Paper 10 m each,649,BDT,https://chaldn.com/_mpimage/lacys-baking-cooking-paper-10-m-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129933&q=best&v=1&m=400&webp=1,images/Lacys_Baking__Cooking_Paper_10_m_each.jpg
Wooden Silicone Spatula each,379,BDT,https://chaldn.com/_mpimage/wooden-silicone-spatula-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D69263&q=best&v=1&m=400&m=400&webp=1,images/Wooden_Silicone_Spatula_each.jpg
"Transparent Disposable Piping Bags (8.5""x12.5"") 100 pcs",719,BDT,https://chaldn.com/_mpimage/transparent-disposable-piping-bags-85x125-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D69286&q=best&v=1&m=400&webp=1,images/Transparent_Disposable_Piping_Bags_85x125_100_pcs.jpg
Cake Muffin Tin each,379,BDT,https://chaldn.com/_mpimage/cake-muffin-tin-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126552&q=best&v=1&m=400&m=400&webp=1,images/Cake_Muffin_Tin_each.jpg
Heart Shaped Cake Pan each,299,BDT,https://chaldn.com/_mpimage/heart-shaped-cake-pan-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101704&q=best&v=1&m=400&m=400&webp=1,images/Heart_Shaped_Cake_Pan_each.jpg
Round Cake Pan each,409,BDT,https://chaldn.com/_mpimage/round-cake-pan-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133044&q=best&v=1&m=400&m=400&webp=1,images/Round_Cake_Pan_each.jpg
Russian Flower Nozzle Set 7 pcs,480,BDT,https://chaldn.com/_mpimage/russian-flower-nozzle-set-7-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133084&q=best&v=1&m=400&webp=1,images/Russian_Flower_Nozzle_Set_7_pcs.jpg
Cake Decoration Nozzle Set 12 pcs,179,BDT,https://chaldn.com/_mpimage/cake-decoration-nozzle-set-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126549&q=best&v=1&m=400&m=400&webp=1,images/Cake_Decoration_Nozzle_Set_12_pcs.jpg
Pizza Cutter each,250,BDT,https://chaldn.com/_mpimage/pizza-cutter-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177335&q=best&v=1&m=400&webp=1,images/Pizza_Cutter_each.jpg
Small Whisk each,159,BDT,https://chaldn.com/_mpimage/small-whisk-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68665&q=best&v=1&m=400&webp=1,images/Small_Whisk_each.jpg
Boutique Straw 4 pcs,400,BDT,https://chaldn.com/_mpimage/boutique-straw-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68403&q=best&v=1&m=400&webp=1,images/Boutique_Straw_4_pcs.jpg
Orange Medium Measurement Mug each,359,BDT,https://chaldn.com/_mpimage/orange-medium-measurement-mug-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D68417&q=best&v=1&m=400&m=400&webp=1,images/Orange_Medium_Measurement_Mug_each.jpg
