name,price,currency,image_url,image_location
Teer Flour (Atta) 2 kg,130,BDT,https://chaldn.com/_mpimage/teer-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101280&q=best&v=1&m=400&webp=1,images/Teer_Flour_Atta_2_kg.jpg
Chickpea Flour (Boot Beshon) 500 gm,69,BDT,https://chaldn.com/_mpimage/chickpea-flour-boot-beshon-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176725&q=best&v=1&m=400&webp=1,images/Chickpea_Flour_Boot_Beshon_500_gm.jpg
Farmer's Gold Atop Rice Flour (Chaler Gura) 1 kg,110,BDT,https://chaldn.com/_mpimage/farmers-gold-atop-rice-flour-chaler-gura-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122145&q=best&v=1&m=400&webp=1,images/Farmers_Gold_Atop_Rice_Flour_Chaler_Gura_1_kg.jpg
70 White Flour (Maida) 1 kg,59,BDT,https://chaldn.com/_mpimage/white-flour-maida-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185479&q=good&v=1&m=400&webp=1,images/70_White_Flour_Maida_1_kg.jpg
65 Flour (Atta) 1 kg,49,BDT,https://chaldn.com/_mpimage/flour-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185390&q=best&v=1&m=400&webp=1,images/65_Flour_Atta_1_kg.jpg
Fresh Flour (Atta) 2 kg,130,BDT,https://chaldn.com/_mpimage/fresh-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97220&q=best&v=1&m=400&webp=1,images/Fresh_Flour_Atta_2_kg.jpg
Teer White Flour (Maida) 2 kg,140,BDT,https://chaldn.com/_mpimage/teer-white-flour-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101278&q=best&v=1&m=400&webp=1,images/Teer_White_Flour_Maida_2_kg.jpg
Fresh White Flour (Maida) 2 kg,140,BDT,https://chaldn.com/_mpimage/fresh-white-flour-maida-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97222&q=best&v=1&m=400&webp=1,images/Fresh_White_Flour_Maida_2_kg.jpg
Shaad Brown Flour (Lal Atta) 1 kg,70,BDT,https://chaldn.com/_mpimage/shaad-brown-flour-lal-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133501&q=best&v=1&m=400&webp=1,images/Shaad_Brown_Flour_Lal_Atta_1_kg.jpg
ACI Nutrilife Brown Flour (Atta) 1 kg,70,BDT,https://chaldn.com/_mpimage/aci-nutrilife-brown-flour-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177378&q=best&v=1&m=400&webp=1,images/ACI_Nutrilife_Brown_Flour_Atta_1_kg.jpg
Shaad Flour (Atta) 2 kg,130,BDT,https://chaldn.com/_mpimage/shaad-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133503&q=best&v=1&m=400&webp=1,images/Shaad_Flour_Atta_2_kg.jpg
Bashundhara Flour (Atta) 2 kg,130,BDT,https://chaldn.com/_mpimage/bashundhara-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125452&q=best&v=1&m=400&webp=1,images/Bashundhara_Flour_Atta_2_kg.jpg
ACI Nutrilife Brown Atta 2 kg,140,BDT,https://chaldn.com/_mpimage/aci-nutrilife-brown-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177148&q=best&v=1&m=400&webp=1,images/ACI_Nutrilife_Brown_Atta_2_kg.jpg
