name,price,currency,image_url,image_location
Golden Grain White Sesame Seed (Til) 100 gm,85,BDT,https://chaldn.com/_mpimage/golden-grain-white-sesame-seed-til-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187935&q=best&v=1&m=400&webp=1,images/Golden_Grain_White_Sesame_Seed_Til_100_gm.jpg
110 Raisins (Kishmish) 100 gm,99,BDT,https://chaldn.com/_mpimage/raisins-kishmish-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183690&q=best&v=1&m=400&m=400&webp=1,images/110_Raisins_Kishmish_100_gm.jpg
Mazzak Badam Roasted Peanut 170 gm,150,BDT,https://chaldn.com/_mpimage/mazzak-badam-roasted-peanut-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185956&q=best&v=1&m=400&webp=1,images/Mazzak_Badam_Roasted_Peanut_170_gm.jpg
170 Mazzak Badam Almond Roasted & Light Salt 40 gm,149,BDT,https://chaldn.com/_mpimage/mazzak-badam-almond-roasted-light-salt-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185967&q=best&v=1&m=400&webp=1,images/170_Mazzak_Badam_Almond_Roasted__Light_Salt_40_gm.jpg
165 Mazzak Badam Cashews Roasted & Salt 40 gm,149,BDT,https://chaldn.com/_mpimage/mazzak-badam-cashews-roasted-salt-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185965&q=best&v=1&m=400&webp=1,images/165_Mazzak_Badam_Cashews_Roasted__Salt_40_gm.jpg
199 Mazzak Badam Pistachio Roasted & Light Salt 40 gm,169,BDT,https://chaldn.com/_mpimage/mazzak-badam-pistachio-roasted-light-salt-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185963&q=best&v=1&m=400&webp=1,images/199_Mazzak_Badam_Pistachio_Roasted__Light_Salt_40_gm.jpg
300 Mazzak Sunflower Seeds Roasted & Light Salt 165 gm,259,BDT,https://chaldn.com/_mpimage/mazzak-sunflower-seeds-roasted-light-salt-165-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185952&q=best&v=1&m=400&webp=1,images/300_Mazzak_Sunflower_Seeds_Roasted__Light_Salt_165_gm.jpg
Al Barakah Premium Dates 250 gm,190,BDT,https://chaldn.com/_mpimage/al-barakah-premium-dates-250gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D171857&q=best&v=1&m=400&webp=1,images/Al_Barakah_Premium_Dates_250gm.jpg
Royal Gardens Salted Cashews 100 gm,435,BDT,https://chaldn.com/_mpimage/royal-gardens-salted-cashews-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138791&q=best&v=1&m=400&webp=1,images/Royal_Gardens_Salted_Cashews_100_gm.jpg
165 Almonds (Kath Badam) 100 gm,159,BDT,https://chaldn.com/_mpimage/almonds-kath-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184611&q=best&v=1&m=400&m=400&webp=1,images/165_Almonds_Kath_Badam_100_gm.jpg
