name,price,currency,image_url,image_location
SMC Plus Lemon Electrolyte Drink 250 ml (Combo Pack) 6 pcs,270,BDT,https://chaldn.com/_mpimage/smc-plus-lemon-electrolyte-drink-250-ml-combo-pack-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D90869&q=best&v=1&m=400&webp=1,images/SMC_Plus_Lemon_Electrolyte_Drink_250_ml_Combo_Pack_6_pcs.jpg
Bruvana Sports+ Electrolyte Beverage (Mango Flavor) 250 ml,40,BDT,https://chaldn.com/_mpimage/bruvana-sports-electrolyte-beverage-mango-flavor-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138827&q=best&v=1&m=400&webp=1,images/Bruvana_Sports_Electrolyte_Beverage_Mango_Flavor_250_ml.jpg
Malee Lychee Juice 1 ltr,630,BDT,https://chaldn.com/_mpimage/malee-lychee-juice-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160707&q=best&v=1&m=400&webp=1,images/Malee_Lychee_Juice_1_ltr.jpg
SMC Plus Orange Electrolyte Drink 250 ml (Combo Pack) 6 pcs,270,BDT,https://chaldn.com/_mpimage/smc-plus-orange-electrolyte-drink-250-ml-combo-pack-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D90868&q=best&v=1&m=400&webp=1,images/SMC_Plus_Orange_Electrolyte_Drink_250_ml_Combo_Pack_6_pcs.jpg
Pran Drinko Litchi Juice 250 ml,30,BDT,https://chaldn.com/_mpimage/pran-drinko-litchi-juice-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108139&q=best&v=1&m=400&webp=1,images/Pran_Drinko_Litchi_Juice_250_ml.jpg
Pran Frooto Mango Fruit Drink 250 ml,25,BDT,https://chaldn.com/_mpimage/pran-frooto-mango-fruit-drink-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135903&q=best&v=1&m=400&webp=1,images/Pran_Frooto_Mango_Fruit_Drink_250_ml.jpg
Pran Frooto Mango Fruit Drink 500 ml,45,BDT,https://chaldn.com/_mpimage/pran-frooto-mango-fruit-drink-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135904&q=best&v=1&m=400&webp=1,images/Pran_Frooto_Mango_Fruit_Drink_500_ml.jpg
Frutika Mango Juice 1 ltr,90,BDT,https://chaldn.com/_mpimage/frutika-mango-juice-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97206&q=best&v=1&m=400&webp=1,images/Frutika_Mango_Juice_1_ltr.jpg
Sunquick Orange Fruit Drink 1 ltr,140,BDT,https://chaldn.com/_mpimage/sunquick-orange-fruit-drink-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174242&q=best&v=1&m=400&webp=1,images/Sunquick_Orange_Fruit_Drink_1_ltr.jpg
Sunquick Mango Fruit Drink 1 ltr,120,BDT,https://chaldn.com/_mpimage/sunquick-mango-fruit-drink-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174240&q=best&v=1&m=400&webp=1,images/Sunquick_Mango_Fruit_Drink_1_ltr.jpg
