name,price,currency,image_url,image_location
85 Coca-Cola 1 ltr,79,BDT,https://chaldn.com/_mpimage/coca-cola-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164611&q=best&v=1&m=400&webp=1,images/85_Coca-Cola_1_ltr.jpg
25 Sprite 250 ml,23,BDT,https://chaldn.com/_mpimage/sprite-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146689&q=best&v=1&m=400&webp=1,images/25_Sprite_250_ml.jpg
40 Coca-Cola 400 ml,38,BDT,https://chaldn.com/_mpimage/coca-cola-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186629&q=best&v=1&m=400&webp=1,images/40_Coca-Cola_400_ml.jpg
RC Q Lemon Pet 250 ml,25,BDT,https://chaldn.com/_mpimage/rc-q-lemon-pet-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71331&q=best&v=1&m=400&webp=1,images/RC_Q_Lemon_Pet_250_ml.jpg
Rooh Afza (Free Ispaghol Bhusi 20 gm) 750 ml,550,BDT,https://chaldn.com/_mpimage/rooh-afza-free-ispaghol-bhusi-20-gm-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170046&q=best&v=1&m=400&webp=1,images/Rooh_Afza_Free_Ispaghol_Bhusi_20_gm_750_ml.jpg
40 Fanta Orange Flavored 400 ml,38,BDT,https://chaldn.com/_mpimage/fanta-orange-flavored-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186631&q=best&v=1&m=400&webp=1,images/40_Fanta_Orange_Flavored_400_ml.jpg
25 Fanta Orange Flavored 250 ml,23,BDT,https://chaldn.com/_mpimage/fanta-orange-flavored-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146710&q=best&v=1&m=400&webp=1,images/25_Fanta_Orange_Flavored_250_ml.jpg
Fresh Mojito 250 ml,25,BDT,https://chaldn.com/_mpimage/fresh-mojito-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121077&q=best&v=1&m=400&webp=1,images/Fresh_Mojito_250_ml.jpg
Rooh Afza 300 ml,300,BDT,https://chaldn.com/_mpimage/rooh-afza-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133032&q=best&v=1&m=400&webp=1,images/Rooh_Afza_300_ml.jpg
Rooh Afza 750 ml,550,BDT,https://chaldn.com/_mpimage/rooh-afza-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101117&q=best&v=1&m=400&webp=1,images/Rooh_Afza_750_ml.jpg
70 Sprite Can 250 ml,65,BDT,https://chaldn.com/_mpimage/sprite-can-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176552&q=best&v=1&m=400&webp=1,images/70_Sprite_Can_250_ml.jpg
85 Sprite 1 ltr,79,BDT,https://chaldn.com/_mpimage/sprite-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164609&q=best&v=1&m=400&webp=1,images/85_Sprite_1_ltr.jpg
70 Fanta Can Orange Flavored 250 ml,65,BDT,https://chaldn.com/_mpimage/fanta-can-orange-flavored-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109107&q=best&v=1&m=400&webp=1,images/70_Fanta_Can_Orange_Flavored_250_ml.jpg
85 Fanta Orange Flavored 1 ltr,79,BDT,https://chaldn.com/_mpimage/fanta-orange-flavored-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164610&q=best&v=1&m=400&webp=1,images/85_Fanta_Orange_Flavored_1_ltr.jpg
Coca-Cola Zero Sugar 250 ml,20,BDT,https://chaldn.com/_mpimage/coca-cola-zero-sugar-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186630&q=best&v=1&m=400&webp=1,images/Coca-Cola_Zero_Sugar_250_ml.jpg
Mojo Pet 250 ml,20,BDT,https://chaldn.com/_mpimage/mojo-pet-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161183&q=best&v=1&m=400&webp=1,images/Mojo_Pet_250_ml.jpg
Mojo Soft Drink 2 ltr,110,BDT,https://chaldn.com/_mpimage/mojo-soft-drink-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130804&q=best&v=1&m=400&webp=1,images/Mojo_Soft_Drink_2_ltr.jpg
Sprite 1.75 ltr,140,BDT,https://chaldn.com/_mpimage/sprite-175-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174766&q=best&v=1&m=400&webp=1,images/Sprite_175_ltr.jpg
Mountain Dew 500 ml,50,BDT,https://chaldn.com/_mpimage/mountain-dew-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163559&q=best&v=1&m=400&m=400&webp=1,images/Mountain_Dew_500_ml.jpg
Coca-Cola 1.75 ltr,140,BDT,https://chaldn.com/_mpimage/coca-cola-175-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174770&q=best&v=1&m=400&webp=1,images/Coca-Cola_175_ltr.jpg
Mojo Pet 1 ltr,60,BDT,https://chaldn.com/_mpimage/mojo-pet-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130803&q=best&v=1&m=400&webp=1,images/Mojo_Pet_1_ltr.jpg
Maxx Cola 2 ltr,100,BDT,https://chaldn.com/_mpimage/maxx-cola-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181219&q=best&v=1&m=400&webp=1,images/Maxx_Cola_2_ltr.jpg
Maxx Cola 500 ml,35,BDT,https://chaldn.com/_mpimage/maxx-cola-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180306&q=best&v=1&m=400&webp=1,images/Maxx_Cola_500_ml.jpg
Fresh Cola 500 ml,40,BDT,https://chaldn.com/_mpimage/fresh-cola-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184880&q=best&v=1&m=400&webp=1,images/Fresh_Cola_500_ml.jpg
Clemon Mojito Can 250 ml,50,BDT,https://chaldn.com/_mpimage/clemon-mojito-can-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161303&q=best&v=1&m=400&webp=1,images/Clemon_Mojito_Can_250_ml.jpg
Sunquick Orange Fruit Drink 250 ml,40,BDT,https://chaldn.com/_mpimage/sunquick-orange-fruit-drink-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180815&q=best&v=1&m=400&webp=1,images/Sunquick_Orange_Fruit_Drink_250_ml.jpg
Sunquick Mango Fruit Drink 250 ml,35,BDT,https://chaldn.com/_mpimage/sunquick-mango-fruit-drink-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180814&q=best&v=1&m=400&webp=1,images/Sunquick_Mango_Fruit_Drink_250_ml.jpg
RC Cola 250 ml,20,BDT,https://chaldn.com/_mpimage/rc-cola-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D151176&q=best&v=1&m=400&webp=1,images/RC_Cola_250_ml.jpg
Fresh Googly 250 ml,20,BDT,https://chaldn.com/_mpimage/fresh-googly-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127682&q=best&v=1&m=400&webp=1,images/Fresh_Googly_250_ml.jpg
Pepsi 1.75 ltr,150,BDT,https://chaldn.com/_mpimage/pepsi-175-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177196&q=best&v=1&m=400&m=400&webp=1,images/Pepsi_175_ltr.jpg
