name,price,currency,image_url,image_location
Ion Alkaline Drinking Water 650 ml,65,BDT,https://chaldn.com/_mpimage/ion-alkaline-drinking-water-650-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165725&q=best&v=1&m=400&webp=1,images/Ion_Alkaline_Drinking_Water_650_ml.jpg
Ion Alkaline Drinking Water 330 ml,35,BDT,https://chaldn.com/_mpimage/ion-alkaline-drinking-water-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165724&q=best&v=1&m=400&webp=1,images/Ion_Alkaline_Drinking_Water_330_ml.jpg
Aquafina Drinking Water 1 ltr,30,BDT,https://chaldn.com/_mpimage/aquafina-drinking-water-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123470&q=best&v=1&m=400&webp=1,images/Aquafina_Drinking_Water_1_ltr.jpg
Mum Drinking Water 500 ml,20,BDT,https://chaldn.com/_mpimage/mum-drinking-water-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130960&q=best&v=1&m=400&webp=1,images/Mum_Drinking_Water_500_ml.jpg
Super Fresh Drinking Water 500 ml,20,BDT,https://chaldn.com/_mpimage/super-fresh-drinking-water-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136952&q=best&v=1&m=400&webp=1,images/Super_Fresh_Drinking_Water_500_ml.jpg
5 Mum Drinking Water 5 ltr,100,BDT,https://chaldn.com/_mpimage/mum-drinking-water-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94763&q=best&v=1&m=400&webp=1,images/5_Mum_Drinking_Water_5_ltr.jpg
Mum Drinking Water 2 ltr,45,BDT,https://chaldn.com/_mpimage/mum-drinking-water-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141345&q=best&v=1&m=400&webp=1,images/Mum_Drinking_Water_2_ltr.jpg
Aquafina Drinking Water 500 ml,20,BDT,https://chaldn.com/_mpimage/aquafina-drinking-water-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123471&q=best&v=1&m=400&webp=1,images/Aquafina_Drinking_Water_500_ml.jpg
Pureit Classic Germ Kill Kit 1500 ltr,800,BDT,https://chaldn.com/_mpimage/pureit-classic-germ-kill-kit-1500-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177904&q=best&v=1&m=400&webp=1,images/Pureit_Classic_Germ_Kill_Kit_1500_ltr.jpg
Mum Drinking Water 330 ml,15,BDT,https://chaldn.com/_mpimage/mum-drinking-water-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130959&q=best&v=1&m=400&webp=1,images/Mum_Drinking_Water_330_ml.jpg
Muskan Drinking Water 500 ml,20,BDT,https://chaldn.com/_mpimage/muskan-drinking-water-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130991&q=best&v=1&m=400&webp=1,images/Muskan_Drinking_Water_500_ml.jpg
Muskan Drinking Water 2 ltr,40,BDT,https://chaldn.com/_mpimage/muskan-drinking-water-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94892&q=best&v=1&m=400&webp=1,images/Muskan_Drinking_Water_2_ltr.jpg
Kinley Drinking Water 500 ml,20,BDT,https://chaldn.com/_mpimage/kinley-drinking-water-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148086&q=best&v=1&m=400&webp=1,images/Kinley_Drinking_Water_500_ml.jpg
Perrier Mineral Water 750 ml,550,BDT,https://chaldn.com/_mpimage/perrier-mineral-water-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70056&q=best&v=1&m=400&webp=1,images/Perrier_Mineral_Water_750_ml.jpg
Mum Drinking Water 1.5 ltr,35,BDT,https://chaldn.com/_mpimage/mum-drinking-water-15-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130958&q=best&v=1&m=400&webp=1,images/Mum_Drinking_Water_15_ltr.jpg
