name,price,currency,image_url,image_location
Quaker Oats Poly 450 gm,350,BDT,https://chaldn.com/_mpimage/quaker-oats-poly-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120184&q=best&v=1&m=400&webp=1,images/Quaker_Oats_Poly_450_gm.jpg
Nestle Koko Krunch Chocolate Cereal Box 300 gm,450,BDT,https://chaldn.com/_mpimage/nestle-koko-krunch-chocolate-cereal-box-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158538&q=best&v=1&m=400&webp=1,images/Nestle_Koko_Krunch_Chocolate_Cereal_Box_300_gm.jpg
Kellogg's Chocos Chocolate Breakfast Cereal 385 gm,490,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-chocolate-breakfast-cereal-385-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163492&q=best&v=1&m=400&m=400&webp=1,images/Kelloggs_Chocos_Chocolate_Breakfast_Cereal_385_gm.jpg
Nestle Munch Breakfast Cereal Box 300 gm,400,BDT,https://chaldn.com/_mpimage/nestle-munch-breakfast-cereal-box-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177802&q=best&v=1&m=400&webp=1,images/Nestle_Munch_Breakfast_Cereal_Box_300_gm.jpg
Nestle Munch Breakfast Cereal Pouch 120 gm,170,BDT,https://chaldn.com/_mpimage/nestle-munch-breakfast-cereal-pouch-120-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177801&q=best&v=1&m=400&webp=1,images/Nestle_Munch_Breakfast_Cereal_Pouch_120_gm.jpg
Kellogg's Chocos Chocolate Breakfast Cereal 127 gm,170,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-chocolate-breakfast-cereal-127-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163493&q=best&v=1&m=400&webp=1,images/Kelloggs_Chocos_Chocolate_Breakfast_Cereal_127_gm.jpg
Kellogg's Oats Cereal 400 gm,360,BDT,https://chaldn.com/_mpimage/kelloggs-oats-cereal-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152191&q=best&v=1&m=400&webp=1,images/Kelloggs_Oats_Cereal_400_gm.jpg
Kellogg's Corn Flakes Original Cereal 1.1 kg,1250,BDT,https://chaldn.com/_mpimage/kelloggs-corn-flakes-original-cereal-11-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110388&q=best&v=1&m=400&webp=1,images/Kelloggs_Corn_Flakes_Original_Cereal_11_kg.jpg
Kellogg's Chocos Chocolate Breakfast Cereal 700 gm,899,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-chocolate-breakfast-cereal-700-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154358&q=best&v=1&m=400&m=400&webp=1,images/Kelloggs_Chocos_Chocolate_Breakfast_Cereal_700_gm.jpg
Kellogg's Chocos Chocolate Breakfast Cereal 1.1 kg,1350,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-chocolate-breakfast-cereal-11-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169113&q=best&v=1&m=400&m=400&webp=1,images/Kelloggs_Chocos_Chocolate_Breakfast_Cereal_11_kg.jpg
Kellogg's Chocos Crunchy Bites Chocolate Cereal 375 gm,530,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-crunchy-bites-chocolate-cereal-375-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D148586&q=best&v=1&m=400&webp=1,images/Kelloggs_Chocos_Crunchy_Bites_Chocolate_Cereal_375_gm.jpg
Kellogg's Oats Cereal (Free Container) 400 gm,360,BDT,https://chaldn.com/_mpimage/kelloggs-oats-cereal-free-container-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146888&q=best&v=1&m=400&webp=1,images/Kelloggs_Oats_Cereal_Free_Container_400_gm.jpg
Nestle Koko Krunch Cereal Pouch 70 gm,125,BDT,https://chaldn.com/_mpimage/nestle-koko-krunch-cereal-pouch-70-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176471&q=best&v=1&m=400&webp=1,images/Nestle_Koko_Krunch_Cereal_Pouch_70_gm.jpg
Nestle Koko Krunch Cereal 150 gm,250,BDT,https://chaldn.com/_mpimage/nestle-koko-krunch-cereal-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126858&q=best&v=1&m=400&webp=1,images/Nestle_Koko_Krunch_Cereal_150_gm.jpg
Quaker Oats Jar 450 gm,380,BDT,https://chaldn.com/_mpimage/quaker-oats-jar-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120180&q=best&v=1&m=400&webp=1,images/Quaker_Oats_Jar_450_gm.jpg
Virginia White Oats 400 gm,500,BDT,https://chaldn.com/_mpimage/virginia-white-oats-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137048&q=best&v=1&m=400&m=400&webp=1,images/Virginia_White_Oats_400_gm.jpg
Vitalia Fit & Active Muesli 650 gm,1539,BDT,https://chaldn.com/_mpimage/vitalia-fit-active-muesli-650-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129531&q=best&v=1&m=400&webp=1,images/Vitalia_Fit__Active_Muesli_650_gm.jpg
Nestle Koko Krunch 500 gm,910,BDT,https://chaldn.com/_mpimage/nestle-koko-krunch-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D37728&q=best&v=1&m=400&m=400&webp=1,images/Nestle_Koko_Krunch_500_gm.jpg
Vitalia Chocolate Muesli 1 kg,945,BDT,https://chaldn.com/_mpimage/vitalia-chocolate-muesli-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45564&q=low&v=1&m=400&m=400&webp=1,images/Vitalia_Chocolate_Muesli_1_kg.jpg
Vitalia Breakfast Muesli 1 kg,1859,BDT,https://chaldn.com/_mpimage/vitalia-breakfast-muesli-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129530&q=best&v=1&m=400&webp=1,images/Vitalia_Breakfast_Muesli_1_kg.jpg
Vitalia Fruit Muesli 1 kg,1939,BDT,https://chaldn.com/_mpimage/vitalia-fruit-muesli-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129532&q=best&v=1&m=400&webp=1,images/Vitalia_Fruit_Muesli_1_kg.jpg
Kellogg's Chocos Chocolate Breakfast Cereal 250 gm,370,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-chocolate-breakfast-cereal-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169114&q=best&v=1&m=400&m=400&webp=1,images/Kelloggs_Chocos_Chocolate_Breakfast_Cereal_250_gm.jpg
799 Quaker White Oats 500 gm,599,BDT,https://chaldn.com/_mpimage/quaker-white-oats-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132439&q=best&v=1&m=400&webp=1,images/799_Quaker_White_Oats_500_gm.jpg
Kellogg's Chocos Chocolate Cereal 375 gm,529,BDT,https://chaldn.com/_mpimage/kelloggs-chocos-chocolate-cereal-375-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129687&q=best&v=1&m=400&m=400&webp=1,images/Kelloggs_Chocos_Chocolate_Cereal_375_gm.jpg
