name,price,currency,image_url,image_location
Mother's Smile Profom Milk Jar 400 gm,630,BDT,https://chaldn.com/_mpimage/mothers-smile-profom-milk-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130882&q=best&v=1&m=400&webp=1,images/Mothers_Smile_Profom_Milk_Jar_400_gm.jpg
Standard Horlicks Health And Nutrition Drink Jar 250 gm,280,BDT,https://chaldn.com/_mpimage/standard-horlicks-health-and-nutrition-drink-jar-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163368&q=best&v=1&m=400&webp=1,images/Standard_Horlicks_Health_And_Nutrition_Drink_Jar_250_gm.jpg
Complan Chocolate Pack 350 gm,405,BDT,https://chaldn.com/_mpimage/complan-chocolate-pack-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139050&q=best&v=1&m=400&webp=1,images/Complan_Chocolate_Pack_350_gm.jpg
Mother's Horlicks Health and Nutrition Drink BIB 350 gm,620,BDT,https://chaldn.com/_mpimage/mothers-horlicks-health-and-nutrition-drink-bib-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128293&q=best&v=1&m=400&webp=1,images/Mothers_Horlicks_Health_and_Nutrition_Drink_BIB_350_gm.jpg
Horlicks Chocolate Flavour Jar 500 gm,550,BDT,https://chaldn.com/_mpimage/horlicks-chocolate-flavour-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163350&q=best&v=1&m=400&webp=1,images/Horlicks_Chocolate_Flavour_Jar_500_gm.jpg
Junior Horlicks Health And Nutrition Drink Container Stage-2 500 gm,550,BDT,https://chaldn.com/_mpimage/junior-horlicks-health-and-nutrition-drink-container-stage-2-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168999&q=best&v=1&m=400&webp=1,images/Junior_Horlicks_Health_And_Nutrition_Drink_Container_Stage-2_500_gm.jpg
Standard Horlicks Health And Nutrition Drink Jar 500 gm,500,BDT,https://chaldn.com/_mpimage/standard-horlicks-health-and-nutrition-drink-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168985&q=best&v=1&m=400&webp=1,images/Standard_Horlicks_Health_And_Nutrition_Drink_Jar_500_gm.jpg
Maltova Health And Nutrition Drink BIB 400 gm,550,BDT,https://chaldn.com/_mpimage/maltova-health-and-nutrition-drink-bib-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128292&q=best&v=1&m=400&webp=1,images/Maltova_Health_And_Nutrition_Drink_BIB_400_gm.jpg
Ovaltine Power 10 Chocolate Drink Jar 400 gm,1000,BDT,https://chaldn.com/_mpimage/ovaltine-power-10-chocolate-drink-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131786&q=best&v=1&m=400&m=400&webp=1,images/Ovaltine_Power_10_Chocolate_Drink_Jar_400_gm.jpg
Boost Chocolate Jar 400 gm,550,BDT,https://chaldn.com/_mpimage/boost-chocolate-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D173037&q=best&v=1&m=400&webp=1,images/Boost_Chocolate_Jar_400_gm.jpg
Women's Plus Horlicks Health And Nutrition Drink Jar 400 gm,600,BDT,https://chaldn.com/_mpimage/womens-plus-horlicks-health-and-nutrition-drink-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128374&q=best&v=1&m=400&webp=1,images/Womens_Plus_Horlicks_Health_And_Nutrition_Drink_Jar_400_gm.jpg
Horlicks Lite Health And Nutrition Drink Jar 400 gm,650,BDT,https://chaldn.com/_mpimage/horlicks-lite-health-and-nutrition-drink-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155022&q=best&v=1&m=400&m=400&webp=1,images/Horlicks_Lite_Health_And_Nutrition_Drink_Jar_400_gm.jpg
Dabur Chyawanprash Awaleha 500 gm,600,BDT,https://chaldn.com/_mpimage/dabur-chyawanprash-awaleha-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158180&q=best&v=1&m=400&webp=1,images/Dabur_Chyawanprash_Awaleha_500_gm.jpg
