name,price,currency,image_url,image_location
Dabur Honey 250 gm,250,BDT,https://chaldn.com/_mpimage/dabur-honey-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89621&q=best&v=1&m=400&webp=1,images/Dabur_Honey_250_gm.jpg
ACI Pure Multifloral Honey 250 gm,230,BDT,https://chaldn.com/_mpimage/aci-pure-multifloral-honey-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174546&q=best&v=1&m=400&webp=1,images/ACI_Pure_Multifloral_Honey_250_gm.jpg
Dabur Sundarbans Honey 500 gm,600,BDT,https://chaldn.com/_mpimage/dabur-sundarbans-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D156648&q=best&v=1&m=400&webp=1,images/Dabur_Sundarbans_Honey_500_gm.jpg
Allah Shafi Natural Honey 500 gm,975,BDT,https://chaldn.com/_mpimage/allah-shafi-natural-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149720&q=best&v=1&m=400&webp=1,images/Allah_Shafi_Natural_Honey_500_gm.jpg
Palermo Natural Honeycomb 500 gm,1109,BDT,https://chaldn.com/_mpimage/palermo-natural-honeycomb-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131631&q=best&v=1&m=400&webp=1,images/Palermo_Natural_Honeycomb_500_gm.jpg
Dabur Honey 400 gm,400,BDT,https://chaldn.com/_mpimage/dabur-honey-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127390&q=best&v=1&m=400&webp=1,images/Dabur_Honey_400_gm.jpg
Dabur Honey 50 gm,70,BDT,https://chaldn.com/_mpimage/dabur-honey-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89623&q=best&v=1&m=400&webp=1,images/Dabur_Honey_50_gm.jpg
Saffola Honey 100 gm,120,BDT,https://chaldn.com/_mpimage/saffola-honey-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124806&q=best&v=1&m=400&webp=1,images/Saffola_Honey_100_gm.jpg
Buram Black Forest Honey 250 gm,855,BDT,https://chaldn.com/_mpimage/buram-black-forest-honey-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126293&q=best&v=1&m=400&m=400&webp=1,images/Buram_Black_Forest_Honey_250_gm.jpg
Buram Acacia Honey 300 gm,960,BDT,https://chaldn.com/_mpimage/buram-acacia-honey-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126290&q=best&v=1&m=400&webp=1,images/Buram_Acacia_Honey_300_gm.jpg
Shefa'a Honey 500 gm,810,BDT,https://chaldn.com/_mpimage/shefaa-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D81150&q=low&v=1&m=400&webp=1,images/Shefaa_Honey_500_gm.jpg
Clariss Acacia Honey 500 gm,950,BDT,https://chaldn.com/_mpimage/clariss-acacia-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126762&q=best&v=1&m=400&m=400&webp=1,images/Clariss_Acacia_Honey_500_gm.jpg
Saffola Honey 500 gm,430,BDT,https://chaldn.com/_mpimage/saffola-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124808&q=best&v=1&m=400&webp=1,images/Saffola_Honey_500_gm.jpg
Saffola Honey 250 gm,230,BDT,https://chaldn.com/_mpimage/saffola-honey-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124807&q=best&v=1&m=400&webp=1,images/Saffola_Honey_250_gm.jpg
850 Hosen Pure Honey 500 gm,789,BDT,https://chaldn.com/_mpimage/hosen-pure-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129344&q=best&v=1&m=400&webp=1,images/850_Hosen_Pure_Honey_500_gm.jpg
Alshifa Acacia Honey 500 gm,2095,BDT,https://chaldn.com/_mpimage/alshifa-acacia-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123286&q=best&v=1&m=400&webp=1,images/Alshifa_Acacia_Honey_500_gm.jpg
Alshifa Acacia Honey 250 gm,1095,BDT,https://chaldn.com/_mpimage/alshifa-acacia-honey-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123287&q=best&v=1&m=400&webp=1,images/Alshifa_Acacia_Honey_250_gm.jpg
Alshifa Black Forest Honey 500 gm,2095,BDT,https://chaldn.com/_mpimage/alshifa-black-forest-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123291&q=best&v=1&m=400&webp=1,images/Alshifa_Black_Forest_Honey_500_gm.jpg
Alshifa Natural Floral Honey 500 gm,1050,BDT,https://chaldn.com/_mpimage/alshifa-natural-floral-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123292&q=best&v=1&m=400&webp=1,images/Alshifa_Natural_Floral_Honey_500_gm.jpg
