name,price,currency,image_url,image_location
Ahmed Mixed Fruit Jelly 500 gm,180,BDT,https://chaldn.com/_mpimage/ahmed-mixed-fruit-jelly-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77794&q=best&v=1&m=400&webp=1,images/Ahmed_Mixed_Fruit_Jelly_500_gm.jpg
Shezan Mixed Fruit Jam 440 gm,180,BDT,https://chaldn.com/_mpimage/shezan-mixed-fruit-jam-440-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77732&q=best&v=1&m=400&webp=1,images/Shezan_Mixed_Fruit_Jam_440_gm.jpg
Pran Mango Jam 350 gm,165,BDT,https://chaldn.com/_mpimage/pran-mango-jam-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140840&q=best&v=1&m=400&webp=1,images/Pran_Mango_Jam_350_gm.jpg
Pran Apple Jelly 500 gm,185,BDT,https://chaldn.com/_mpimage/pran-apple-jelly-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D3121&q=best&v=1&m=400&webp=1,images/Pran_Apple_Jelly_500_gm.jpg
Ahmed Pineapple Jam 500 gm,180,BDT,https://chaldn.com/_mpimage/ahmed-pineapple-jam-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123007&q=best&v=1&m=400&webp=1,images/Ahmed_Pineapple_Jam_500_gm.jpg
Ahmed Mango Jam 500 gm,195,BDT,https://chaldn.com/_mpimage/ahmed-mango-jam-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122998&q=best&v=1&m=400&webp=1,images/Ahmed_Mango_Jam_500_gm.jpg
Ahmed Mixed Fruit Jam 500 gm,195,BDT,https://chaldn.com/_mpimage/ahmed-mixed-fruit-jam-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77764&q=best&v=1&m=400&webp=1,images/Ahmed_Mixed_Fruit_Jam_500_gm.jpg
Ahmed Apple Jam 500 gm,195,BDT,https://chaldn.com/_mpimage/ahmed-apple-jam-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122973&q=best&v=1&m=400&webp=1,images/Ahmed_Apple_Jam_500_gm.jpg
Ahmed Pineapple Jelly 500 gm,180,BDT,https://chaldn.com/_mpimage/ahmed-pineapple-jelly-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123008&q=best&v=1&m=400&m=400&webp=1,images/Ahmed_Pineapple_Jelly_500_gm.jpg
Ahmed Sugar Free Orange Jelly 500 gm,265,BDT,https://chaldn.com/_mpimage/ahmed-sugar-free-orange-jelly-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123015&q=best&v=1&m=400&webp=1,images/Ahmed_Sugar_Free_Orange_Jelly_500_gm.jpg
650 Stute Thick Cut Orange Marmalade Jam 340 gm,619,BDT,https://chaldn.com/_mpimage/stute-thick-cut-orange-marmalade-jam-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160964&q=best&v=1&m=400&webp=1,images/650_Stute_Thick_Cut_Orange_Marmalade_Jam_340_gm.jpg
