name,price,currency,image_url,image_location
90 Golden Grain Puffed Rice (Hand Made) 400 gm,75,BDT,https://chaldn.com/_mpimage/golden-grain-puffed-rice-hand-made-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167642&q=best&v=1&m=400&webp=1,images/90_Golden_Grain_Puffed_Rice_Hand_Made_400_gm.jpg
Pran Puffed Rice (Muri) 500 gm,75,BDT,https://chaldn.com/_mpimage/pran-puffed-rice-muri-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132327&q=best&v=1&m=400&webp=1,images/Pran_Puffed_Rice_Muri_500_gm.jpg
Bread Pit White Bread 500 gm,110,BDT,https://chaldn.com/_mpimage/bread-pit-white-bread-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70765&q=best&v=1&m=400&webp=1,images/Bread_Pit_White_Bread_500_gm.jpg
Golden Harvest Premium Deshi Paratha 20 pcs 1300 gm,320,BDT,https://chaldn.com/_mpimage/golden-harvest-premium-deshi-paratha-20-pcs-1300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177582&q=best&v=1&m=400&webp=1,images/Golden_Harvest_Premium_Deshi_Paratha_20_pcs_1300_gm.jpg
Ruchi Puffed Rice (Muri) 400 gm,65,BDT,https://chaldn.com/_mpimage/ruchi-puffed-rice-muri-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127589&q=best&v=1&m=400&webp=1,images/Ruchi_Puffed_Rice_Muri_400_gm.jpg
Pran Flattened Rice (Chira) 500 gm,70,BDT,https://chaldn.com/_mpimage/pran-flattened-rice-chira-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163265&q=best&v=1&m=400&webp=1,images/Pran_Flattened_Rice_Chira_500_gm.jpg
Golden Harvest Mega Deshi Paratha 1600 gm 20 pcs,380,BDT,https://chaldn.com/_mpimage/golden-harvest-mega-deshi-paratha-1600-gm-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168990&q=best&v=1&m=400&webp=1,images/Golden_Harvest_Mega_Deshi_Paratha_1600_gm_20_pcs.jpg
White Bread 500 gm,70,BDT,https://chaldn.com/_mpimage/white-bread-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114580&q=best&v=1&m=400&webp=1,images/White_Bread_500_gm.jpg
Ruchi Puffed Rice (Muri) 200 gm,35,BDT,https://chaldn.com/_mpimage/ruchi-puffed-rice-muri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133077&q=best&v=1&m=400&webp=1,images/Ruchi_Puffed_Rice_Muri_200_gm.jpg
Bread Pit Milk Bread 300 gm,120,BDT,https://chaldn.com/_mpimage/bread-pit-milk-bread-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114581&q=best&v=1&m=400&webp=1,images/Bread_Pit_Milk_Bread_300_gm.jpg
Pran Puffed Rice (Muri) 250 gm,40,BDT,https://chaldn.com/_mpimage/pran-puffed-rice-muri-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132326&q=best&v=1&m=400&webp=1,images/Pran_Puffed_Rice_Muri_250_gm.jpg
Ispahani Bakery Fresh Dry Cake 300 gm,150,BDT,https://chaldn.com/_mpimage/ispahani-bakery-fresh-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176305&q=best&v=1&m=400&m=400&webp=1,images/Ispahani_Bakery_Fresh_Dry_Cake_300_gm.jpg
Bread Pit Multigrain Bread 300 gm,149,BDT,https://chaldn.com/_mpimage/bread-pit-multigrain-bread-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D82293&q=best&v=1&m=400&m=400&webp=1,images/Bread_Pit_Multigrain_Bread_300_gm.jpg
Farmer's Gold White Flattened Rice (Sada Chira) 1 kg,120,BDT,https://chaldn.com/_mpimage/farmers-gold-white-flattened-rice-sada-chira-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131682&q=best&v=1&m=400&webp=1,images/Farmers_Gold_White_Flattened_Rice_Sada_Chira_1_kg.jpg
BPM Homemade Puffed Rice (Muri) 500 gm,135,BDT,https://chaldn.com/_mpimage/bpm-homemade-puffed-rice-muri-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127330&q=best&v=1&m=400&webp=1,images/BPM_Homemade_Puffed_Rice_Muri_500_gm.jpg
Tiffany Crunch 'n' Cream Orange Wafers 65 gm,250,BDT,https://chaldn.com/_mpimage/tiffany-crunch-n-cream-orange-wafers-65-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136241&q=best&v=1&m=400&m=400&webp=1,images/Tiffany_Crunch_n_Cream_Orange_Wafers_65_gm.jpg
