name,price,currency,image_url,image_location
Hershey's Chocolate Syrup 623 gm,1029,BDT,https://chaldn.com/_mpimage/hersheys-chocolate-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103086&q=best&v=1&m=400&webp=1,images/Hersheys_Chocolate_Syrup_623_gm.jpg
Milk Vita Butter 200 gm,270,BDT,https://chaldn.com/_mpimage/milk-vita-butter-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137235&q=best&v=1&m=400&webp=1,images/Milk_Vita_Butter_200_gm.jpg
American Garden Strawberry Pie Filling 595 gm,1360,BDT,https://chaldn.com/_mpimage/american-garden-strawberry-pie-filling-595-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180141&q=best&v=1&m=400&webp=1,images/American_Garden_Strawberry_Pie_Filling_595_gm.jpg
American Garden Blueberry Pie Filling 595 gm,1360,BDT,https://chaldn.com/_mpimage/american-garden-blueberry-pie-filling-595-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180139&q=best&v=1&m=400&webp=1,images/American_Garden_Blueberry_Pie_Filling_595_gm.jpg
Aarong Dairy Cream Cheese Spread 180 gm,500,BDT,https://chaldn.com/_mpimage/aarong-dairy-cream-cheese-spread-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135802&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Cream_Cheese_Spread_180_gm.jpg
Naples Mayonnaise 475 ml,275,BDT,https://chaldn.com/_mpimage/naples-mayonnaise-475-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124900&q=best&v=1&m=400&webp=1,images/Naples_Mayonnaise_475_ml.jpg
Naples Mayonnaise 170 ml,140,BDT,https://chaldn.com/_mpimage/naples-mayonnaise-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124899&q=best&v=1&m=400&webp=1,images/Naples_Mayonnaise_170_ml.jpg
Nucella+ Chocolate Bread Spread Cocoa & Almond 230 gm,380,BDT,https://chaldn.com/_mpimage/nucella-chocolate-bread-spread-cocoa-almond-230-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176633&q=best&v=1&m=400&webp=1,images/Nucella_Chocolate_Bread_Spread_Cocoa__Almond_230_gm.jpg
American Garden Pancake Syrup Original 710 ml,1215,BDT,https://chaldn.com/_mpimage/american-garden-pancake-syrup-original-710-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177293&q=best&v=1&m=400&webp=1,images/American_Garden_Pancake_Syrup_Original_710_ml.jpg
Nocilla Two Flavor Cocoa Spread 190 gm,750,BDT,https://chaldn.com/_mpimage/nocilla-two-flavor-cocoa-spread-190-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115708&q=best&v=1&m=400&webp=1,images/Nocilla_Two_Flavor_Cocoa_Spread_190_gm.jpg
