name,price,currency,image_url,image_location
Rinda Fruity Nata Jelly Flavoured 225 gm,365,BDT,https://chaldn.com/_mpimage/rinda-fruity-nata-jelly-flavoured-225-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182937&q=best&v=1&m=400&webp=1,images/Rinda_Fruity_Nata_Jelly_Flavoured_225_gm.jpg
Haribo Chamallows Party Candy 150 gm,400,BDT,https://chaldn.com/_mpimage/haribo-chamallows-party-candy-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127434&q=best&v=1&m=400&webp=1,images/Haribo_Chamallows_Party_Candy_150_gm.jpg
Cavendish & Harvey Candy Wild Berry Drops 175 gm,449,BDT,https://chaldn.com/_mpimage/cavendish-harvey-candy-wild-berry-drops-175-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122366&q=best&v=1&m=400&m=400&webp=1,images/Cavendish__Harvey_Candy_Wild_Berry_Drops_175_gm.jpg
Cavendish & Harvey Candy Citrus Fruit Drops 200 gm,490,BDT,https://chaldn.com/_mpimage/cavendish-harvey-candy-citrus-fruit-drops-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122361&q=best&v=1&m=400&webp=1,images/Cavendish__Harvey_Candy_Citrus_Fruit_Drops_200_gm.jpg
Haribo Happy Grapes Candy 80 gm,250,BDT,https://chaldn.com/_mpimage/haribo-happy-grapes-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D83541&q=best&v=1&m=400&webp=1,images/Haribo_Happy_Grapes_Candy_80_gm.jpg
Haribo Worms Zourr Candy 80 gm,250,BDT,https://chaldn.com/_mpimage/haribo-worms-zourr-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74421&q=best&v=1&m=400&webp=1,images/Haribo_Worms_Zourr_Candy_80_gm.jpg
Haribo Starmix Candy 160 gm,460,BDT,https://chaldn.com/_mpimage/haribo-starmix-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101135&q=best&v=1&m=400&webp=1,images/Haribo_Starmix_Candy_160_gm.jpg
Haribo Happy Cola Candy 160 gm,460,BDT,https://chaldn.com/_mpimage/haribo-happy-cola-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73810&q=low&v=1&m=400&webp=1,images/Haribo_Happy_Cola_Candy_160_gm.jpg
Haribo Happy Cola Sour Candy 160 gm,460,BDT,https://chaldn.com/_mpimage/haribo-happy-cola-sour-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73812&q=best&v=1&m=400&webp=1,images/Haribo_Happy_Cola_Sour_Candy_160_gm.jpg
Haribo Chamallows Pink & White Candy 150 gm,400,BDT,https://chaldn.com/_mpimage/haribo-chamallows-pink-white-candy-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129122&q=best&v=1&m=400&webp=1,images/Haribo_Chamallows_Pink__White_Candy_150_gm.jpg
Haribo GoldBears Candy 160 gm,460,BDT,https://chaldn.com/_mpimage/haribo-goldbears-candy-160-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101123&q=best&v=1&m=400&webp=1,images/Haribo_GoldBears_Candy_160_gm.jpg
Cavendish & Harvey Sour Cherry Candy Poly 100 gm,250,BDT,https://chaldn.com/_mpimage/cavendish-harvey-sour-cherry-candy-poly-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126604&q=best&v=1&m=400&m=400&webp=1,images/Cavendish__Harvey_Sour_Cherry_Candy_Poly_100_gm.jpg
Haribo Worms Candy 80 gm,250,BDT,https://chaldn.com/_mpimage/haribo-worms-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101136&q=best&v=1&m=400&m=400&webp=1,images/Haribo_Worms_Candy_80_gm.jpg
Haribo Happy Cola Sour Candy 80 gm,250,BDT,https://chaldn.com/_mpimage/haribo-happy-cola-sour-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129127&q=best&v=1&m=400&m=400&webp=1,images/Haribo_Happy_Cola_Sour_Candy_80_gm.jpg
Haribo Happy Cola Candy 80 gm,250,BDT,https://chaldn.com/_mpimage/haribo-happy-cola-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129125&q=best&v=1&m=400&webp=1,images/Haribo_Happy_Cola_Candy_80_gm.jpg
Haribo Goldbears Candy 80 gm,250,BDT,https://chaldn.com/_mpimage/haribo-goldbears-candy-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129123&q=best&v=1&m=400&m=400&webp=1,images/Haribo_Goldbears_Candy_80_gm.jpg
Olympic Green Mango Lozenge (Candy) 50 pcs,50,BDT,https://chaldn.com/_mpimage/olympic-green-mango-lozenge-candy-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131551&q=best&v=1&m=400&webp=1,images/Olympic_Green_Mango_Lozenge_Candy_50_pcs.jpg
Cavendish & Harvey Sour Lemon Drops 200 gm,490,BDT,https://chaldn.com/_mpimage/cavendish-harvey-sour-lemon-drops-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126605&q=best&v=1&m=400&m=400&webp=1,images/Cavendish__Harvey_Sour_Lemon_Drops_200_gm.jpg
Cavendish & Harvey Butterscotch Drops 175 gm,329,BDT,https://chaldn.com/_mpimage/cavendish-harvey-butterscotch-drops-175-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126600&q=best&v=1&m=400&webp=1,images/Cavendish__Harvey_Butterscotch_Drops_175_gm.jpg
Fox's Crystal Clear Fruity Mints Candy 180 gm,345,BDT,https://chaldn.com/_mpimage/foxs-crystal-clear-fruity-mints-candy-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141398&q=best&v=1&m=400&webp=1,images/Foxs_Crystal_Clear_Fruity_Mints_Candy_180_gm.jpg
