name,price,currency,image_url,image_location
Erko Mallow World Mmas 180 gm,395,BDT,https://chaldn.com/_mpimage/erko-mallow-world-mmas-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108674&q=best&v=1&m=400&webp=1,images/Erko_Mallow_World_Mmas_180_gm.jpg
Kinder Joy (Girls) 20 gm,120,BDT,https://chaldn.com/_mpimage/kinder-joy-girls-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178902&q=best&v=1&m=400&webp=1,images/Kinder_Joy_Girls_20_gm.jpg
Cadbury Dairy Milk Chocolate Bar 12 gm,45,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-chocolate-bar-12-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128477&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Chocolate_Bar_12_gm.jpg
Kinder Joy (Boys) 20 gm,120,BDT,https://chaldn.com/_mpimage/kinder-joy-boys-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178894&q=best&v=1&m=400&m=400&webp=1,images/Kinder_Joy_Boys_20_gm.jpg
Cadbury Dairy Milk Silk Plain Chocolate 40 gm,180,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-plain-chocolate-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178547&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Plain_Chocolate_40_gm.jpg
Ferrero Rocher Collection Pralines 269.4 gm 24 pcs,1800,BDT,https://chaldn.com/_mpimage/ferrero-rocher-collection-pralines-2694-gm-24-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177531&q=best&v=1&m=400&webp=1,images/Ferrero_Rocher_Collection_Pralines_2694_gm_24_pcs.jpg
Cadbury Dairy Milk Silk Roast Almond Chocolate Bar 143 gm,550,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-roast-almond-chocolate-bar-143-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128513&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Roast_Almond_Chocolate_Bar_143_gm.jpg
Divino Chocolate Little Angel 120 gm,160,BDT,https://chaldn.com/_mpimage/divino-chocolate-little-angel-120-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169407&q=best&v=1&m=400&webp=1,images/Divino_Chocolate_Little_Angel_120_gm.jpg
Kind Salted Caramel Dark Chocolate 40 gm,295,BDT,https://chaldn.com/_mpimage/kind-salted-caramel-dark-chocolate-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98390&q=best&v=1&m=400&webp=1,images/Kind_Salted_Caramel_Dark_Chocolate_40_gm.jpg
Cadbury Celebrations 230 gm,850,BDT,https://chaldn.com/_mpimage/cadbury-celebrations-230-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140724&q=best&v=1&m=400&m=400&webp=1,images/Cadbury_Celebrations_230_gm.jpg
First Choice Whipped Topping Mixed 72 gm,250,BDT,https://chaldn.com/_mpimage/first-choice-whipped-topping-mixed-72-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86908&q=best&v=1&m=400&m=400&webp=1,images/First_Choice_Whipped_Topping_Mixed_72_gm.jpg
Bluebell Premium Dark Compound Baking Chocolate 500 gm,360,BDT,https://chaldn.com/_mpimage/bluebell-premium-dark-compound-baking-chocolate-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125859&q=best&v=1&m=400&m=400&webp=1,images/Bluebell_Premium_Dark_Compound_Baking_Chocolate_500_gm.jpg
Erko Mallow World Blue & White Mallow 100 gm,209,BDT,https://chaldn.com/_mpimage/erko-mallow-world-blue-white-mallow-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108672&q=best&v=1&m=400&m=400&webp=1,images/Erko_Mallow_World_Blue__White_Mallow_100_gm.jpg
Erko Mallow Plus Twist Mallow 180 gm,395,BDT,https://chaldn.com/_mpimage/erko-mallow-plus-twist-mallow-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108671&q=best&v=1&m=400&webp=1,images/Erko_Mallow_Plus_Twist_Mallow_180_gm.jpg
Cadbury Dairy Milk Silk Chocolate Family Pack 123 gm,500,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-chocolate-family-pack-123-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178909&q=best&v=1&m=400&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Chocolate_Family_Pack_123_gm.jpg
Cadbury Dairy Milk Silk Fruit & Nut Chocolate Bar 137 gm,580,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-fruit-nut-chocolate-bar-137-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128485&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Fruit__Nut_Chocolate_Bar_137_gm.jpg
Cadbury Dairy Milk Silk Roast Almond Chocolate Bar 52 gm,250,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-roast-almond-chocolate-bar-52-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128497&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Roast_Almond_Chocolate_Bar_52_gm.jpg
Cadbury Dairy Milk Silk Plain Chocolate Bar 140 gm,580,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-plain-chocolate-bar-140-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178908&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Plain_Chocolate_Bar_140_gm.jpg
Cadbury Dairy Milk Silk Fruit & Nut Chocolate Bar 51 gm,240,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-fruit-nut-chocolate-bar-51-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128494&q=best&v=1&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Fruit__Nut_Chocolate_Bar_51_gm.jpg
Cadbury Dairy Milk Silk Bubbly Chocolate 120 gm,550,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-bubbly-chocolate-120-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128491&q=best&v=1&m=400&m=400&webp=1,images/Cadbury_Dairy_Milk_Silk_Bubbly_Chocolate_120_gm.jpg
Amul Happy Birthday Milk Chocolate 150 gm,555,BDT,https://chaldn.com/_mpimage/amul-happy-birthday-milk-chocolate-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72214&q=best&v=1&m=400&m=400&webp=1,images/Amul_Happy_Birthday_Milk_Chocolate_150_gm.jpg
Amul I love You Fruit N Nut Chocolate 150 gm,470,BDT,https://chaldn.com/_mpimage/amul-i-love-you-fruit-n-nut-chocolate-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72212&q=best&v=1&m=400&webp=1,images/Amul_I_love_You_Fruit_N_Nut_Chocolate_150_gm.jpg
Amul Dark Chocolate Minis Gable Pouch 100 gm,469,BDT,https://chaldn.com/_mpimage/amul-dark-chocolate-minis-gable-pouch-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72183&q=best&v=1&m=400&m=400&webp=1,images/Amul_Dark_Chocolate_Minis_Gable_Pouch_100_gm.jpg
Amul Dark Chocolate 150 gm,570,BDT,https://chaldn.com/_mpimage/amul-dark-chocolate-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72155&q=best&v=1&m=400&m=400&webp=1,images/Amul_Dark_Chocolate_150_gm.jpg
270 Cadbury Dairy Milk Silk Plain Chocolate 60 gm,249,BDT,https://chaldn.com/_mpimage/cadbury-dairy-milk-silk-plain-chocolate-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126420&q=best&v=1&m=400&webp=1,images/270_Cadbury_Dairy_Milk_Silk_Plain_Chocolate_60_gm.jpg
500 Amul Dark Chocolate Bar 125 gm,459,BDT,https://chaldn.com/_mpimage/amul-dark-chocolate-bar-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109914&q=best&v=1&m=400&webp=1,images/500_Amul_Dark_Chocolate_Bar_125_gm.jpg
Munchy's Oat Krunch Dark Chocolate Cookies 208 gm,480,BDT,https://chaldn.com/_mpimage/munchys-oat-krunch-dark-chocolate-cookies-208-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141630&q=best&v=1&m=400&m=400&webp=1,images/Munchys_Oat_Krunch_Dark_Chocolate_Cookies_208_gm.jpg
