name,price,currency,image_url,image_location
Odonil Air Freshener Block Jasmine Mist 48 gm,65,BDT,https://chaldn.com/_mpimage/odonil-air-freshener-block-jasmine-mist-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105104&q=best&v=1&m=400&webp=1,images/Odonil_Air_Freshener_Block_Jasmine_Mist_48_gm.jpg
Godrej Aer Power Pocket Bathroom Fragrance Sea Breeze 10 gm,75,BDT,https://chaldn.com/_mpimage/godrej-aer-power-pocket-bathroom-fragrance-sea-breeze-10-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128828&q=best&v=1&m=400&webp=1,images/Godrej_Aer_Power_Pocket_Bathroom_Fragrance_Sea_Breeze_10_gm.jpg
Godrej Aer Power Pocket Bathroom Fragrance Rose Fresh Blossom 10 gm,75,BDT,https://chaldn.com/_mpimage/godrej-aer-power-pocket-bathroom-fragrance-rose-fresh-blossom-10-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134863&q=best&v=1&m=400&webp=1,images/Godrej_Aer_Power_Pocket_Bathroom_Fragrance_Rose_Fresh_Blossom_10_gm.jpg
Odonil Air Freshener Block Lavender Meadows 48 gm,65,BDT,https://chaldn.com/_mpimage/odonil-air-freshener-block-lavender-meadows-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105109&q=best&v=1&m=400&webp=1,images/Odonil_Air_Freshener_Block_Lavender_Meadows_48_gm.jpg
Odonil Air Freshener Block Orchid Dew 48 gm,65,BDT,https://chaldn.com/_mpimage/odonil-air-freshener-block-orchid-dew-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105115&q=best&v=1&m=400&webp=1,images/Odonil_Air_Freshener_Block_Orchid_Dew_48_gm.jpg
Godrej Aer Room Air Freshener Spray Cool Surf Blue 300 ml,300,BDT,https://chaldn.com/_mpimage/godrej-aer-room-air-freshener-spray-cool-surf-blue-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153002&q=best&v=1&m=400&webp=1,images/Godrej_Aer_Room_Air_Freshener_Spray_Cool_Surf_Blue_300_ml.jpg
Odonil Air Freshener Block Mystic Rose 48 gm,65,BDT,https://chaldn.com/_mpimage/odonil-air-freshener-block-mystic-rose-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131522&q=best&v=1&m=400&webp=1,images/Odonil_Air_Freshener_Block_Mystic_Rose_48_gm.jpg
Ermani Air Freshener (Lemon) 300 ml,290,BDT,https://chaldn.com/_mpimage/ermani-air-freshener-lemon-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184035&q=best&v=1&m=400&webp=1,images/Ermani_Air_Freshener_Lemon_300_ml.jpg
Go Fresh Air Freshener Anti Tobacco 300 ml,195,BDT,https://chaldn.com/_mpimage/go-fresh-air-freshener-anti-tobacco-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175815&q=best&v=1&m=400&webp=1,images/Go_Fresh_Air_Freshener_Anti_Tobacco_300_ml.jpg
Go Fresh Air Freshener Strawberry 300 ml,195,BDT,https://chaldn.com/_mpimage/go-fresh-air-freshener-strawberry-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175811&q=best&v=1&m=400&webp=1,images/Go_Fresh_Air_Freshener_Strawberry_300_ml.jpg
