name,price,currency,image_url,image_location
Comode Long Handle Clean Brush each,179,BDT,https://chaldn.com/_mpimage/comode-long-handle-clean-brush-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129096&q=best&v=1&m=400&webp=1,images/Comode_Long_Handle_Clean_Brush_each.jpg
Rok Dishwashing Steel Scourer each,35,BDT,https://chaldn.com/_mpimage/rok-dishwashing-steel-scourer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132985&q=best&v=1&m=400&webp=1,images/Rok_Dishwashing_Steel_Scourer_each.jpg
Dishwashing Stainless Steel Scrubber 4 pcs,150,BDT,https://chaldn.com/_mpimage/dishwashing-stainless-steel-scrubber-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135006&q=best&v=1&m=400&webp=1,images/Dishwashing_Stainless_Steel_Scrubber_4_pcs.jpg
ACI Wonder Stainless Steel Scrubber each,25,BDT,https://chaldn.com/_mpimage/aci-wonder-stainless-steel-scrubber-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178072&q=best&v=1&m=400&webp=1,images/ACI_Wonder_Stainless_Steel_Scrubber_each.jpg
Dish Washing Scrubbing Pad each,50,BDT,https://chaldn.com/_mpimage/dish-washing-scrubbing-pad-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106820&q=best&v=1&m=400&webp=1,images/Dish_Washing_Scrubbing_Pad_each.jpg
"Trash Bag Black - 20"" x 30"" 12 pcs",283,BDT,https://chaldn.com/_mpimage/trash-bag-black-20-x-30-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D49765&q=best&v=1&m=400&webp=1,images/Trash_Bag_Black_-_20_x_30_12_pcs.jpg
Flower Broom (Ful Jharu) Large each,159,BDT,https://chaldn.com/_mpimage/flower-broom-ful-jharu-large-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126428&q=best&v=1&m=400&webp=1,images/Flower_Broom_Ful_Jharu_Large_each.jpg
RFL China Bed Jharu (Lime Green) each,109,BDT,https://chaldn.com/_mpimage/rfl-china-bed-jharu-lime-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132707&q=best&v=1&m=400&webp=1,images/RFL_China_Bed_Jharu_Lime_Green_each.jpg
RFL Magic Clean Bucket With Mop (Green) each,2000,BDT,https://chaldn.com/_mpimage/rfl-magic-clean-bucket-with-mop-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113150&q=best&v=1&m=400&m=400&webp=1,images/RFL_Magic_Clean_Bucket_With_Mop_Green_each.jpg
RFL Dust Pan Small (Red) each,40,BDT,https://chaldn.com/_mpimage/rfl-dust-pan-small-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113138&q=best&v=1&m=400&m=400&webp=1,images/RFL_Dust_Pan_Small_Red_each.jpg
