name,price,currency,image_url,image_location
150 Trix Dishwashing Liquid Lemon Bottle 500 ml,145,BDT,https://chaldn.com/_mpimage/trix-dishwashing-liquid-lemon-bottle-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179252&q=best&v=1&m=400&webp=1,images/150_Trix_Dishwashing_Liquid_Lemon_Bottle_500_ml.jpg
Gloz Dishwashing Bar 300 gm,40,BDT,https://chaldn.com/_mpimage/gloz-dishwashing-bar-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186373&q=best&v=1&m=400&webp=1,images/Gloz_Dishwashing_Bar_300_gm.jpg
Gloz Dishwashing Bar 125 gm,15,BDT,https://chaldn.com/_mpimage/gloz-dishwashing-bar-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186372&q=best&v=1&m=400&webp=1,images/Gloz_Dishwashing_Bar_125_gm.jpg
GoodMaid Dishwashing Paste Lemon 400 gm,320,BDT,https://chaldn.com/_mpimage/goodmaid-dishwashing-paste-lemon-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115559&q=best&v=1&m=400&webp=1,images/GoodMaid_Dishwashing_Paste_Lemon_400_gm.jpg
Vim Dishwashing Bar 125 gm,15,BDT,https://chaldn.com/_mpimage/vim-dishwashing-bar-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165146&q=best&v=1&m=400&webp=1,images/Vim_Dishwashing_Bar_125_gm.jpg
Vim Dishwashing Bar 300 gm,40,BDT,https://chaldn.com/_mpimage/vim-dishwashing-bar-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166719&q=best&v=1&m=400&webp=1,images/Vim_Dishwashing_Bar_300_gm.jpg
Vim Dishwashing Liquid Pouch 200 ml,50,BDT,https://chaldn.com/_mpimage/vim-dishwashing-liquid-pouch-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182181&q=best&v=1&m=400&webp=1,images/Vim_Dishwashing_Liquid_Pouch_200_ml.jpg
Trix Dishwashing Liquid Lemon Refill 250 ml,70,BDT,https://chaldn.com/_mpimage/trix-dishwashing-liquid-lemon-refill-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179240&q=best&v=1&m=400&webp=1,images/Trix_Dishwashing_Liquid_Lemon_Refill_250_ml.jpg
Vim Dishwashing Liquid 475 ml,130,BDT,https://chaldn.com/_mpimage/vim-dishwashing-liquid-475-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166720&q=best&v=1&m=400&webp=1,images/Vim_Dishwashing_Liquid_475_ml.jpg
Trix Dish Washing Bar Lemon 300 gm,40,BDT,https://chaldn.com/_mpimage/trix-dish-washing-bar-lemon-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154340&q=best&v=1&m=400&webp=1,images/Trix_Dish_Washing_Bar_Lemon_300_gm.jpg
Vim Dishwashing Powder 500 gm,50,BDT,https://chaldn.com/_mpimage/vim-dishwashing-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54337&q=best&v=1&m=400&webp=1,images/Vim_Dishwashing_Powder_500_gm.jpg
Vim Dishwashing Liquid 950 ml,240,BDT,https://chaldn.com/_mpimage/vim-dishwashing-liquid-950-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182908&q=best&v=1&m=400&webp=1,images/Vim_Dishwashing_Liquid_950_ml.jpg
Trix Dishwashing Liquid (Lemon) 1 ltr,270,BDT,https://chaldn.com/_mpimage/trix-dishwashing-liquid-lemon-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180750&q=best&v=1&m=400&webp=1,images/Trix_Dishwashing_Liquid_Lemon_1_ltr.jpg
Rok Lemon Liquid Dishwash 500 ml,135,BDT,https://chaldn.com/_mpimage/rok-lemon-liquid-dishwash-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184881&q=best&v=1&m=400&webp=1,images/Rok_Lemon_Liquid_Dishwash_500_ml.jpg
Trix Dishwashing Liquid Mega Refill Super Saver Pack 5 ltr,1110,BDT,https://chaldn.com/_mpimage/trix-dishwashing-liquid-mega-refill-super-saver-pack-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186628&q=best&v=1&m=400&webp=1,images/Trix_Dishwashing_Liquid_Mega_Refill_Super_Saver_Pack_5_ltr.jpg
Shiny Dishwashing Liquid Lime 500 ml,300,BDT,https://chaldn.com/_mpimage/shiny-dishwashing-liquid-lime-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54410&q=best&v=1&m=400&m=400&webp=1,images/Shiny_Dishwashing_Liquid_Lime_500_ml.jpg
Shiny Dishwashing Paste Lemon 400 gm,250,BDT,https://chaldn.com/_mpimage/shiny-dishwashing-paste-lemon-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D51830&q=best&v=1&m=400&m=400&webp=1,images/Shiny_Dishwashing_Paste_Lemon_400_gm.jpg
Shiny Dishwashing Paste Lime 400 gm,263,BDT,https://chaldn.com/_mpimage/shiny-dishwashing-paste-lime-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133645&q=best&v=1&m=400&m=400&webp=1,images/Shiny_Dishwashing_Paste_Lime_400_gm.jpg
Magiclean Kitchen Cleaner Green Apple 500 ml,690,BDT,https://chaldn.com/_mpimage/magiclean-kitchen-cleaner-green-apple-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131892&q=best&v=1&m=400&m=400&webp=1,images/Magiclean_Kitchen_Cleaner_Green_Apple_500_ml.jpg
