name,price,currency,image_url,image_location
Saf1 Lavender Floor Cleaner 1 ltr,250,BDT,https://chaldn.com/_mpimage/saf1-lavender-floor-cleaner-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184048&q=best&v=1&m=400&webp=1,images/Saf1_Lavender_Floor_Cleaner_1_ltr.jpg
Rok Glazeo Scented Glass Cleaner Refill (Free 100 ml + Scrubber) 250 ml,120,BDT,https://chaldn.com/_mpimage/rok-glazeo-scented-glass-cleaner-refill-free-100-ml-scrubber-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169854&q=best&v=1&m=400&webp=1,images/Rok_Glazeo_Scented_Glass_Cleaner_Refill_Free_100_ml__Scrubber_250_ml.jpg
Shinex Floor Cleaner Natural 1000 ml,270,BDT,https://chaldn.com/_mpimage/shinex-floor-cleaner-natural-1000-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140571&q=best&v=1&m=400&webp=1,images/Shinex_Floor_Cleaner_Natural_1000_ml.jpg
Shinex Glass Cleaner Spray 350 ml,140,BDT,https://chaldn.com/_mpimage/shinex-glass-cleaner-spray-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181681&q=best&v=1&m=400&webp=1,images/Shinex_Glass_Cleaner_Spray_350_ml.jpg
Finis Perfume Finyle Toilet & Floor Cleaner 1 ltr,165,BDT,https://chaldn.com/_mpimage/finis-perfume-finyle-toilet-floor-cleaner-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184809&q=best&v=1&m=400&webp=1,images/Finis_Perfume_Finyle_Toilet__Floor_Cleaner_1_ltr.jpg
Saf1 Pink Dream Floor Cleaner 1 ltr,250,BDT,https://chaldn.com/_mpimage/saf1-pink-dream-floor-cleaner-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184047&q=best&v=1&m=400&webp=1,images/Saf1_Pink_Dream_Floor_Cleaner_1_ltr.jpg
Lizol Disinfectant Surface & Floor Cleaner Citrus 500 ml,160,BDT,https://chaldn.com/_mpimage/lizol-disinfectant-surface-floor-cleaner-citrus-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179248&q=best&v=1&m=400&webp=1,images/Lizol_Disinfectant_Surface__Floor_Cleaner_Citrus_500_ml.jpg
Lizol Floor Cleaner Citrus Disinfectant Surface 1 ltr,300,BDT,https://chaldn.com/_mpimage/lizol-floor-cleaner-citrus-disinfectant-surface-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179249&q=best&v=1&m=400&webp=1,images/Lizol_Floor_Cleaner_Citrus_Disinfectant_Surface_1_ltr.jpg
Mr. Brasso Glass & Multisurface Cleaner Refill 500 ml,190,BDT,https://chaldn.com/_mpimage/mr-brasso-glass-multisurface-cleaner-refill-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121652&q=best&v=1&m=400&webp=1,images/Mr_Brasso_Glass__Multisurface_Cleaner_Refill_500_ml.jpg
Lizol Disinfectant Surface & Floor Cleaner Lavender 500 ml,160,BDT,https://chaldn.com/_mpimage/lizol-disinfectant-surface-floor-cleaner-lavender-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179251&q=best&v=1&m=400&webp=1,images/Lizol_Disinfectant_Surface__Floor_Cleaner_Lavender_500_ml.jpg
Finis Phenyle Extra Strong Toilet & Floor Cleaner 3 ltr,185,BDT,https://chaldn.com/_mpimage/finis-phenyle-extra-strong-toilet-floor-cleaner-3-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161207&q=best&v=1&m=400&webp=1,images/Finis_Phenyle_Extra_Strong_Toilet__Floor_Cleaner_3_ltr.jpg
Mr. Brasso Glass & Multisurface Cleaner Spray 500 ml,230,BDT,https://chaldn.com/_mpimage/mr-brasso-glass-multisurface-cleaner-spray-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121651&q=best&v=1&m=400&webp=1,images/Mr_Brasso_Glass__Multisurface_Cleaner_Spray_500_ml.jpg
Rok Pine Disinfectant Floor Cleaner 1 ltr,288,BDT,https://chaldn.com/_mpimage/rok-pine-disinfectant-floor-cleaner-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70325&q=best&v=1&m=400&webp=1,images/Rok_Pine_Disinfectant_Floor_Cleaner_1_ltr.jpg
Lizol Floor Cleaner Floral Disinfectant Surface 1 ltr,300,BDT,https://chaldn.com/_mpimage/lizol-floor-cleaner-floral-disinfectant-surface-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167888&q=best&v=1&m=400&webp=1,images/Lizol_Floor_Cleaner_Floral_Disinfectant_Surface_1_ltr.jpg
Savlon Shinex Liquid Floor Cleaner Natural (Free Leona Soap 100 gm ) 1 ltr,270,BDT,https://chaldn.com/_mpimage/savlon-shinex-liquid-floor-cleaner-natural-free-leona-soap-100-gm-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182549&q=best&v=1&m=400&webp=1,images/Savlon_Shinex_Liquid_Floor_Cleaner_Natural_Free_Leona_Soap_100_gm__1_ltr.jpg
Sparkbliss Screen Cleaner 200 ml,170,BDT,https://chaldn.com/_mpimage/sparkbliss-screen-cleaner-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168134&q=best&v=1&m=400&webp=1,images/Sparkbliss_Screen_Cleaner_200_ml.jpg
Sparkbliss Spring Glass Cleaner 450 ml,160,BDT,https://chaldn.com/_mpimage/sparkbliss-spring-glass-cleaner-450-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168128&q=best&v=1&m=400&webp=1,images/Sparkbliss_Spring_Glass_Cleaner_450_ml.jpg
Mr. Brasso Glass & Multisurface Cleaner Refill 250 ml,100,BDT,https://chaldn.com/_mpimage/mr-brasso-glass-multisurface-cleaner-refill-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D156470&q=best&v=1&m=400&webp=1,images/Mr_Brasso_Glass__Multisurface_Cleaner_Refill_250_ml.jpg
Lizol Disinfectant Surface Cleaner Neem 500 ml,160,BDT,https://chaldn.com/_mpimage/lizol-disinfectant-surface-cleaner-neem-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D151835&q=best&v=1&m=400&webp=1,images/Lizol_Disinfectant_Surface_Cleaner_Neem_500_ml.jpg
