name,price,currency,image_url,image_location
Wheel Washing Powder 2 in 1 Clean & Fresh 1 kg,155,BDT,https://chaldn.com/_mpimage/wheel-washing-powder-2-in-1-clean-fresh-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128372&q=best&v=1&m=400&webp=1,images/Wheel_Washing_Powder_2_in_1_Clean__Fresh_1_kg.jpg
Wheel Washing Laundry Bar 125 gm,30,BDT,https://chaldn.com/_mpimage/wheel-washing-laundry-bar-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138275&q=best&v=1&m=400&webp=1,images/Wheel_Washing_Laundry_Bar_125_gm.jpg
Wheel Washing Powder 2 in 1 Clean & Fresh 500 gm,80,BDT,https://chaldn.com/_mpimage/wheel-washing-powder-2-in-1-clean-fresh-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138276&q=best&v=1&m=400&webp=1,images/Wheel_Washing_Powder_2_in_1_Clean__Fresh_500_gm.jpg
Rin Advanced Detergent Powder 500 gm,100,BDT,https://chaldn.com/_mpimage/rin-advanced-detergent-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135408&q=best&v=1&m=400&webp=1,images/Rin_Advanced_Detergent_Powder_500_gm.jpg
Tibet 570 Laundry Soap 125 gm,27,BDT,https://chaldn.com/_mpimage/tibet-570-laundry-soap-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136136&q=best&v=1&m=400&webp=1,images/Tibet_570_Laundry_Soap_125_gm.jpg
Tibet Rose & Lemon Detergent Powder 500 gm,70,BDT,https://chaldn.com/_mpimage/tibet-rose-lemon-detergent-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141672&q=best&v=1&m=400&webp=1,images/Tibet_Rose__Lemon_Detergent_Powder_500_gm.jpg
Surf Excel Matic Liquid Detergent Top Load 1 ltr,400,BDT,https://chaldn.com/_mpimage/surf-excel-matic-liquid-detergent-top-load-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168972&q=best&v=1&m=400&webp=1,images/Surf_Excel_Matic_Liquid_Detergent_Top_Load_1_ltr.jpg
Ujjal Synthetic Laundry Detergent Powder 500 gm,70,BDT,https://chaldn.com/_mpimage/ujjal-synthetic-laundry-detergent-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186387&q=best&v=1&m=400&webp=1,images/Ujjal_Synthetic_Laundry_Detergent_Powder_500_gm.jpg
Ujjal Synthetic Laundry Detergent Powder 1 kg,140,BDT,https://chaldn.com/_mpimage/ujjal-synthetic-laundry-detergent-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186388&q=best&v=1&m=400&webp=1,images/Ujjal_Synthetic_Laundry_Detergent_Powder_1_kg.jpg
Redy Synthetic Detergent Powder 1 kg,185,BDT,https://chaldn.com/_mpimage/redy-synthetic-detergent-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186363&q=best&v=1&m=400&webp=1,images/Redy_Synthetic_Detergent_Powder_1_kg.jpg
Redy Synthetic Detergent Powder 200 gm,40,BDT,https://chaldn.com/_mpimage/redy-synthetic-detergent-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186361&q=best&v=1&m=400&webp=1,images/Redy_Synthetic_Detergent_Powder_200_gm.jpg
Nirala Ball Laundry Soap 125 gm,26,BDT,https://chaldn.com/_mpimage/nirala-ball-laundry-soap-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176497&q=best&v=1&m=400&webp=1,images/Nirala_Ball_Laundry_Soap_125_gm.jpg
Mine Synthetic Detergent Powder 500 gm,90,BDT,https://chaldn.com/_mpimage/mine-synthetic-detergent-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167597&q=best&v=1&m=400&webp=1,images/Mine_Synthetic_Detergent_Powder_500_gm.jpg
Jet Classic Detergent Powder Poly Pack 200 gm,60,BDT,https://chaldn.com/_mpimage/jet-classic-detergent-powder-poly-pack-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129583&q=best&v=1&m=400&webp=1,images/Jet_Classic_Detergent_Powder_Poly_Pack_200_gm.jpg
Surf Excel Matic Liquid Detergent Top Load 500 ml,210,BDT,https://chaldn.com/_mpimage/surf-excel-matic-liquid-detergent-top-load-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136022&q=best&v=1&m=400&m=400&webp=1,images/Surf_Excel_Matic_Liquid_Detergent_Top_Load_500_ml.jpg
ACI Supreme Antibacterial Detergent Powder 1 kg,180,BDT,https://chaldn.com/_mpimage/aci-supreme-antibacterial-detergent-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115138&q=best&v=1&m=400&webp=1,images/ACI_Supreme_Antibacterial_Detergent_Powder_1_kg.jpg
ACI Supreme Antibacterial Detergent Powder 500 gm,90,BDT,https://chaldn.com/_mpimage/aci-supreme-antibacterial-detergent-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122870&q=best&v=1&m=400&webp=1,images/ACI_Supreme_Antibacterial_Detergent_Powder_500_gm.jpg
ACI Smart Detergent Powder 500 gm,75,BDT,https://chaldn.com/_mpimage/aci-smart-detergent-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122868&q=best&v=1&m=400&webp=1,images/ACI_Smart_Detergent_Powder_500_gm.jpg
Tibet Ball Soap 125 gm,26,BDT,https://chaldn.com/_mpimage/tibet-ball-soap-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D96772&q=best&v=1&m=400&webp=1,images/Tibet_Ball_Soap_125_gm.jpg
Rin Advanced Detergent Powder 1 kg,195,BDT,https://chaldn.com/_mpimage/rin-advanced-detergent-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135407&q=best&v=1&m=400&webp=1,images/Rin_Advanced_Detergent_Powder_1_kg.jpg
Wheel Washing Powder 2 in 1 Clean & Fresh 2 kg,280,BDT,https://chaldn.com/_mpimage/wheel-washing-powder-2-in-1-clean-fresh-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127801&q=best&v=1&m=400&webp=1,images/Wheel_Washing_Powder_2_in_1_Clean__Fresh_2_kg.jpg
Chaka Advanced Ball Soap 125 gm,26,BDT,https://chaldn.com/_mpimage/chaka-advanced-ball-soap-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95386&q=best&v=1&m=400&webp=1,images/Chaka_Advanced_Ball_Soap_125_gm.jpg
Surf Excel Washing Powder 1 kg,235,BDT,https://chaldn.com/_mpimage/surf-excel-washing-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177867&q=best&v=1&m=400&webp=1,images/Surf_Excel_Washing_Powder_1_kg.jpg
Surf Excel Washing Powder 500 gm,120,BDT,https://chaldn.com/_mpimage/surf-excel-washing-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178720&q=best&v=1&m=400&webp=1,images/Surf_Excel_Washing_Powder_500_gm.jpg
Jet Aroma+ Detergent Powder Paper Pack 1 kg,320,BDT,https://chaldn.com/_mpimage/jet-aroma-detergent-powder-paper-pack-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160839&q=best&v=1&m=400&webp=1,images/Jet_Aroma_Detergent_Powder_Paper_Pack_1_kg.jpg
Rin Advanced Detergent Powder 2 kg,370,BDT,https://chaldn.com/_mpimage/rin-advanced-detergent-powder-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138534&q=best&v=1&m=400&webp=1,images/Rin_Advanced_Detergent_Powder_2_kg.jpg
Rin Washing Liquid 800 ml,220,BDT,https://chaldn.com/_mpimage/rin-washing-liquid-800-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165145&q=best&v=1&m=400&webp=1,images/Rin_Washing_Liquid_800_ml.jpg
Jet Classic Detergent Powder Paper Pack 1 kg,300,BDT,https://chaldn.com/_mpimage/jet-classic-detergent-powder-paper-pack-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98622&q=best&v=1&m=400&m=400&webp=1,images/Jet_Classic_Detergent_Powder_Paper_Pack_1_kg.jpg
Tibet Laundry Soap Blue 125 gm,27,BDT,https://chaldn.com/_mpimage/tibet-laundry-soap-blue-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136178&q=best&v=1&m=400&m=400&webp=1,images/Tibet_Laundry_Soap_Blue_125_gm.jpg
ACI Smart Detergent Powder 1 kg,145,BDT,https://chaldn.com/_mpimage/aci-smart-detergent-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115134&q=best&v=1&m=400&m=400&webp=1,images/ACI_Smart_Detergent_Powder_1_kg.jpg
Chaka All-In-1 Washing Powder 1 kg,145,BDT,https://chaldn.com/_mpimage/chaka-all-in-1-washing-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176451&q=best&v=1&m=400&webp=1,images/Chaka_All-In-1_Washing_Powder_1_kg.jpg
Fast Wash Detergent Powder 1 kg,180,BDT,https://chaldn.com/_mpimage/fast-wash-detergent-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128428&q=best&v=1&m=400&webp=1,images/Fast_Wash_Detergent_Powder_1_kg.jpg
