name,price,currency,image_url,image_location
Fresh Hand Towel (250X1 Ply) each,100,BDT,https://chaldn.com/_mpimage/fresh-hand-towel-250x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113119&q=best&v=1&m=400&webp=1,images/Fresh_Hand_Towel_250X1_Ply_each.jpg
Bashundhara Kitchen Towel Rolls 2 pcs,160,BDT,https://chaldn.com/_mpimage/bashundhara-kitchen-towel-rolls-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99748&q=best&v=1&m=400&webp=1,images/Bashundhara_Kitchen_Towel_Rolls_2_pcs.jpg
Fresh Perfumed Facial Tissue (150 X 2) ply Box each,100,BDT,https://chaldn.com/_mpimage/fresh-perfumed-facial-tissue-150-x-2-ply-box-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D49747&q=best&v=1&m=400&webp=1,images/Fresh_Perfumed_Facial_Tissue_150_X_2_ply_Box_each.jpg
"Fresh Paper Napkins 13"" Perfumed (100X1 Ply) each",75,BDT,https://chaldn.com/_mpimage/fresh-paper-napkins-13-perfumed-100x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113125&q=best&v=1&m=400&webp=1,images/Fresh_Paper_Napkins_13_Perfumed_100X1_Ply_each.jpg
Bashundhara Kitchen Towel Rolls each,85,BDT,https://chaldn.com/_mpimage/bashundhara-kitchen-towel-rolls-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124786&q=best&v=1&m=400&webp=1,images/Bashundhara_Kitchen_Towel_Rolls_each.jpg
Fresh kitchen Towel Roll each,85,BDT,https://chaldn.com/_mpimage/fresh-kitchen-towel-roll-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D49743&q=best&v=1&m=400&webp=1,images/Fresh_kitchen_Towel_Roll_each.jpg
Partex Cleen Toilet Tissue 4 pcs,95,BDT,https://chaldn.com/_mpimage/partex-cleen-toilet-tissue-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122615&q=best&v=1&m=400&webp=1,images/Partex_Cleen_Toilet_Tissue_4_pcs.jpg
Bashundhara Toilet Tissue White Extra Savings Pack 4 pcs,100,BDT,https://chaldn.com/_mpimage/bashundhara-toilet-tissue-white-extra-savings-pack-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100127&q=best&v=1&m=400&webp=1,images/Bashundhara_Toilet_Tissue_White_Extra_Savings_Pack_4_pcs.jpg
"Bashundhara Paper Napkins 13"" Unscented 100 pcs",75,BDT,https://chaldn.com/_mpimage/bashundhara-paper-napkins-13-unscented-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164084&q=best&v=1&m=400&webp=1,images/Bashundhara_Paper_Napkins_13_Unscented_100_pcs.jpg
Fresh Toilet Tissue (Family Value Pack) 4 pcs,100,BDT,https://chaldn.com/_mpimage/fresh-toilet-tissue-family-value-pack-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113296&q=best&v=1&m=400&webp=1,images/Fresh_Toilet_Tissue_Family_Value_Pack_4_pcs.jpg
