name,price,currency,image_url,image_location
415 Mortein 2 in 1 Mosquito & Cockroach Killer Aerosol Spray 400 ml,369,BDT,https://chaldn.com/_mpimage/mortein-2-in-1-mosquito-cockroach-killer-aerosol-spray-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176999&q=best&v=1&m=400&webp=1,images/415_Mortein_2_in_1_Mosquito__Cockroach_Killer_Aerosol_Spray_400_ml.jpg
GoodKnight Liquid Mosquito Repellent Refill 45 ml,130,BDT,https://chaldn.com/_mpimage/goodknight-liquid-mosquito-repellent-refill-45-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158216&q=best&v=1&m=400&webp=1,images/GoodKnight_Liquid_Mosquito_Repellent_Refill_45_ml.jpg
ACI Aerosol Insect Spray 475 ml,415,BDT,https://chaldn.com/_mpimage/aci-aerosol-insect-spray-475-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125122&q=best&v=1&m=400&webp=1,images/ACI_Aerosol_Insect_Spray_475_ml.jpg
Black Hit Anti Mosquito Aerosol Spray Lime 475 ml,415,BDT,https://chaldn.com/_mpimage/black-hit-anti-mosquito-aerosol-spray-lime-475-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130214&q=best&v=1&m=400&webp=1,images/Black_Hit_Anti_Mosquito_Aerosol_Spray_Lime_475_ml.jpg
Mortein Mosquito Repellent Insta Vaporizer (Machine + Refill) each,220,BDT,https://chaldn.com/_mpimage/mortein-mosquito-repellent-insta-vaporizer-machine-refill-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168783&q=best&v=1&m=400&webp=1,images/Mortein_Mosquito_Repellent_Insta_Vaporizer_Machine__Refill_each.jpg
Finis Max Jumbo Mosquito Coil 10 pcs,60,BDT,https://chaldn.com/_mpimage/finis-max-jumbo-mosquito-coil-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D157804&q=best&v=1&m=400&webp=1,images/Finis_Max_Jumbo_Mosquito_Coil_10_pcs.jpg
Finis Black Booster Mosquito Coil 10 pcs,60,BDT,https://chaldn.com/_mpimage/finis-black-booster-mosquito-coil-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164515&q=best&v=1&m=400&webp=1,images/Finis_Black_Booster_Mosquito_Coil_10_pcs.jpg
Black Hit Anti Mosquito Aerosol Spray Lime Fresh 800 ml,620,BDT,https://chaldn.com/_mpimage/black-hit-anti-mosquito-aerosol-spray-lime-fresh-800-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127457&q=best&v=1&m=400&webp=1,images/Black_Hit_Anti_Mosquito_Aerosol_Spray_Lime_Fresh_800_ml.jpg
ACI Aerosol Insect Spray Jumbo 800 ml,620,BDT,https://chaldn.com/_mpimage/aci-aerosol-insect-spray-jumbo-800-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122782&q=best&v=1&m=400&webp=1,images/ACI_Aerosol_Insect_Spray_Jumbo_800_ml.jpg
Finis Booster Mosquito Coil 10 pcs,60,BDT,https://chaldn.com/_mpimage/finis-booster-mosquito-coil-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164514&q=best&v=1&m=400&webp=1,images/Finis_Booster_Mosquito_Coil_10_pcs.jpg
Godrej New Hit Cockroaches Spray 400 ml,350,BDT,https://chaldn.com/_mpimage/godrej-new-hit-cockroaches-spray-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152402&q=best&v=1&m=400&webp=1,images/Godrej_New_Hit_Cockroaches_Spray_400_ml.jpg
Godrej Red Hit Cockroaches Spray Fresh Fragrance 625 ml,530,BDT,https://chaldn.com/_mpimage/godrej-red-hit-cockroaches-spray-fresh-fragrance-625-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110126&q=best&v=1&m=400&webp=1,images/Godrej_Red_Hit_Cockroaches_Spray_Fresh_Fragrance_625_ml.jpg
Baoma Mosquito Coil (No smoke) 10 pcs,135,BDT,https://chaldn.com/_mpimage/baoma-mosquito-coil-no-smoke-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103818&q=best&v=1&m=400&webp=1,images/Baoma_Mosquito_Coil_No_smoke_10_pcs.jpg
Weidasi Multifunction Electric Mosquito Swatter With Led Light And Charger (Orange) each,719,BDT,https://chaldn.com/_mpimage/weidasi-multifunction-electric-mosquito-swatter-with-led-light-and-charger-orange-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125146&q=best&v=1&m=400&webp=1,images/Weidasi_Multifunction_Electric_Mosquito_Swatter_With_Led_Light_And_Charger_Orang.jpg
Black Hit Anti Mosquito Lime Fresh Aerosol 200 ml,225,BDT,https://chaldn.com/_mpimage/black-hit-anti-mosquito-lime-fresh-aerosol-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180907&q=best&v=1&m=400&webp=1,images/Black_Hit_Anti_Mosquito_Lime_Fresh_Aerosol_200_ml.jpg
Mortein Mosquito Repellent Insta Vaporizer Refill 45 ml,130,BDT,https://chaldn.com/_mpimage/mortein-mosquito-repellent-insta-vaporizer-refill-45-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168844&q=best&v=1&m=400&webp=1,images/Mortein_Mosquito_Repellent_Insta_Vaporizer_Refill_45_ml.jpg
Godrej Fresh Fragrance New Hit Cockroaches Aerosol (Red) 200 ml,200,BDT,https://chaldn.com/_mpimage/godrej-fresh-fragrance-new-hit-cockroaches-aerosol-red-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181250&q=best&v=1&m=400&webp=1,images/Godrej_Fresh_Fragrance_New_Hit_Cockroaches_Aerosol_Red_200_ml.jpg
Godrej Good Knight Power Activ+ Twin Saver Pack 45 ml each,230,BDT,https://chaldn.com/_mpimage/godrej-good-knight-power-activ-twin-saver-pack-45-ml-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160531&q=best&v=1&m=400&webp=1,images/Godrej_Good_Knight_Power_Activ_Twin_Saver_Pack_45_ml_each.jpg
Odomos Naturals Mosquito Repellent Spray 100 ml,670,BDT,https://chaldn.com/_mpimage/odomos-naturals-mosquito-repellent-spray-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105256&q=best&v=1&m=400&m=400&webp=1,images/Odomos_Naturals_Mosquito_Repellent_Spray_100_ml.jpg
