name,price,currency,image_url,image_location
Harpic Liquid Toilet Cleaner Original 1 ltr,235,BDT,https://chaldn.com/_mpimage/harpic-liquid-toilet-cleaner-original-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186626&q=best&v=1&m=400&webp=1,images/Harpic_Liquid_Toilet_Cleaner_Original_1_ltr.jpg
Rok Disinfectant Bleaching Powder 500 gm,65,BDT,https://chaldn.com/_mpimage/rok-disinfectant-bleaching-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180912&q=best&v=1&m=400&webp=1,images/Rok_Disinfectant_Bleaching_Powder_500_gm.jpg
Harpic Liquid Toilet Cleaner Original 250 ml,70,BDT,https://chaldn.com/_mpimage/harpic-liquid-toilet-cleaner-original-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169694&q=best&v=1&m=400&webp=1,images/Harpic_Liquid_Toilet_Cleaner_Original_250_ml.jpg
Finis Stable Bleaching Powder 500 gm,65,BDT,https://chaldn.com/_mpimage/finis-stable-bleaching-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D157803&q=best&v=1&m=400&webp=1,images/Finis_Stable_Bleaching_Powder_500_gm.jpg
Finis Perfume Finyle Toilet & Floor Cleaner 1 ltr,165,BDT,https://chaldn.com/_mpimage/finis-perfume-finyle-toilet-floor-cleaner-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184809&q=best&v=1&m=400&webp=1,images/Finis_Perfume_Finyle_Toilet__Floor_Cleaner_1_ltr.jpg
Harpic Flushmatic Marine In-Cistern Toilet Cleaner Block 50 gm each,165,BDT,https://chaldn.com/_mpimage/harpic-flushmatic-marine-in-cistern-toilet-cleaner-block-50-gm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169636&q=best&v=1&m=400&webp=1,images/Harpic_Flushmatic_Marine_In-Cistern_Toilet_Cleaner_Block_50_gm_each.jpg
Harpic All-In-One Toilet & Bathroom Cleaning Powder 400 gm,105,BDT,https://chaldn.com/_mpimage/harpic-all-in-one-toilet-bathroom-cleaning-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169742&q=best&v=1&m=400&webp=1,images/Harpic_All-In-One_Toilet__Bathroom_Cleaning_Powder_400_gm.jpg
Harpic All-In-One Toilet & Bathroom Cleaning Powder 200 gm,60,BDT,https://chaldn.com/_mpimage/harpic-all-in-one-toilet-bathroom-cleaning-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169736&q=best&v=1&m=400&webp=1,images/Harpic_All-In-One_Toilet__Bathroom_Cleaning_Powder_200_gm.jpg
Harpic Liquid Toilet Cleaner Original 500 ml,135,BDT,https://chaldn.com/_mpimage/harpic-liquid-toilet-cleaner-original-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169577&q=best&v=1&m=400&webp=1,images/Harpic_Liquid_Toilet_Cleaner_Original_500_ml.jpg
Harpic Liquid Toilet Cleaner Original 750 ml,180,BDT,https://chaldn.com/_mpimage/harpic-liquid-toilet-cleaner-original-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169613&q=best&v=1&m=400&webp=1,images/Harpic_Liquid_Toilet_Cleaner_Original_750_ml.jpg
