name,price,currency,image_url,image_location
RFL Dust Keeper Paper Basket (Red) each,100,BDT,https://chaldn.com/_mpimage/rfl-dust-keeper-paper-basket-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132754&q=best&v=1&m=400&webp=1,images/RFL_Dust_Keeper_Paper_Basket_Red_each.jpg
RFL Sunflower Paper Basket (Blue) each,130,BDT,https://chaldn.com/_mpimage/rfl-sunflower-paper-basket-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132807&q=best&v=1&m=400&m=400&webp=1,images/RFL_Sunflower_Paper_Basket_Blue_each.jpg
RFL Wave Paper Basket (Pink) each,115,BDT,https://chaldn.com/_mpimage/rfl-wave-paper-basket-pink-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132893&q=best&v=1&m=400&webp=1,images/RFL_Wave_Paper_Basket_Pink_each.jpg
RFL Wave Paper Basket (Blue) each,115,BDT,https://chaldn.com/_mpimage/rfl-wave-paper-basket-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132892&q=best&v=1&m=400&webp=1,images/RFL_Wave_Paper_Basket_Blue_each.jpg
RFL Modern Paper Basket (Pink) each,85,BDT,https://chaldn.com/_mpimage/rfl-modern-paper-basket-pink-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113153&q=best&v=1&m=400&m=400&webp=1,images/RFL_Modern_Paper_Basket_Pink_each.jpg
RFL Modern Paper Basket (Blue) each,115,BDT,https://chaldn.com/_mpimage/rfl-modern-paper-basket-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132766&q=best&v=1&m=400&webp=1,images/RFL_Modern_Paper_Basket_Blue_each.jpg
RFL Clean Paper Basket (Pink) each,110,BDT,https://chaldn.com/_mpimage/rfl-clean-paper-basket-pink-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D91832&q=best&v=1&m=400&webp=1,images/RFL_Clean_Paper_Basket_Pink_each.jpg
RFL Clean Paper Basket (Blue) each,115,BDT,https://chaldn.com/_mpimage/rfl-clean-paper-basket-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113099&q=best&v=1&m=400&webp=1,images/RFL_Clean_Paper_Basket_Blue_each.jpg
RFL Dust Keeper Paper Basket (Blue) each,100,BDT,https://chaldn.com/_mpimage/rfl-dust-keeper-paper-basket-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132755&q=best&v=1&m=400&webp=1,images/RFL_Dust_Keeper_Paper_Basket_Blue_each.jpg
RFL Flip And Clean Dust Bin 4 ltr each,200,BDT,https://chaldn.com/_mpimage/rfl-flip-and-clean-dust-bin-4-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113143&q=best&v=1&m=400&m=400&webp=1,images/RFL_Flip_And_Clean_Dust_Bin_4_ltr_each.jpg
