name,price,currency,image_url,image_location
80 Golden Grain Red Flattened Rice (Lal Chira) 500 gm,65,BDT,https://chaldn.com/_mpimage/golden-grain-red-flattened-rice-lal-chira-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186706&q=best&v=1&m=400&webp=1,images/80_Golden_Grain_Red_Flattened_Rice_Lal_Chira_500_gm.jpg
2300 Smart Care Ultra Thin Baby Pant Diaper XL (12-17 kg) 46 pcs,1629,BDT,https://chaldn.com/_mpimage/smart-care-ultra-thin-baby-pant-diaper-xl-12-17-kg-46-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184640&q=best&v=1&m=400&webp=1,images/2300_Smart_Care_Ultra_Thin_Baby_Pant_Diaper_XL_12-17_kg_46_pcs.jpg
700 Shankar Umbrella With Box Black Colour (10 Spoke) each,449,BDT,https://chaldn.com/_mpimage/shankar-umbrella-with-box-black-colour-10-spoke-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178862&q=best&v=1&m=400&webp=1,images/700_Shankar_Umbrella_With_Box_Black_Colour_10_Spoke_each.jpg
650 Dilmah Ceylon Moroccan Mint Green Tea 40 gm,549,BDT,https://chaldn.com/_mpimage/dilmah-ceylon-moroccan-mint-green-tea-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177291&q=best&v=1&m=400&webp=1,images/650_Dilmah_Ceylon_Moroccan_Mint_Green_Tea_40_gm.jpg
95 Ahmed Chicken Masala 100 gm,79,BDT,https://chaldn.com/_mpimage/ahmed-chicken-masala-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122976&q=best&v=1&m=400&webp=1,images/95_Ahmed_Chicken_Masala_100_gm.jpg
150 Dekko Fruit Funda Soft Drink Powder (Orange) 250 gm,127,BDT,https://chaldn.com/_mpimage/dekko-fruit-funda-soft-drink-powder-orange-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186987&q=best&v=1&m=400&webp=1,images/150_Dekko_Fruit_Funda_Soft_Drink_Powder_Orange_250_gm.jpg
440 Sensodyne Complete Protection Toothbrush (Buy 2 Get 1 Free) 3 pcs,349,BDT,https://chaldn.com/_mpimage/sensodyne-complete-protection-toothbrush-buy-2-get-1-free-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179685&q=best&v=1&m=400&webp=1,images/440_Sensodyne_Complete_Protection_Toothbrush_Buy_2_Get_1_Free_3_pcs.jpg
60 Sensodyne Daily Protection Toothpaste 20 gm,55,BDT,https://chaldn.com/_mpimage/sensodyne-daily-protection-toothpaste-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179682&q=best&v=1&m=400&webp=1,images/60_Sensodyne_Daily_Protection_Toothpaste_20_gm.jpg
200 Sensodyne Sensitivity & Gum Toothbrush each,169,BDT,https://chaldn.com/_mpimage/sensodyne-sensitivity-gum-toothbrush-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179675&q=best&v=1&m=400&webp=1,images/200_Sensodyne_Sensitivity__Gum_Toothbrush_each.jpg
280 Sensodyne Gentle Care (Buy 1 Get 1 Free) 2 pcs,229,BDT,https://chaldn.com/_mpimage/sensodyne-gentle-care-buy-1-get-1-free-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179672&q=best&v=1&m=400&webp=1,images/280_Sensodyne_Gentle_Care_Buy_1_Get_1_Free_2_pcs.jpg
415 Mortein 2 in 1 Mosquito & Cockroach Killer Aerosol Spray 400 ml,369,BDT,https://chaldn.com/_mpimage/mortein-2-in-1-mosquito-cockroach-killer-aerosol-spray-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176999&q=best&v=1&m=400&webp=1,images/415_Mortein_2_in_1_Mosquito__Cockroach_Killer_Aerosol_Spray_400_ml.jpg
410 Sensodyne Expert Brush (Buy 2 Get 1 Free) 3 pcs,329,BDT,https://chaldn.com/_mpimage/sensodyne-expert-brush-buy-2-get-1-free-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187745&q=best&v=1&m=400&webp=1,images/410_Sensodyne_Expert_Brush_Buy_2_Get_1_Free_3_pcs.jpg
150 Dekko Fruit Funda Mango Instant Drink Powder 250 gm,127,BDT,https://chaldn.com/_mpimage/dekko-fruit-funda-mango-instant-drink-powder-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187023&q=best&v=1&m=400&webp=1,images/150_Dekko_Fruit_Funda_Mango_Instant_Drink_Powder_250_gm.jpg
220 Parodontax Toothbrush each,179,BDT,https://chaldn.com/_mpimage/parodontax-toothbrush-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179683&q=best&v=1&m=400&webp=1,images/220_Parodontax_Toothbrush_each.jpg
150 RFL Stainless Steel Net Spoon 33 cm each,105,BDT,https://chaldn.com/_mpimage/rfl-stainless-steel-net-spoon-33-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101027&q=best&v=1&m=400&webp=1,images/150_RFL_Stainless_Steel_Net_Spoon_33_cm_each.jpg
280 Foodinnova Toro Toro Cat Soup Tuna & Katsuobushi 75 gm,239,BDT,https://chaldn.com/_mpimage/foodinnova-toro-toro-cat-soup-tuna-katsuobushi-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169117&q=best&v=1&m=400&webp=1,images/280_Foodinnova_Toro_Toro_Cat_Soup_Tuna__Katsuobushi_75_gm.jpg
642 Meat Tenderizer (2.5 x 8 inch) China each,629,BDT,https://chaldn.com/_mpimage/meat-tenderizer-25-x-8-inch-china-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130655&q=best&v=1&m=400&webp=1,images/642_Meat_Tenderizer_25_x_8_inch_China_each.jpg
