name,price,currency,image_url,image_location
Keto Food,,BDT,https://chaldn.com/_mpimage/keto-food?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166448&q=low&v=1&m=400&webp=1,images/Keto_Food.jpg
Antiseptics,,BDT,https://chaldn.com/_mpimage/antiseptics?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D27490&q=low&v=1&m=400&webp=1,images/Antiseptics.jpg
Handwash Handrub,,BDT,https://chaldn.com/_mpimage/handwash-handrub?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166451&q=best&v=1&m=400&webp=1,images/Handwash_Handrub.jpg
Herbal Digestive Aids,,BDT,https://chaldn.com/_mpimage/herbal-digestive-aids?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166446&q=low&v=1&m=400&webp=1,images/Herbal_Digestive_Aids.jpg
Food Supplements,,BDT,https://chaldn.com/_mpimage/food-supplements?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28781&q=low&v=1&m=400&webp=1,images/Food_Supplements.jpg
Face Masks Safety,,BDT,https://chaldn.com/_mpimage/face-masks-safety?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116610&q=low&v=1&m=400&webp=1,images/Face_Masks_Safety.jpg
Family Planning,,BDT,https://chaldn.com/_mpimage/family-planning?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D27464&q=low&v=1&m=400&webp=1,images/Family_Planning.jpg
Mouthwashes Inhaler Balm,,BDT,https://chaldn.com/_mpimage/mouthwashes-inhaler-balm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116592&q=low&v=1&m=400&webp=1,images/Mouthwashes_Inhaler_Balm.jpg
Adult Diapers,,BDT,https://chaldn.com/_mpimage/adult-diapers?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28778&q=low&v=1&m=400&webp=1,images/Adult_Diapers.jpg
Medical Devices,,BDT,https://chaldn.com/_mpimage/medical-devices?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116596&q=low&v=1&m=400&webp=1,images/Medical_Devices.jpg
