name,price,currency,image_url,image_location
Vision Electronic Iron Multi-Color (VIS-DEI-011) each,1400,BDT,https://chaldn.com/_mpimage/vision-electronic-iron-multi-color-vis-dei-011-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185382&q=best&v=1&m=400&webp=1,images/Vision_Electronic_Iron_Multi-Color_VIS-DEI-011_each.jpg
Vision Electric Heavy Iron (VIS-DEI-012) each,1350,BDT,https://chaldn.com/_mpimage/vision-electric-heavy-iron-vis-dei-012-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185381&q=best&v=1&m=400&webp=1,images/Vision_Electric_Heavy_Iron_VIS-DEI-012_each.jpg
Vision Electric Kettle Glass (VIS-EK-016) 1.8 ltr,1500,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-glass-vis-ek-016-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185377&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_Glass_VIS-EK-016_18_ltr.jpg
Vision Room Comforter Wall Mount each,5900,BDT,https://chaldn.com/_mpimage/vision-room-comforter-wall-mount-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185375&q=best&v=1&m=400&webp=1,images/Vision_Room_Comforter_Wall_Mount_each.jpg
Vision Electric Kettle (VIS-EK-008) 1.5 ltr,900,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-vis-ek-008-15-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185374&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_VIS-EK-008_15_ltr.jpg
Vision Electric Kettle (VIS-EK-005) 1.8 ltr,1000,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-vis-ek-005-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185373&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_VIS-EK-005_18_ltr.jpg
Vision Room Heater Fire with Smooth Moving System each,3600,BDT,https://chaldn.com/_mpimage/vision-room-heater-fire-with-smooth-moving-system-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185372&q=best&v=1&m=400&webp=1,images/Vision_Room_Heater_Fire_with_Smooth_Moving_System_each.jpg
RFL Topper Nonstick Glamour Fry Pan With Lid (Ash) 28 cm,1540,BDT,https://chaldn.com/_mpimage/rfl-topper-nonstick-glamour-fry-pan-with-lid-ash-28-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185170&q=best&v=1&m=400&webp=1,images/RFL_Topper_Nonstick_Glamour_Fry_Pan_With_Lid_Ash_28_cm.jpg
RFL Topper Nonstick Marble Coated Fry Pan With Lid 26 cm,1450,BDT,https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-fry-pan-with-lid-26-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185168&q=best&v=1&m=400&webp=1,images/RFL_Topper_Nonstick_Marble_Coated_Fry_Pan_With_Lid_26_cm.jpg
RFL Topper Nonstick Marble Coated Fry Pan With Lid IB 22 cm,1250,BDT,https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-fry-pan-with-lid-ib-22-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185167&q=best&v=1&m=400&webp=1,images/RFL_Topper_Nonstick_Marble_Coated_Fry_Pan_With_Lid_IB_22_cm.jpg
RFL Topper Nonstick Marble Coated Fry Pan With Lid 24 cm each,1300,BDT,https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-fry-pan-with-lid-24-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185166&q=best&v=1&m=400&webp=1,images/RFL_Topper_Nonstick_Marble_Coated_Fry_Pan_With_Lid_24_cm_each.jpg
RFL Topper Nonstick Glamour Dosa Tawa IB (Ash) 26 cm each,1100,BDT,https://chaldn.com/_mpimage/rfl-topper-nonstick-glamour-dosa-tawa-ib-ash-26-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185165&q=best&v=1&m=400&webp=1,images/RFL_Topper_Nonstick_Glamour_Dosa_Tawa_IB_Ash_26_cm_each.jpg
