name,price,currency,image_url,image_location
Tiara Food Color (Green) 28 ml Next Day,90,BDT,https://chaldn.com/_mpimage/tiara-food-color-green-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101312&q=best&v=1&m=400&webp=1,images/Tiara_Food_Color_Green_28_ml_Next_Day.jpg
Bragg Organic Apple Cider Vinegar 946 ml Next Day,1499,BDT,https://chaldn.com/_mpimage/bragg-organic-apple-cider-vinegar-946-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126229&q=best&v=1&m=400&webp=1,images/Bragg_Organic_Apple_Cider_Vinegar_946_ml_Next_Day.jpg
Hershey's Chocolate Syrup 623 gm Next Day,1029,BDT,https://chaldn.com/_mpimage/hersheys-chocolate-syrup-623-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103086&q=best&v=1&m=400&webp=1,images/Hersheys_Chocolate_Syrup_623_gm_Next_Day.jpg
Kikkoman Premium Soy Sauce 600 ml Next Day,679,BDT,https://chaldn.com/_mpimage/kikkoman-premium-soy-sauce-600-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109792&q=best&v=1&m=400&webp=1,images/Kikkoman_Premium_Soy_Sauce_600_ml_Next_Day.jpg
Pran Synthetic Vinegar 650 ml Next Day,55,BDT,https://chaldn.com/_mpimage/pran-synthetic-vinegar-650-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158547&q=best&v=1&m=400&webp=1,images/Pran_Synthetic_Vinegar_650_ml_Next_Day.jpg
Kewra Jal (Screwpine Water) 200 ml Next Day,29,BDT,https://chaldn.com/_mpimage/kewra-jal-screwpine-water-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108622&q=best&v=1&m=400&webp=1,images/Kewra_Jal_Screwpine_Water_200_ml_Next_Day.jpg
Ahmed White Vinegar 500 ml Next Day,70,BDT,https://chaldn.com/_mpimage/ahmed-white-vinegar-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123201&q=best&v=1&m=400&webp=1,images/Ahmed_White_Vinegar_500_ml_Next_Day.jpg
Radhuni Kasundi 285 ml Next Day,65,BDT,https://chaldn.com/_mpimage/radhuni-kasundi-285-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110488&q=best&v=1&m=400&webp=1,images/Radhuni_Kasundi_285_ml_Next_Day.jpg
Tiara Food Color (Red) 28 ml Next Day,90,BDT,https://chaldn.com/_mpimage/tiara-food-color-red-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101311&q=best&v=1&m=400&webp=1,images/Tiara_Food_Color_Red_28_ml_Next_Day.jpg
Foster Clark's Culinary Essence Orange 28 ml Next Day,160,BDT,https://chaldn.com/_mpimage/foster-clarks-culinary-essence-orange-28-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155710&q=best&v=1&m=400&webp=1,images/Foster_Clarks_Culinary_Essence_Orange_28_ml_Next_Day.jpg
