name,price,currency,image_url,image_location
Golden Grain Premium Mug Dal 500 gm,100,BDT,https://chaldn.com/_mpimage/golden-grain-premium-mug-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186705&q=best&v=1&m=400&webp=1,images/Golden_Grain_Premium_Mug_Dal_500_gm.jpg
Fresh Premium Moshur Dal 1 kg,175,BDT,https://chaldn.com/_mpimage/fresh-premium-moshur-dal-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127721&q=best&v=1&m=400&webp=1,images/Fresh_Premium_Moshur_Dal_1_kg.jpg
Mashkolai Dal Peeled 500 gm,95,BDT,https://chaldn.com/_mpimage/mashkolai-dal-peeled-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183017&q=best&v=1&m=400&webp=1,images/Mashkolai_Dal_Peeled_500_gm.jpg
Moshur Dal (Imported) 250 gm,29,BDT,https://chaldn.com/_mpimage/moshur-dal-imported-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182351&q=best&v=1&m=400&webp=1,images/Moshur_Dal_Imported_250_gm.jpg
45 Mix Dal 250 gm,39,BDT,https://chaldn.com/_mpimage/mix-dal-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182352&q=best&v=1&m=400&webp=1,images/45_Mix_Dal_250_gm.jpg
Mug Dal 500 gm,89,BDT,https://chaldn.com/_mpimage/mug-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183437&q=best&v=1&m=400&webp=1,images/Mug_Dal_500_gm.jpg
115 Moshur Dal (Imported) 1 kg,109,BDT,https://chaldn.com/_mpimage/moshur-dal-imported-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182354&q=best&v=1&m=400&webp=1,images/115_Moshur_Dal_Imported_1_kg.jpg
179 Moshur Dal (Deshi) 1 kg,159,BDT,https://chaldn.com/_mpimage/moshur-dal-deshi-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182384&q=best&v=1&m=400&webp=1,images/179_Moshur_Dal_Deshi_1_kg.jpg
Boot Dal 500 gm,59,BDT,https://chaldn.com/_mpimage/boot-dal-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182387&q=best&v=1&m=400&webp=1,images/Boot_Dal_500_gm.jpg
Teer Red Lentil (Moshur) Dal 1 kg,130,BDT,https://chaldn.com/_mpimage/teer-red-lentil-moshur-dal-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101041&q=best&v=1&m=400&webp=1,images/Teer_Red_Lentil_Moshur_Dal_1_kg.jpg
Moshur Dal (Imported) 500 gm,55,BDT,https://chaldn.com/_mpimage/moshur-dal-imported-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182353&q=best&v=1&m=400&webp=1,images/Moshur_Dal_Imported_500_gm.jpg
