name,price,currency,image_url,image_location
Foodela Ghee 400 gm,785,BDT,https://chaldn.com/_mpimage/foodela-ghee-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178445&q=best&v=1&m=400&webp=1,images/Foodela_Ghee_400_gm.jpg
Foodela Ghee 200 gm,390,BDT,https://chaldn.com/_mpimage/foodela-ghee-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178444&q=best&v=1&m=400&webp=1,images/Foodela_Ghee_200_gm.jpg
Foodela Ghee 100 gm,215,BDT,https://chaldn.com/_mpimage/foodela-ghee-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178443&q=best&v=1&m=400&webp=1,images/Foodela_Ghee_100_gm.jpg
Aarong Dairy Pure Ghee 200 gm,390,BDT,https://chaldn.com/_mpimage/aarong-dairy-pure-ghee-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D26926&q=low&v=1&m=400&webp=1,images/Aarong_Dairy_Pure_Ghee_200_gm.jpg
Aarong Dairy Pure Ghee 450 gm,825,BDT,https://chaldn.com/_mpimage/aarong-dairy-pure-ghee-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179716&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Pure_Ghee_450_gm.jpg
Radhuni Premium Ghee 200 gm,415,BDT,https://chaldn.com/_mpimage/radhuni-premium-ghee-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158275&q=best&v=1&m=400&webp=1,images/Radhuni_Premium_Ghee_200_gm.jpg
Radhuni Premium Ghee 100 gm,230,BDT,https://chaldn.com/_mpimage/radhuni-premium-ghee-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158274&q=best&v=1&m=400&webp=1,images/Radhuni_Premium_Ghee_100_gm.jpg
Ultra Ghee 900 gm,1450,BDT,https://chaldn.com/_mpimage/ultra-ghee-900-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124774&q=best&v=1&m=400&m=400&webp=1,images/Ultra_Ghee_900_gm.jpg
Meena sweets Ghee 500 gm,1075,BDT,https://chaldn.com/_mpimage/meena-sweets-ghee-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100652&q=best&v=1&m=400&m=400&webp=1,images/Meena_sweets_Ghee_500_gm.jpg
Pran Premium Ghee 200 gm,350,BDT,https://chaldn.com/_mpimage/pran-premium-ghee-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137122&q=best&v=1&m=400&webp=1,images/Pran_Premium_Ghee_200_gm.jpg
Pran Premium Ghee 100 gm,190,BDT,https://chaldn.com/_mpimage/pran-premium-ghee-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137121&q=best&v=1&m=400&webp=1,images/Pran_Premium_Ghee_100_gm.jpg
Pran Premium Ghee 400 gm,760,BDT,https://chaldn.com/_mpimage/pran-premium-ghee-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137123&q=best&v=1&m=400&m=400&webp=1,images/Pran_Premium_Ghee_400_gm.jpg
Aarong Dairy Pure Ghee 900 gm,1735,BDT,https://chaldn.com/_mpimage/aarong-dairy-pure-ghee-900-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179309&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Pure_Ghee_900_gm.jpg
