name,price,currency,image_url,image_location
Chickpea Flour (Boot Beshon) 500 gm,69,BDT,https://chaldn.com/_mpimage/chickpea-flour-boot-beshon-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176725&q=best&v=1&m=400&webp=1,images/Chickpea_Flour_Boot_Beshon_500_gm.jpg
60 Sagudana 200 gm,49,BDT,https://chaldn.com/_mpimage/sagudana-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47075&q=best&v=1&m=400&m=400&webp=1,images/60_Sagudana_200_gm.jpg
Foster Clark's Corn Flour 400 gm,360,BDT,https://chaldn.com/_mpimage/foster-clarks-corn-flour-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D173671&q=best&v=1&m=400&webp=1,images/Foster_Clarks_Corn_Flour_400_gm.jpg
59 Tamarind peeled (Tetul) 200 gm,55,BDT,https://chaldn.com/_mpimage/tamarind-peeled-tetul-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64745&q=best&v=1&m=400&webp=1,images/59_Tamarind_peeled_Tetul_200_gm.jpg
Pumpkin Seed 100 gm,99,BDT,https://chaldn.com/_mpimage/pumpkin-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86418&q=best&v=1&m=400&m=400&webp=1,images/Pumpkin_Seed_100_gm.jpg
Nutmeg (Jayfal) Whole 5 pcs,49,BDT,https://chaldn.com/_mpimage/nutmeg-jayfal-whole-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103098&q=best&v=1&m=400&webp=1,images/Nutmeg_Jayfal_Whole_5_pcs.jpg
Fit Food Italian Seasoning 80 gm,250,BDT,https://chaldn.com/_mpimage/fit-food-italian-seasoning-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109868&q=best&v=1&m=400&webp=1,images/Fit_Food_Italian_Seasoning_80_gm.jpg
Fit Food Cajun Seasoning 80 gm,250,BDT,https://chaldn.com/_mpimage/fit-food-cajun-seasoning-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128531&q=best&v=1&m=400&webp=1,images/Fit_Food_Cajun_Seasoning_80_gm.jpg
Barilla Pasta Sauce Jar Napoletana 400 gm,599,BDT,https://chaldn.com/_mpimage/barilla-pasta-sauce-jar-napoletana-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125437&q=best&v=1&m=400&webp=1,images/Barilla_Pasta_Sauce_Jar_Napoletana_400_gm.jpg
Barilla Pasta Sauce Jar Arrabbiata 400 gm,599,BDT,https://chaldn.com/_mpimage/barilla-pasta-sauce-jar-arrabbiata-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125435&q=best&v=1&m=400&m=400&webp=1,images/Barilla_Pasta_Sauce_Jar_Arrabbiata_400_gm.jpg
Barilla Pasta Sauce Jar Basilico 400 gm,599,BDT,https://chaldn.com/_mpimage/barilla-pasta-sauce-jar-basilico-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125436&q=best&v=1&m=400&m=400&webp=1,images/Barilla_Pasta_Sauce_Jar_Basilico_400_gm.jpg
159 Kidney Bean 500 gm,129,BDT,https://chaldn.com/_mpimage/kidney-bean-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129766&q=best&v=1&m=400&webp=1,images/159_Kidney_Bean_500_gm.jpg
Remia Dijon Mustard 370 gm,520,BDT,https://chaldn.com/_mpimage/remia-dijon-mustard-370-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132682&q=best&v=1&m=400&webp=1,images/Remia_Dijon_Mustard_370_gm.jpg
BBQ Coal Bag 1 kg,149,BDT,https://chaldn.com/_mpimage/bbq-coal-bag-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47065&q=best&v=1&m=400&m=400&webp=1,images/BBQ_Coal_Bag_1_kg.jpg
49 Bread Crumbs Loose 200 gm,45,BDT,https://chaldn.com/_mpimage/bread-crumbs-loose-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126244&q=best&v=1&m=400&webp=1,images/49_Bread_Crumbs_Loose_200_gm.jpg
Uncle Barn's Tempura Flour 500 gm,275,BDT,https://chaldn.com/_mpimage/uncle-barns-tempura-flour-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185237&q=low&v=1&m=400&m=400&webp=1,images/Uncle_Barns_Tempura_Flour_500_gm.jpg
