name,price,currency,image_url,image_location
Oil,,BDT,https://chaldn.com/_mpimage/oil?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181824&q=best&v=1&m=700&webp=1,images/Oil.jpg
Rahul Pure Mustard Oil 1 ltr,355,BDT,https://chaldn.com/_mpimage/rahul-pure-mustard-oil-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185269&q=best&v=1&m=400&webp=1,images/Rahul_Pure_Mustard_Oil_1_ltr.jpg
Farmer's Gold Flaxseed Oil 100 ml,165,BDT,https://chaldn.com/_mpimage/farmers-gold-flaxseed-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160664&q=best&v=1&m=400&webp=1,images/Farmers_Gold_Flaxseed_Oil_100_ml.jpg
La Espanola Extra Virgin Olive Oil 500 ml,1350,BDT,https://chaldn.com/_mpimage/la-espanola-extra-virgin-olive-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129928&q=best&v=1&m=400&webp=1,images/La_Espanola_Extra_Virgin_Olive_Oil_500_ml.jpg
Fresh Fortified Soyabean Oil 5 ltr,975,BDT,https://chaldn.com/_mpimage/fresh-fortified-soyabean-oil-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135116&q=best&v=1&m=400&webp=1,images/Fresh_Fortified_Soyabean_Oil_5_ltr.jpg
Teer Fortified Soyabean Oil 1 ltr,199,BDT,https://chaldn.com/_mpimage/teer-fortified-soyabean-oil-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136109&q=best&v=1&m=400&webp=1,images/Teer_Fortified_Soyabean_Oil_1_ltr.jpg
Fresh Fortified Soyabean Oil 2 ltr,398,BDT,https://chaldn.com/_mpimage/fresh-fortified-soyabean-oil-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135115&q=best&v=1&m=400&webp=1,images/Fresh_Fortified_Soyabean_Oil_2_ltr.jpg
Teer Fortified Soyabean Oil 2 ltr,398,BDT,https://chaldn.com/_mpimage/teer-fortified-soyabean-oil-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136108&q=best&v=1&m=400&webp=1,images/Teer_Fortified_Soyabean_Oil_2_ltr.jpg
Radhuni Pure Mustard Oil 500 ml,200,BDT,https://chaldn.com/_mpimage/radhuni-pure-mustard-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132550&q=best&v=1&m=400&webp=1,images/Radhuni_Pure_Mustard_Oil_500_ml.jpg
Radhuni Pure Mustard Oil 1 ltr,380,BDT,https://chaldn.com/_mpimage/radhuni-pure-mustard-oil-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132549&q=best&v=1&m=400&webp=1,images/Radhuni_Pure_Mustard_Oil_1_ltr.jpg
Pusti Fortified Soyabean Oil 1 ltr,199,BDT,https://chaldn.com/_mpimage/pusti-fortified-soyabean-oil-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132433&q=best&v=1&m=400&webp=1,images/Pusti_Fortified_Soyabean_Oil_1_ltr.jpg
