name,price,currency,image_url,image_location
Miniket Rice Premium (Boiled) ± 50 gm 5 kg,439,BDT,https://chaldn.com/_mpimage/miniket-rice-premium-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48081&q=best&v=1&m=400&webp=1,images/Miniket_Rice_Premium_Boiled__50_gm_5_kg.jpg
379 Athash Rice (Boiled) ± 50 gm 5 kg,329,BDT,https://chaldn.com/_mpimage/athash-rice-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D76816&q=best&v=1&m=400&webp=1,images/379_Athash_Rice_Boiled__50_gm_5_kg.jpg
89 Amon Rice 1 kg,79,BDT,https://chaldn.com/_mpimage/amon-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D157667&q=best&v=1&m=400&m=400&webp=1,images/89_Amon_Rice_1_kg.jpg
479 Nazirshail Rice Premium (Half Boiled) ± 50 gm 5 kg,449,BDT,https://chaldn.com/_mpimage/nazirshail-rice-premium-half-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48083&q=best&v=1&m=400&webp=1,images/479_Nazirshail_Rice_Premium_Half_Boiled__50_gm_5_kg.jpg
Chinigura Rice Premium 1 kg,169,BDT,https://chaldn.com/_mpimage/chinigura-rice-premium-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48071&q=best&v=1&m=400&m=400&webp=1,images/Chinigura_Rice_Premium_1_kg.jpg
Chashi Aromatic Chinigura Rice 1 kg,190,BDT,https://chaldn.com/_mpimage/chashi-aromatic-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126657&q=best&v=1&m=400&webp=1,images/Chashi_Aromatic_Chinigura_Rice_1_kg.jpg
Chashi Aromatic Chinigura Rice 2 kg,370,BDT,https://chaldn.com/_mpimage/chashi-aromatic-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126658&q=best&v=1&m=400&webp=1,images/Chashi_Aromatic_Chinigura_Rice_2_kg.jpg
ACI Pure Nazirshail Rice 5 kg,495,BDT,https://chaldn.com/_mpimage/aci-pure-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177233&q=best&v=1&m=400&webp=1,images/ACI_Pure_Nazirshail_Rice_5_kg.jpg
Pran Chinigura Aromatic Rice 1 kg,190,BDT,https://chaldn.com/_mpimage/pran-chinigura-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154823&q=best&v=1&m=400&webp=1,images/Pran_Chinigura_Aromatic_Rice_1_kg.jpg
75 Paijam Rice (Boiled) 1 kg,65,BDT,https://chaldn.com/_mpimage/paijam-rice-boiled-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D80161&q=best&v=1&m=400&webp=1,images/75_Paijam_Rice_Boiled_1_kg.jpg
459 Nazirshail Rice Standard (Half Boiled) ± 50 gm 5 kg,399,BDT,https://chaldn.com/_mpimage/nazirshail-rice-standard-half-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D66168&q=best&v=1&m=400&webp=1,images/459_Nazirshail_Rice_Standard_Half_Boiled__50_gm_5_kg.jpg
Miniket Rice Standard (Boiled) ± 50 gm 5 kg,389,BDT,https://chaldn.com/_mpimage/miniket-rice-standard-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48082&q=best&v=1&m=400&webp=1,images/Miniket_Rice_Standard_Boiled__50_gm_5_kg.jpg
Pran Chinigura Aromatic Rice 2 kg,370,BDT,https://chaldn.com/_mpimage/pran-chinigura-aromatic-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132228&q=best&v=1&m=400&webp=1,images/Pran_Chinigura_Aromatic_Rice_2_kg.jpg
ACI Pure Miniket Rice Premium 10 kg,950,BDT,https://chaldn.com/_mpimage/aci-pure-miniket-rice-premium-10-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177231&q=best&v=1&m=400&webp=1,images/ACI_Pure_Miniket_Rice_Premium_10_kg.jpg
75 Atop Rice 1 kg,59,BDT,https://chaldn.com/_mpimage/atop-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48064&q=low&v=1&m=400&m=400&webp=1,images/75_Atop_Rice_1_kg.jpg
Fresh Chinigura Rice 1 kg,175,BDT,https://chaldn.com/_mpimage/fresh-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128603&q=best&v=1&m=400&webp=1,images/Fresh_Chinigura_Rice_1_kg.jpg
Rupchanda Chinigura Premium Aromatic Rice 1 kg,175,BDT,https://chaldn.com/_mpimage/rupchanda-chinigura-premium-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182970&q=best&v=1&m=400&webp=1,images/Rupchanda_Chinigura_Premium_Aromatic_Rice_1_kg.jpg
ACI Pure Premium Miniket Rice 5 kg,480,BDT,https://chaldn.com/_mpimage/aci-pure-premium-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177234&q=best&v=1&m=400&webp=1,images/ACI_Pure_Premium_Miniket_Rice_5_kg.jpg
Katari Atop Rice ± 50 gm 5 kg,489,BDT,https://chaldn.com/_mpimage/katari-atop-rice-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74589&q=best&v=1&m=400&m=400&webp=1,images/Katari_Atop_Rice__50_gm_5_kg.jpg
Katarivog Rice 1 kg,129,BDT,https://chaldn.com/_mpimage/katarivog-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48075&q=best&v=1&m=400&webp=1,images/Katarivog_Rice_1_kg.jpg
119 Banglamoti Rice (Boiled) 1 kg,105,BDT,https://chaldn.com/_mpimage/banglamoti-rice-boiled-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72051&q=best&v=1&m=400&m=400&webp=1,images/119_Banglamoti_Rice_Boiled_1_kg.jpg
419 Zirashail Rice (Boiled) ± 50 gm 5 kg,349,BDT,https://chaldn.com/_mpimage/zirashail-rice-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138415&q=best&v=1&m=400&m=400&webp=1,images/419_Zirashail_Rice_Boiled__50_gm_5_kg.jpg
1759 Athash Rice (Boiled)  ± 200 gm 25 kg,1599,BDT,https://chaldn.com/_mpimage/athash-rice-boiled-200-gm-25-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165060&q=best&v=1&m=400&webp=1,images/1759_Athash_Rice_Boiled___200_gm_25_kg.jpg
399 Huski Rice (Half Boiled) 5 kg,329,BDT,https://chaldn.com/_mpimage/huski-rice-half-boiled-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133719&q=best&v=1&m=400&m=400&webp=1,images/399_Huski_Rice_Half_Boiled_5_kg.jpg
Extra Long Grain Bashmati Rice 1 kg,299,BDT,https://chaldn.com/_mpimage/extra-long-grain-bashmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179845&q=best&v=1&m=400&m=400&webp=1,images/Extra_Long_Grain_Bashmati_Rice_1_kg.jpg
ACI Aroma Chinigura Rice 2 kg,345,BDT,https://chaldn.com/_mpimage/aci-aroma-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177164&q=best&v=1&m=400&webp=1,images/ACI_Aroma_Chinigura_Rice_2_kg.jpg
