name,price,currency,image_url,image_location
Farina Laccha Shemai 500 gm,140,BDT,https://chaldn.com/_mpimage/farina-laccha-shemai-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185343&q=best&v=1&m=400&webp=1,images/Farina_Laccha_Shemai_500_gm.jpg
Farina Chutki Shemai 200 gm,40,BDT,https://chaldn.com/_mpimage/farina-chutki-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185291&q=best&v=1&m=400&webp=1,images/Farina_Chutki_Shemai_200_gm.jpg
Rahul Vermicelli Chikon Shemai 200 gm,40,BDT,https://chaldn.com/_mpimage/rahul-vermicelli-chikon-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185262&q=best&v=1&m=400&webp=1,images/Rahul_Vermicelli_Chikon_Shemai_200_gm.jpg
Kolson Cock Vermicelli (Shemai) 200 gm,45,BDT,https://chaldn.com/_mpimage/kolson-cock-vermicelli-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141265&q=best&v=1&m=400&webp=1,images/Kolson_Cock_Vermicelli_Shemai_200_gm.jpg
Teer Semolina Suji 500 gm,48,BDT,https://chaldn.com/_mpimage/teer-semolina-suji-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101043&q=best&v=1&m=400&webp=1,images/Teer_Semolina_Suji_500_gm.jpg
Banoful Lashcha Shemai 200 gm,50,BDT,https://chaldn.com/_mpimage/banoful-lashcha-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101139&q=best&v=1&m=400&webp=1,images/Banoful_Lashcha_Shemai_200_gm.jpg
ACI Pure Suji 500 gm,48,BDT,https://chaldn.com/_mpimage/aci-pure-suji-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177380&q=best&v=1&m=400&webp=1,images/ACI_Pure_Suji_500_gm.jpg
Bombay Sweets Instant Laccha Shemai 180 gm,60,BDT,https://chaldn.com/_mpimage/bombay-sweets-instant-laccha-shemai-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159835&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Instant_Laccha_Shemai_180_gm.jpg
Rahul Vermicelli Chikon Shemai 500 gm,90,BDT,https://chaldn.com/_mpimage/rahul-vermicelli-chikon-shemai-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185263&q=best&v=1&m=400&webp=1,images/Rahul_Vermicelli_Chikon_Shemai_500_gm.jpg
Olympic Lascha Shemai 200 gm,50,BDT,https://chaldn.com/_mpimage/olympic-lascha-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154920&q=best&v=1&m=400&webp=1,images/Olympic_Lascha_Shemai_200_gm.jpg
Banoful Vermicelli Shemai 200 gm,45,BDT,https://chaldn.com/_mpimage/banoful-vermicelli-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182946&q=best&v=1&m=400&webp=1,images/Banoful_Vermicelli_Shemai_200_gm.jpg
Dekko Laccha Shemai 180 gm,50,BDT,https://chaldn.com/_mpimage/dekko-laccha-shemai-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154931&q=best&v=1&m=400&webp=1,images/Dekko_Laccha_Shemai_180_gm.jpg
Pran Vermicelli Shemai 200 gm,45,BDT,https://chaldn.com/_mpimage/pran-vermicelli-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108686&q=best&v=1&m=400&webp=1,images/Pran_Vermicelli_Shemai_200_gm.jpg
Dekko Shahi Shemai 180 gm,45,BDT,https://chaldn.com/_mpimage/dekko-shahi-shemai-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123371&q=best&v=1&m=400&m=400&webp=1,images/Dekko_Shahi_Shemai_180_gm.jpg
Thai Choice Rice Noodles 200 gm,350,BDT,https://chaldn.com/_mpimage/thai-choice-rice-noodles-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136126&q=best&v=1&m=400&m=400&webp=1,images/Thai_Choice_Rice_Noodles_200_gm.jpg
Fresh Suji 500 gm,48,BDT,https://chaldn.com/_mpimage/fresh-suji-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97221&q=best&v=1&m=400&webp=1,images/Fresh_Suji_500_gm.jpg
Radhuni Shemai 200 gm,45,BDT,https://chaldn.com/_mpimage/radhuni-shemai-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110805&q=best&v=1&m=400&webp=1,images/Radhuni_Shemai_200_gm.jpg
Kolson Special Lascha Semai 180 gm,50,BDT,https://chaldn.com/_mpimage/kolson-special-lascha-semai-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113038&q=best&v=1&m=400&webp=1,images/Kolson_Special_Lascha_Semai_180_gm.jpg
