name,price,currency,image_url,image_location
Golden Grain Cumin (Jira) 100 gm,120,BDT,https://chaldn.com/_mpimage/golden-grain-cumin-jira-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187910&q=best&v=1&m=400&webp=1,images/Golden_Grain_Cumin_Jira_100_gm.jpg
Golden Grain Poppy Seed (Posto Dana) 50 gm,195,BDT,https://chaldn.com/_mpimage/golden-grain-poppy-seed-posto-dana-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187931&q=best&v=1&m=400&webp=1,images/Golden_Grain_Poppy_Seed_Posto_Dana_50_gm.jpg
Golden Grain Dried Chillies (Shukna Morich) 100 gm,70,BDT,https://chaldn.com/_mpimage/golden-grain-dried-chillies-shukna-morich-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187911&q=best&v=1&m=400&webp=1,images/Golden_Grain_Dried_Chillies_Shukna_Morich_100_gm.jpg
Golden Grain Black Pepper (Gol Morich) Whole 100 gm,195,BDT,https://chaldn.com/_mpimage/golden-grain-black-pepper-gol-morich-whole-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187921&q=best&v=1&m=400&webp=1,images/Golden_Grain_Black_Pepper_Gol_Morich_Whole_100_gm.jpg
Golden Grain Black Cumin (Kalo Jira) 100 gm,100,BDT,https://chaldn.com/_mpimage/golden-grain-black-cumin-kalo-jira-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187928&q=best&v=1&m=400&webp=1,images/Golden_Grain_Black_Cumin_Kalo_Jira_100_gm.jpg
Golden Grain Coriander (Dhonia) 100 gm,45,BDT,https://chaldn.com/_mpimage/golden-grain-coriander-dhonia-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187914&q=best&v=1&m=400&webp=1,images/Golden_Grain_Coriander_Dhonia_100_gm.jpg
Golden Grain Cardamom (Elachi) Whole 50 gm,350,BDT,https://chaldn.com/_mpimage/golden-grain-cardamom-elachi-whole-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187930&q=best&v=1&m=400&webp=1,images/Golden_Grain_Cardamom_Elachi_Whole_50_gm.jpg
Golden Grain Bay Leaf (Tejpata) 100 gm,55,BDT,https://chaldn.com/_mpimage/golden-grain-bay-leaf-tejpata-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187913&q=best&v=1&m=400&webp=1,images/Golden_Grain_Bay_Leaf_Tejpata_100_gm.jpg
Golden Grain Clove (Lobongo) 50 gm,145,BDT,https://chaldn.com/_mpimage/golden-grain-clove-lobongo-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187898&q=best&v=1&m=400&webp=1,images/Golden_Grain_Clove_Lobongo_50_gm.jpg
Golden Grain Mix Spice (Pach Foron) 100 gm,60,BDT,https://chaldn.com/_mpimage/golden-grain-mix-spice-pach-foron-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187922&q=best&v=1&m=400&webp=1,images/Golden_Grain_Mix_Spice_Pach_Foron_100_gm.jpg
Golden Grain Mustard Seed (Red) 100 gm,35,BDT,https://chaldn.com/_mpimage/golden-grain-mustard-seed-red-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187925&q=best&v=1&m=400&webp=1,images/Golden_Grain_Mustard_Seed_Red_100_gm.jpg
Cinnamon (Daruchini) Whole 100 gm,75,BDT,https://chaldn.com/_mpimage/cinnamon-daruchini-whole-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48355&q=best&v=1&m=400&webp=1,images/Cinnamon_Daruchini_Whole_100_gm.jpg
Radhuni Chilli (Morich) Powder 100 gm,75,BDT,https://chaldn.com/_mpimage/radhuni-chilli-morich-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132509&q=best&v=1&m=400&webp=1,images/Radhuni_Chilli_Morich_Powder_100_gm.jpg
Radhuni Cumin (Jira) Powder 100 gm,160,BDT,https://chaldn.com/_mpimage/radhuni-cumin-jira-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132521&q=best&v=1&m=400&webp=1,images/Radhuni_Cumin_Jira_Powder_100_gm.jpg
Radhuni Coriander (Dhonia) Powder 100 gm,60,BDT,https://chaldn.com/_mpimage/radhuni-coriander-dhonia-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132516&q=best&v=1&m=400&webp=1,images/Radhuni_Coriander_Dhonia_Powder_100_gm.jpg
35 Fenugreek (Methi) Seed 100 gm,25,BDT,https://chaldn.com/_mpimage/fenugreek-methi-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48366&q=best&v=1&m=400&webp=1,images/35_Fenugreek_Methi_Seed_100_gm.jpg
30 Mustard Seed (Yellow) 100 gm,25,BDT,https://chaldn.com/_mpimage/mustard-seed-yellow-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130992&q=best&v=1&m=400&webp=1,images/30_Mustard_Seed_Yellow_100_gm.jpg
Radhuni Garam Masala 15 gm,40,BDT,https://chaldn.com/_mpimage/radhuni-garam-masala-15-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132528&q=best&v=1&m=400&webp=1,images/Radhuni_Garam_Masala_15_gm.jpg
Radhuni Turmeric (Holud) Powder 50 gm,40,BDT,https://chaldn.com/_mpimage/radhuni-turmeric-holud-powder-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132555&q=best&v=1&m=400&webp=1,images/Radhuni_Turmeric_Holud_Powder_50_gm.jpg
Ramisa Tokma 100 gm,60,BDT,https://chaldn.com/_mpimage/ramisa-tokma-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185387&q=best&v=1&m=400&webp=1,images/Ramisa_Tokma_100_gm.jpg
199 Betel Nut (Shupari) 250 gm,169,BDT,https://chaldn.com/_mpimage/betel-nut-shupari-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46972&q=best&v=1&m=400&webp=1,images/199_Betel_Nut_Shupari_250_gm.jpg
Fresh Chilli Powder 200 gm,125,BDT,https://chaldn.com/_mpimage/fresh-chilli-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135105&q=best&v=1&m=400&webp=1,images/Fresh_Chilli_Powder_200_gm.jpg
35 Mustard Seed (Red) 100 gm,25,BDT,https://chaldn.com/_mpimage/mustard-seed-red-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115243&q=best&v=1&m=400&m=400&webp=1,images/35_Mustard_Seed_Red_100_gm.jpg
199 Walnuts (Akhrot) 100 gm,179,BDT,https://chaldn.com/_mpimage/walnuts-akhrot-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184610&q=best&v=1&m=400&webp=1,images/199_Walnuts_Akhrot_100_gm.jpg
95 Cumin (Jira) 100 gm,85,BDT,https://chaldn.com/_mpimage/cumin-jira-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183697&q=best&v=1&m=400&webp=1,images/95_Cumin_Jira_100_gm.jpg
149 Cardamom (Elachi) Whole 25 gm,139,BDT,https://chaldn.com/_mpimage/cardamom-elachi-whole-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183665&q=best&v=1&m=400&webp=1,images/149_Cardamom_Elachi_Whole_25_gm.jpg
Radhuni Chilli (Morich) Powder 200 gm,140,BDT,https://chaldn.com/_mpimage/radhuni-chilli-morich-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132510&q=best&v=1&m=400&webp=1,images/Radhuni_Chilli_Morich_Powder_200_gm.jpg
55 Dried Chillies (Shukna Morich) 100 gm,45,BDT,https://chaldn.com/_mpimage/dried-chillies-shukna-morich-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48364&q=best&v=1&m=400&webp=1,images/55_Dried_Chillies_Shukna_Morich_100_gm.jpg
Radhuni Turmeric (Holud) Powder 200 gm,145,BDT,https://chaldn.com/_mpimage/radhuni-turmeric-holud-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132553&q=best&v=1&m=400&webp=1,images/Radhuni_Turmeric_Holud_Powder_200_gm.jpg
Radhuni Turmeric (Holud) Powder 100 gm,75,BDT,https://chaldn.com/_mpimage/radhuni-turmeric-holud-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132554&q=best&v=1&m=400&webp=1,images/Radhuni_Turmeric_Holud_Powder_100_gm.jpg
Radhuni Garam Masala 40 gm,95,BDT,https://chaldn.com/_mpimage/radhuni-garam-masala-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132527&q=best&v=1&m=400&webp=1,images/Radhuni_Garam_Masala_40_gm.jpg
119 Clove (Lobongo) 50 gm,89,BDT,https://chaldn.com/_mpimage/clove-lobongo-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184759&q=best&v=1&m=400&webp=1,images/119_Clove_Lobongo_50_gm.jpg
Radhuni Coriander (Dhonia) Powder 200 gm,110,BDT,https://chaldn.com/_mpimage/radhuni-coriander-dhonia-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132897&q=best&v=1&m=400&webp=1,images/Radhuni_Coriander_Dhonia_Powder_200_gm.jpg
35 Bay Leaf (Tejpata) 100 gm,29,BDT,https://chaldn.com/_mpimage/bay-leaf-tejpata-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48347&q=best&v=1&m=400&webp=1,images/35_Bay_Leaf_Tejpata_100_gm.jpg
Radhuni Cumin (Jira) Powder 50 gm,85,BDT,https://chaldn.com/_mpimage/radhuni-cumin-jira-powder-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132522&q=best&v=1&m=400&webp=1,images/Radhuni_Cumin_Jira_Powder_50_gm.jpg
