name,price,currency,image_url,image_location
Aarong Dairy Austagram Cheese 200 gm,190,BDT,https://chaldn.com/_mpimage/aarong-dairy-austagram-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47612&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Austagram_Cheese_200_gm.jpg
Aarong Dairy Paneer 200 gm,200,BDT,https://chaldn.com/_mpimage/aarong-dairy-paneer-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122751&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Paneer_200_gm.jpg
Puck Cheese Triangles 240 gm 16 pcs,605,BDT,https://chaldn.com/_mpimage/puck-cheese-triangles-240-gm-16-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180124&q=best&v=1&m=400&webp=1,images/Puck_Cheese_Triangles_240_gm_16_pcs.jpg
Puck Cheese Triangles 120 gm 8 pcs,305,BDT,https://chaldn.com/_mpimage/puck-cheese-triangles-120-gm-8-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180123&q=best&v=1&m=400&webp=1,images/Puck_Cheese_Triangles_120_gm_8_pcs.jpg
Lactima Slice Cheese (12 Slice) 200 gm,510,BDT,https://chaldn.com/_mpimage/lactima-slice-cheese-12-slice-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129932&q=best&v=1&m=400&m=400&webp=1,images/Lactima_Slice_Cheese_12_Slice_200_gm.jpg
Eru Slice Cheese Cheddar Herb (8 Slice) 150 gm,790,BDT,https://chaldn.com/_mpimage/eru-slice-cheese-cheddar-herb-8-slice-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108680&q=best&v=1&m=400&webp=1,images/Eru_Slice_Cheese_Cheddar_Herb_8_Slice_150_gm.jpg
American Garden Popcorn Cheese 273 gm,400,BDT,https://chaldn.com/_mpimage/american-garden-popcorn-cheese-273-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D60041&q=best&v=1&m=400&m=400&webp=1,images/American_Garden_Popcorn_Cheese_273_gm.jpg
Aarong Dairy Cheese Spread Garlic 180 gm,300,BDT,https://chaldn.com/_mpimage/aarong-dairy-cheese-spread-garlic-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122744&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Cheese_Spread_Garlic_180_gm.jpg
Aarong Dairy Cheese Spread Pizza 180 gm,260,BDT,https://chaldn.com/_mpimage/aarong-dairy-cheese-spread-pizza-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47617&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Cheese_Spread_Pizza_180_gm.jpg
Aarong Dairy Cheese Spread Classic 180 gm,290,BDT,https://chaldn.com/_mpimage/aarong-dairy-cheese-spread-classic-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101670&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Cheese_Spread_Classic_180_gm.jpg
Almarai spreadable Cream Cheese 500 gm,1290,BDT,https://chaldn.com/_mpimage/almarai-spreadable-cream-cheese-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175499&q=best&v=1&m=400&webp=1,images/Almarai_spreadable_Cream_Cheese_500_gm.jpg
Kraft Processed Cheddar Cheese Tin 190 gm,470,BDT,https://chaldn.com/_mpimage/kraft-processed-cheddar-cheese-tin-190-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113376&q=best&v=1&m=400&webp=1,images/Kraft_Processed_Cheddar_Cheese_Tin_190_gm.jpg
680 Almarai Spreadable Cream Cheese 200 gm,619,BDT,https://chaldn.com/_mpimage/almarai-spreadable-cream-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175776&q=best&v=1&m=400&webp=1,images/680_Almarai_Spreadable_Cream_Cheese_200_gm.jpg
Mozzarella Cheese 250 gm,270,BDT,https://chaldn.com/_mpimage/mozzarella-cheese-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47623&q=best&v=1&m=400&webp=1,images/Mozzarella_Cheese_250_gm.jpg
