name,price,currency,image_url,image_location
Aarong Dairy Pasteurized Liquid Milk 1 ltr,105,BDT,https://chaldn.com/_mpimage/aarong-dairy-pasteurized-liquid-milk-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D119561&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Pasteurized_Liquid_Milk_1_ltr.jpg
Pran Pasteurized Full Cream Liquid Milk 1 ltr,100,BDT,https://chaldn.com/_mpimage/pran-pasteurized-full-cream-liquid-milk-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132322&q=best&v=1&m=400&webp=1,images/Pran_Pasteurized_Full_Cream_Liquid_Milk_1_ltr.jpg
Aarong Dairy Laban 500 ml,75,BDT,https://chaldn.com/_mpimage/aarong-dairy-laban-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74142&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Laban_500_ml.jpg
Danish Ayran Pasteurized Full Cream Liquid Milk 1 ltr,140,BDT,https://chaldn.com/_mpimage/danish-ayran-pasteurized-full-cream-liquid-milk-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127452&q=best&v=1&m=400&webp=1,images/Danish_Ayran_Pasteurized_Full_Cream_Liquid_Milk_1_ltr.jpg
Aarong Dairy Matha 200 ml,35,BDT,https://chaldn.com/_mpimage/aarong-dairy-matha-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74143&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Matha_200_ml.jpg
Danish Ayran Pasteurized Full Cream Liquid Milk 2 ltr,255,BDT,https://chaldn.com/_mpimage/danish-ayran-pasteurized-full-cream-liquid-milk-2-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101671&q=best&v=1&m=400&webp=1,images/Danish_Ayran_Pasteurized_Full_Cream_Liquid_Milk_2_ltr.jpg
Pran Mango Flavored Milk (Pouch) 150 ml,25,BDT,https://chaldn.com/_mpimage/pran-mango-flavored-milk-pouch-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175235&q=best&v=1&m=400&webp=1,images/Pran_Mango_Flavored_Milk_Pouch_150_ml.jpg
Pran Chocolate Flavored Milk (Pouch) 150 ml,25,BDT,https://chaldn.com/_mpimage/pran-chocolate-flavored-milk-pouch-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175234&q=best&v=1&m=400&webp=1,images/Pran_Chocolate_Flavored_Milk_Pouch_150_ml.jpg
Aarong Dairy UHT Milk 500 ml,60,BDT,https://chaldn.com/_mpimage/aarong-dairy-uht-milk-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125267&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_UHT_Milk_500_ml.jpg
Pran UHT Milk 1 ltr,130,BDT,https://chaldn.com/_mpimage/pran-uht-milk-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132338&q=best&v=1&m=400&webp=1,images/Pran_UHT_Milk_1_ltr.jpg
