name,price,currency,image_url,image_location
Starship Full Cream Milk Powder 500 gm,375,BDT,https://chaldn.com/_mpimage/starship-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152337&q=best&v=1&m=400&webp=1,images/Starship_Full_Cream_Milk_Powder_500_gm.jpg
Starship Full Cream Milk Powder 1 kg,770,BDT,https://chaldn.com/_mpimage/starship-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152338&q=best&v=1&m=400&webp=1,images/Starship_Full_Cream_Milk_Powder_1_kg.jpg
Marks Full Cream Milk Powder Poly 500 gm,480,BDT,https://chaldn.com/_mpimage/marks-full-cream-milk-powder-poly-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130615&q=best&v=1&m=400&webp=1,images/Marks_Full_Cream_Milk_Powder_Poly_500_gm.jpg
Marks Full Cream Milk Powder Poly 1 kg,950,BDT,https://chaldn.com/_mpimage/marks-full-cream-milk-powder-poly-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D59268&q=best&v=1&m=400&webp=1,images/Marks_Full_Cream_Milk_Powder_Poly_1_kg.jpg
Dano Daily Pushti Milk Powder 500 gm,400,BDT,https://chaldn.com/_mpimage/dano-daily-pushti-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180158&q=best&v=1&m=400&webp=1,images/Dano_Daily_Pushti_Milk_Powder_500_gm.jpg
Dano Daily Pushti Milk Powder 1 kg,770,BDT,https://chaldn.com/_mpimage/dano-daily-pushti-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169269&q=best&v=1&m=400&webp=1,images/Dano_Daily_Pushti_Milk_Powder_1_kg.jpg
Dano Power Full Cream Milk Powder 500 gm,480,BDT,https://chaldn.com/_mpimage/dano-power-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187004&q=best&v=1&m=400&webp=1,images/Dano_Power_Full_Cream_Milk_Powder_500_gm.jpg
Dano Delight Full Cream Milk Powder 500 gm,480,BDT,https://chaldn.com/_mpimage/dano-delight-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161828&q=best&v=1&m=400&webp=1,images/Dano_Delight_Full_Cream_Milk_Powder_500_gm.jpg
Fresh Instant Full Cream Milk Powder 500 gm,480,BDT,https://chaldn.com/_mpimage/fresh-instant-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126002&q=best&v=1&m=400&webp=1,images/Fresh_Instant_Full_Cream_Milk_Powder_500_gm.jpg
Dano Power Full Cream Milk Powder 1 kg,950,BDT,https://chaldn.com/_mpimage/dano-power-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187005&q=best&v=1&m=400&webp=1,images/Dano_Power_Full_Cream_Milk_Powder_1_kg.jpg
Nestle Nido Family Choice Milk Powder Pouch 500 gm,490,BDT,https://chaldn.com/_mpimage/nestle-nido-family-choice-milk-powder-pouch-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166792&q=best&v=1&m=400&webp=1,images/Nestle_Nido_Family_Choice_Milk_Powder_Pouch_500_gm.jpg
Fresh Instant Full Cream Milk Powder 1 kg,950,BDT,https://chaldn.com/_mpimage/fresh-instant-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130892&q=best&v=1&m=400&webp=1,images/Fresh_Instant_Full_Cream_Milk_Powder_1_kg.jpg
Nestle Nido Fortigrow Full Cream Milk Powder Tin 1 kg,1400,BDT,https://chaldn.com/_mpimage/nestle-nido-fortigrow-full-cream-milk-powder-tin-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131372&q=best&v=1&m=400&m=400&webp=1,images/Nestle_Nido_Fortigrow_Full_Cream_Milk_Powder_Tin_1_kg.jpg
AMA Full Cream Milk Powder 500 gm,440,BDT,https://chaldn.com/_mpimage/ama-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97595&q=best&v=1&m=400&webp=1,images/AMA_Full_Cream_Milk_Powder_500_gm.jpg
Farm Fresh Full Cream Milk Powder 500 gm,475,BDT,https://chaldn.com/_mpimage/farm-fresh-full-cream-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160172&q=best&v=1&m=400&m=400&webp=1,images/Farm_Fresh_Full_Cream_Milk_Powder_500_gm.jpg
Fresh Dessert Milk Powder 1 kg,750,BDT,https://chaldn.com/_mpimage/fresh-dessert-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113108&q=best&v=1&m=400&webp=1,images/Fresh_Dessert_Milk_Powder_1_kg.jpg
Goalini Full Cream Milk Powder 1 kg,910,BDT,https://chaldn.com/_mpimage/goalini-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114899&q=best&v=1&m=400&m=400&webp=1,images/Goalini_Full_Cream_Milk_Powder_1_kg.jpg
Marks Milk Powder Tin 1 kg,1300,BDT,https://chaldn.com/_mpimage/marks-milk-powder-tin-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130616&q=best&v=1&m=400&webp=1,images/Marks_Milk_Powder_Tin_1_kg.jpg
Cowhead Instant Milk Powder 1.8 kg,3700,BDT,https://chaldn.com/_mpimage/cowhead-instant-milk-powder-18-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D58937&q=best&v=1&m=400&webp=1,images/Cowhead_Instant_Milk_Powder_18_kg.jpg
Fresh Insta Milk Powder 500 gm,480,BDT,https://chaldn.com/_mpimage/fresh-insta-milk-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128636&q=best&v=1&m=400&m=400&webp=1,images/Fresh_Insta_Milk_Powder_500_gm.jpg
Pran Full Cream Milk Powder 1 kg,840,BDT,https://chaldn.com/_mpimage/pran-full-cream-milk-powder-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108313&q=best&v=1&m=400&m=400&webp=1,images/Pran_Full_Cream_Milk_Powder_1_kg.jpg
Marks Young Star (16-40 years) 400 gm,425,BDT,https://chaldn.com/_mpimage/marks-young-star-16-40-years-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130618&q=best&v=1&m=400&webp=1,images/Marks_Young_Star_16-40_years_400_gm.jpg
Shape Up Non Fat High Protein Milk Powder 400 gm,490,BDT,https://chaldn.com/_mpimage/shape-up-non-fat-high-protein-milk-powder-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175835&q=best&v=1&m=400&m=400&webp=1,images/Shape_Up_Non_Fat_High_Protein_Milk_Powder_400_gm.jpg
Nestle Nido Fortigrow Full Cream Milk Powder Tin 2.5 kg,3400,BDT,https://chaldn.com/_mpimage/nestle-nido-fortigrow-full-cream-milk-powder-tin-25-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131373&q=best&v=1&m=400&webp=1,images/Nestle_Nido_Fortigrow_Full_Cream_Milk_Powder_Tin_25_kg.jpg
