name,price,currency,image_url,image_location
Aarong Dairy Sour Curd 500 gm,120,BDT,https://chaldn.com/_mpimage/aarong-dairy-sour-curd-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77433&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Sour_Curd_500_gm.jpg
Aarong Dairy Low Fat Yogurt (Sour) 500 gm,110,BDT,https://chaldn.com/_mpimage/aarong-dairy-low-fat-yogurt-sour-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70197&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Low_Fat_Yogurt_Sour_500_gm.jpg
Aarong Dairy Sweetened Yogurt 500 gm,150,BDT,https://chaldn.com/_mpimage/aarong-dairy-sweetened-yogurt-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122759&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Sweetened_Yogurt_500_gm.jpg
Pran Sour Curd 500 ml,120,BDT,https://chaldn.com/_mpimage/pran-sour-curd-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132328&q=best&v=1&m=400&webp=1,images/Pran_Sour_Curd_500_ml.jpg
Shokti+ Mishti Doi 75 gm,25,BDT,https://chaldn.com/_mpimage/shokti-mishti-doi-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133646&q=best&v=1&m=400&webp=1,images/Shokti_Mishti_Doi_75_gm.jpg
Pran Drinking Yogurt 200 ml,30,BDT,https://chaldn.com/_mpimage/pran-drinking-yogurt-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D118710&q=best&v=1&m=400&webp=1,images/Pran_Drinking_Yogurt_200_ml.jpg
Pran Sweetened Yogurt 100 gm,30,BDT,https://chaldn.com/_mpimage/pran-sweetened-yogurt-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108654&q=best&v=1&m=400&webp=1,images/Pran_Sweetened_Yogurt_100_gm.jpg
Aarong Dairy Pantoa 600 gm,210,BDT,https://chaldn.com/_mpimage/aarong-dairy-pantoa-600-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122752&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Pantoa_600_gm.jpg
Aarong Dairy Roshogolla 600 gm,200,BDT,https://chaldn.com/_mpimage/aarong-dairy-roshogolla-600-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122754&q=best&v=1&m=400&m=400&webp=1,images/Aarong_Dairy_Roshogolla_600_gm.jpg
Aarong Dairy Roshogolla (20±2 pcs) 1 kg,350,BDT,https://chaldn.com/_mpimage/aarong-dairy-roshogolla-202-pcs-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122755&q=best&v=1&m=400&m=400&webp=1,images/Aarong_Dairy_Roshogolla_202_pcs_1_kg.jpg
