name,price,currency,image_url,image_location
Dabur Gulabari Premium Rose Water 60 ml,45,BDT,https://chaldn.com/_mpimage/dabur-gulabari-premium-rose-water-60-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154538&q=best&v=1&m=400&m=400&webp=1,images/Dabur_Gulabari_Premium_Rose_Water_60_ml.jpg
Himalaya Natural Glow Saffron Face Wash 100 ml,225,BDT,https://chaldn.com/_mpimage/himalaya-natural-glow-saffron-face-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170334&q=best&v=1&m=400&webp=1,images/Himalaya_Natural_Glow_Saffron_Face_Wash_100_ml.jpg
Himalaya Pollution Detox Charcoal Face Wash 100 ml,225,BDT,https://chaldn.com/_mpimage/himalaya-pollution-detox-charcoal-face-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140732&q=best&v=1&m=400&m=400&webp=1,images/Himalaya_Pollution_Detox_Charcoal_Face_Wash_100_ml.jpg
Himalaya Purifying Neem Pack 50 ml,130,BDT,https://chaldn.com/_mpimage/himalaya-purifying-neem-pack-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133751&q=best&v=1&m=400&webp=1,images/Himalaya_Purifying_Neem_Pack_50_ml.jpg
Earth Beauty & You Neem Face Wash 100 ml,180,BDT,https://chaldn.com/_mpimage/earth-beauty-you-neem-face-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126949&q=best&v=1&m=400&webp=1,images/Earth_Beauty__You_Neem_Face_Wash_100_ml.jpg
Pond's Face Wash Bright Beauty 50 gm,120,BDT,https://chaldn.com/_mpimage/ponds-face-wash-bright-beauty-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179289&q=best&v=1&m=400&webp=1,images/Ponds_Face_Wash_Bright_Beauty_50_gm.jpg
Pierre Cardin Cleansing Gel 150 ml,1380,BDT,https://chaldn.com/_mpimage/pierre-cardin-cleansing-gel-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99720&q=best&v=1&m=400&webp=1,images/Pierre_Cardin_Cleansing_Gel_150_ml.jpg
Clariss Face Wash Papaya Blemish Reduction 100 ml,345,BDT,https://chaldn.com/_mpimage/clariss-face-wash-papaya-blemish-reduction-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D96509&q=best&v=1&m=400&m=400&webp=1,images/Clariss_Face_Wash_Papaya_Blemish_Reduction_100_ml.jpg
Olay Face Wash Total Effects 7 in 1 Exfoliating Cleanser 100 gm,425,BDT,https://chaldn.com/_mpimage/olay-face-wash-total-effects-7-in-1-exfoliating-cleanser-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116886&q=best&v=1&m=400&m=400&webp=1,images/Olay_Face_Wash_Total_Effects_7_in_1_Exfoliating_Cleanser_100_gm.jpg
Clean & Clear Foaming Face Wash 150 ml,430,BDT,https://chaldn.com/_mpimage/clean-clear-foaming-face-wash-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D157503&q=best&v=1&m=400&m=400&webp=1,images/Clean__Clear_Foaming_Face_Wash_150_ml.jpg
Neutrogena Spot Controlling Facial Wash 200 ml,1440,BDT,https://chaldn.com/_mpimage/neutrogena-spot-controlling-facial-wash-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131395&q=best&v=1&m=400&webp=1,images/Neutrogena_Spot_Controlling_Facial_Wash_200_ml.jpg
YC Lemon & Honey Whitening Facial Scrub 175 ml,795,BDT,https://chaldn.com/_mpimage/yc-lemon-honey-whitening-facial-scrub-175-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138388&q=best&v=1&m=400&webp=1,images/YC_Lemon__Honey_Whitening_Facial_Scrub_175_ml.jpg
YC Acne Facial Gel 250 ml,750,BDT,https://chaldn.com/_mpimage/yc-acne-facial-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D85225&q=best&v=1&m=400&m=400&webp=1,images/YC_Acne_Facial_Gel_250_ml.jpg
YC Neem Extract Whitening Face Wash 100 ml,650,BDT,https://chaldn.com/_mpimage/yc-neem-extract-whitening-face-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D85204&q=best&v=1&m=400&m=400&webp=1,images/YC_Neem_Extract_Whitening_Face_Wash_100_ml.jpg
Himalaya Aloevera Moisturizing Face Wash 100 ml,225,BDT,https://chaldn.com/_mpimage/himalaya-aloevera-moisturizing-face-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170336&q=best&v=1&m=400&webp=1,images/Himalaya_Aloevera_Moisturizing_Face_Wash_100_ml.jpg
