name,price,currency,image_url,image_location
Nivea Express Hydration Body Lotion 380 ml,1250,BDT,https://chaldn.com/_mpimage/nivea-express-hydration-body-lotion-380-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159834&q=best&v=1&m=400&webp=1,images/Nivea_Express_Hydration_Body_Lotion_380_ml.jpg
Nivea Soft Light Moisturiser Cream 50 ml,425,BDT,https://chaldn.com/_mpimage/nivea-soft-light-moisturiser-cream-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140355&q=best&v=1&m=400&webp=1,images/Nivea_Soft_Light_Moisturiser_Cream_50_ml.jpg
Enchanteur Perfumed Body Lotion Charming Satin Smooth 500 ml,1700,BDT,https://chaldn.com/_mpimage/enchanteur-perfumed-body-lotion-charming-satin-smooth-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169085&q=best&v=1&m=400&webp=1,images/Enchanteur_Perfumed_Body_Lotion_Charming_Satin_Smooth_500_ml.jpg
Dove Nourishing Radiance Body Care Lotion 250 ml,380,BDT,https://chaldn.com/_mpimage/dove-nourishing-radiance-body-care-lotion-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159915&q=best&v=1&m=400&webp=1,images/Dove_Nourishing_Radiance_Body_Care_Lotion_250_ml.jpg
Ponds Super Light Gel 49 gm,230,BDT,https://chaldn.com/_mpimage/ponds-super-light-gel-49-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127651&q=best&v=1&m=400&webp=1,images/Ponds_Super_Light_Gel_49_gm.jpg
Nature Republic Soothing & Moisture Aloe Vera Gel 300 ml,849,BDT,https://chaldn.com/_mpimage/nature-republic-soothing-moisture-aloe-vera-gel-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101797&q=best&v=1&m=400&m=400&webp=1,images/Nature_Republic_Soothing__Moisture_Aloe_Vera_Gel_300_ml.jpg
Olay Moisturising Cream 50 gm,280,BDT,https://chaldn.com/_mpimage/olay-moisturising-cream-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116887&q=best&v=1&m=400&webp=1,images/Olay_Moisturising_Cream_50_gm.jpg
Vaseline Intensive Care Cocoa Radiant Lotion 200 ml,425,BDT,https://chaldn.com/_mpimage/vaseline-intensive-care-cocoa-radiant-lotion-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136923&q=best&v=1&m=400&m=400&webp=1,images/Vaseline_Intensive_Care_Cocoa_Radiant_Lotion_200_ml.jpg
Vaseline Intensive Care Advance Strength Lotion 400 ml,825,BDT,https://chaldn.com/_mpimage/vaseline-intensive-care-advance-strength-lotion-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136680&q=best&v=1&m=400&webp=1,images/Vaseline_Intensive_Care_Advance_Strength_Lotion_400_ml.jpg
Nivea Soft Light Moisturiser Cream 200 ml,830,BDT,https://chaldn.com/_mpimage/nivea-soft-light-moisturiser-cream-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178911&q=best&v=1&m=400&webp=1,images/Nivea_Soft_Light_Moisturiser_Cream_200_ml.jpg
