name,price,currency,image_url,image_location
2890 Head & Shoulders Smooth & Silky Anti Dandruff Shampoo 1 ltr,2799,BDT,https://chaldn.com/_mpimage/head-shoulders-smooth-silky-anti-dandruff-shampoo-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160232&q=best&v=1&m=400&webp=1,images/2890_Head__Shoulders_Smooth__Silky_Anti_Dandruff_Shampoo_1_ltr.jpg
Dove Shampoo Hair Fall Rescue 330 ml,440,BDT,https://chaldn.com/_mpimage/dove-shampoo-hair-fall-rescue-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128256&q=best&v=1&m=400&webp=1,images/Dove_Shampoo_Hair_Fall_Rescue_330_ml.jpg
Parachute Naturale Nourishing Care Shampoo (5.25 ml X 12 pcs) 63 ml,24,BDT,https://chaldn.com/_mpimage/parachute-naturale-nourishing-care-shampoo-525-ml-x-12-pcs-63-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108291&q=best&v=1&m=400&webp=1,images/Parachute_Naturale_Nourishing_Care_Shampoo_525_ml_X_12_pcs_63_ml.jpg
Sunsilk Shampoo Stunning Black Shine 340 ml,350,BDT,https://chaldn.com/_mpimage/sunsilk-shampoo-stunning-black-shine-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153613&q=best&v=1&m=400&webp=1,images/Sunsilk_Shampoo_Stunning_Black_Shine_340_ml.jpg
Sunsilk Shampoo Stunning Black Shine 170 ml,180,BDT,https://chaldn.com/_mpimage/sunsilk-shampoo-stunning-black-shine-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135890&q=best&v=1&m=400&webp=1,images/Sunsilk_Shampoo_Stunning_Black_Shine_170_ml.jpg
Ujjwala Care Anti Hairfall Herbal Shampoo 200 ml,320,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-herbal-shampoo-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177915&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Herbal_Shampoo_200_ml.jpg
Ujjwala Care Anti Hairfall Herbal Shampoo 350 ml,480,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-herbal-shampoo-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177336&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Herbal_Shampoo_350_ml.jpg
Sunsilk Shampoo Stunning Black Shine 450 ml,550,BDT,https://chaldn.com/_mpimage/sunsilk-shampoo-stunning-black-shine-450-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159924&q=best&v=1&m=400&webp=1,images/Sunsilk_Shampoo_Stunning_Black_Shine_450_ml.jpg
Meril Tangerine Orange Shampoo 250 ml,300,BDT,https://chaldn.com/_mpimage/meril-tangerine-orange-shampoo-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126180&q=best&v=1&m=400&webp=1,images/Meril_Tangerine_Orange_Shampoo_250_ml.jpg
Parachute Naturale Advanced Hair Fall Control Shampoo (Onion & Coconut Milk) 175 ml,150,BDT,https://chaldn.com/_mpimage/parachute-naturale-advanced-hair-fall-control-shampoo-onion-coconut-milk-175-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124266&q=best&v=1&m=400&webp=1,images/Parachute_Naturale_Advanced_Hair_Fall_Control_Shampoo_Onion__Coconut_Milk_175_ml.jpg
Sunsilk Lusciously Thick & Long Shampoo (Free Scalp Massager) 650 ml,700,BDT,https://chaldn.com/_mpimage/sunsilk-lusciously-thick-long-shampoo-free-scalp-massager-650-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111413&q=best&v=1&m=400&m=400&webp=1,images/Sunsilk_Lusciously_Thick__Long_Shampoo_Free_Scalp_Massager_650_ml.jpg
Herbal Essences White Strawberry & Sweet Mint Conditioner 400 ml,775,BDT,https://chaldn.com/_mpimage/herbal-essences-white-strawberry-sweet-mint-conditioner-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89837&q=best&v=1&m=400&m=400&webp=1,images/Herbal_Essences_White_Strawberry__Sweet_Mint_Conditioner_400_ml.jpg
Herbal Essences Strength Whipped Cocoa Butter Conditioner 400 ml,775,BDT,https://chaldn.com/_mpimage/herbal-essences-strength-whipped-cocoa-butter-conditioner-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89831&q=best&v=1&m=400&m=400&webp=1,images/Herbal_Essences_Strength_Whipped_Cocoa_Butter_Conditioner_400_ml.jpg
Pantene Advanced Hair Fall Solution Anti-Dandruff Shampoo 180 ml,530,BDT,https://chaldn.com/_mpimage/pantene-advanced-hair-fall-solution-anti-dandruff-shampoo-180-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131805&q=best&v=1&m=400&m=400&webp=1,images/Pantene_Advanced_Hair_Fall_Solution_Anti-Dandruff_Shampoo_180_ml.jpg
Head & Shoulders Cool Menthol Anti Dandruff Shampoo 1 ltr,1800,BDT,https://chaldn.com/_mpimage/head-shoulders-cool-menthol-anti-dandruff-shampoo-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89811&q=best&v=1&m=400&m=400&webp=1,images/Head__Shoulders_Cool_Menthol_Anti_Dandruff_Shampoo_1_ltr.jpg
Pantene Hairfall Control Shampoo 340 ml,950,BDT,https://chaldn.com/_mpimage/pantene-hairfall-control-shampoo-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160235&q=best&v=1&m=400&webp=1,images/Pantene_Hairfall_Control_Shampoo_340_ml.jpg
Head & Shoulders Smooth & Silky Anti Dandruff Shampoo 340 ml,990,BDT,https://chaldn.com/_mpimage/head-shoulders-smooth-silky-anti-dandruff-shampoo-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160229&q=best&v=1&m=400&webp=1,images/Head__Shoulders_Smooth__Silky_Anti_Dandruff_Shampoo_340_ml.jpg
