name,price,currency,image_url,image_location
Veet Pure Hair Removal Cream (Free Dettol Original Soap 75 gm) 100 gm,350,BDT,https://chaldn.com/_mpimage/veet-pure-hair-removal-cream-free-dettol-original-soap-75-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187721&q=best&v=1&m=400&webp=1,images/Veet_Pure_Hair_Removal_Cream_Free_Dettol_Original_Soap_75_gm_100_gm.jpg
GSN1 Grace Wings Sanitary Napkin Regular Flow (Panty) 5 pads,65,BDT,https://chaldn.com/_mpimage/gsn1-grace-wings-sanitary-napkin-regular-flow-panty-5-pads?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186404&q=best&v=1&m=400&webp=1,images/GSN1_Grace_Wings_Sanitary_Napkin_Regular_Flow_Panty_5_pads.jpg
QSN4 Queen Sanitary Napkin Panty Liner 25 pcs,245,BDT,https://chaldn.com/_mpimage/qsn4-queen-sanitary-napkin-panty-liner-25-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185202&q=best&v=1&m=400&webp=1,images/QSN4_Queen_Sanitary_Napkin_Panty_Liner_25_pcs.jpg
VSN1 Venus Premium Sanitary Napkin (Panty) 8 pcs,250,BDT,https://chaldn.com/_mpimage/vsn1-venus-premium-sanitary-napkin-panty-8-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185122&q=best&v=1&m=400&webp=1,images/VSN1_Venus_Premium_Sanitary_Napkin_Panty_8_pcs.jpg
QSN2 Queen Plus Sanitary Napkin (Panty) 10 pcs,150,BDT,https://chaldn.com/_mpimage/qsn2-queen-plus-sanitary-napkin-panty-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185120&q=best&v=1&m=400&webp=1,images/QSN2_Queen_Plus_Sanitary_Napkin_Panty_10_pcs.jpg
Veet Pure Hair Removal Cream Normal Skin With Organic Aloe Vera & Rose Extracts 25 gm,110,BDT,https://chaldn.com/_mpimage/veet-pure-hair-removal-cream-normal-skin-with-organic-aloe-vera-rose-extracts-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174824&q=best&v=1&m=400&webp=1,images/Veet_Pure_Hair_Removal_Cream_Normal_Skin_With_Organic_Aloe_Vera__Rose_Extracts_2.jpg
Veet Pure Hair Removal Cream Normal Skin With Organic Aloe Vera & Rose Extracts 100 gm,350,BDT,https://chaldn.com/_mpimage/veet-pure-hair-removal-cream-normal-skin-with-organic-aloe-vera-rose-extracts-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168416&q=best&v=1&m=400&webp=1,images/Veet_Pure_Hair_Removal_Cream_Normal_Skin_With_Organic_Aloe_Vera__Rose_Extracts_1.jpg
Veet Pure Hair Removal Cream Sensitive Skin With Aloe Vera Extract 25 gm,110,BDT,https://chaldn.com/_mpimage/veet-pure-hair-removal-cream-sensitive-skin-with-aloe-vera-extract-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153089&q=best&v=1&m=400&webp=1,images/Veet_Pure_Hair_Removal_Cream_Sensitive_Skin_With_Aloe_Vera_Extract_25_gm.jpg
C17 Fresh Anonna Sanitary Napkin Belt system 15 pads,110,BDT,https://chaldn.com/_mpimage/c17-fresh-anonna-sanitary-napkin-belt-system-15-pads?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131178&q=best&v=1&m=400&webp=1,images/C17_Fresh_Anonna_Sanitary_Napkin_Belt_system_15_pads.jpg
AF2  SMC Joya All Night Wings 8 pcs,120,BDT,https://chaldn.com/_mpimage/af2-smc-joya-all-night-wings-8-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D61678&q=low&v=1&m=400&m=400&webp=1,images/AF2__SMC_Joya_All_Night_Wings_8_pcs.jpg
Intimia Ultra Thin Peaceful Night XL Sanitary Napkin 6 pcs,200,BDT,https://chaldn.com/_mpimage/intimia-ultra-thin-peaceful-night-xl-sanitary-napkin-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184045&q=best&v=1&m=400&webp=1,images/Intimia_Ultra_Thin_Peaceful_Night_XL_Sanitary_Napkin_6_pcs.jpg
