name,price,currency,image_url,image_location
190 Nihar Naturals Shanti Badam Amla Hair Oil 175 ml,175,BDT,https://chaldn.com/_mpimage/nihar-naturals-shanti-badam-amla-hair-oil-175-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154044&q=best&v=1&m=400&webp=1,images/190_Nihar_Naturals_Shanti_Badam_Amla_Hair_Oil_175_ml.jpg
Gondhraj Perfume Hair Oil 350 ml,320,BDT,https://chaldn.com/_mpimage/gondhraj-perfume-hair-oil-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176464&q=best&v=1&m=400&webp=1,images/Gondhraj_Perfume_Hair_Oil_350_ml.jpg
380 Well's Almond Oil 70 ml,299,BDT,https://chaldn.com/_mpimage/wells-almond-oil-70-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138271&q=best&v=1&m=400&webp=1,images/380_Wells_Almond_Oil_70_ml.jpg
Parachute Advansed Beliphool Coconut Hair Oil 300 ml,310,BDT,https://chaldn.com/_mpimage/parachute-advansed-beliphool-coconut-hair-oil-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131903&q=best&v=1&m=400&webp=1,images/Parachute_Advansed_Beliphool_Coconut_Hair_Oil_300_ml.jpg
Well's Castor Oil 70 ml,500,BDT,https://chaldn.com/_mpimage/wells-castor-oil-70-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138272&q=best&v=1&m=400&webp=1,images/Wells_Castor_Oil_70_ml.jpg
Parachute Coconut Oil (Extra 15 ml) 175 ml,200,BDT,https://chaldn.com/_mpimage/parachute-coconut-oil-extra-15-ml-175-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186223&q=best&v=1&m=400&webp=1,images/Parachute_Coconut_Oil_Extra_15_ml_175_ml.jpg
Parachute Coconut Oil 95 ml,110,BDT,https://chaldn.com/_mpimage/parachute-coconut-oil-95-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186224&q=best&v=1&m=400&webp=1,images/Parachute_Coconut_Oil_95_ml.jpg
Parachute Coconut Oil 500 ml,450,BDT,https://chaldn.com/_mpimage/parachute-coconut-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120823&q=best&v=1&m=400&webp=1,images/Parachute_Coconut_Oil_500_ml.jpg
Jui Coconut Oil 200 ml,200,BDT,https://chaldn.com/_mpimage/jui-coconut-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129629&q=best&v=1&m=400&webp=1,images/Jui_Coconut_Oil_200_ml.jpg
Ujjwala Care Anti Hairfall Herbal Shampoo 200 ml,320,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-herbal-shampoo-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177915&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Herbal_Shampoo_200_ml.jpg
Ujjwala Care Anti Hairfall Herbal Hair Oil 100 ml,200,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-herbal-hair-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177342&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Herbal_Hair_Oil_100_ml.jpg
Ujjwala Care Anti Hairfall Herbal Shampoo 350 ml,480,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-herbal-shampoo-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177336&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Herbal_Shampoo_350_ml.jpg
Natura Grow Hair Oil 200 ml,230,BDT,https://chaldn.com/_mpimage/natura-grow-hair-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174134&q=best&v=1&m=400&webp=1,images/Natura_Grow_Hair_Oil_200_ml.jpg
Dove Shampoo Intense Repair 450 ml,580,BDT,https://chaldn.com/_mpimage/dove-shampoo-intense-repair-450-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159916&q=best&v=1&m=400&webp=1,images/Dove_Shampoo_Intense_Repair_450_ml.jpg
Parachute Naturale Shampoo Advanced Hair Fall Control 320 ml,265,BDT,https://chaldn.com/_mpimage/parachute-naturale-shampoo-advanced-hair-fall-control-320-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180759&q=best&v=1&m=400&webp=1,images/Parachute_Naturale_Shampoo_Advanced_Hair_Fall_Control_320_ml.jpg
Farmer's Gold Sweet Pumpkin Seed Oil 30 ml,450,BDT,https://chaldn.com/_mpimage/farmers-gold-sweet-pumpkin-seed-oil-30-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120324&q=best&v=1&m=400&webp=1,images/Farmers_Gold_Sweet_Pumpkin_Seed_Oil_30_ml.jpg
Parachute Advansed Onion Enriched Coconut Hair Growth Oil 200 ml,215,BDT,https://chaldn.com/_mpimage/parachute-advansed-onion-enriched-coconut-hair-growth-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116167&q=best&v=1&m=400&webp=1,images/Parachute_Advansed_Onion_Enriched_Coconut_Hair_Growth_Oil_200_ml.jpg
B. Tech Expert Pure Herbal Hair Care Oil (Gold) 200 ml,210,BDT,https://chaldn.com/_mpimage/b-tech-expert-pure-herbal-hair-care-oil-gold-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111361&q=best&v=1&m=400&webp=1,images/B_Tech_Expert_Pure_Herbal_Hair_Care_Oil_Gold_200_ml.jpg
Farmer's Gold Onion Oil 30 ml,250,BDT,https://chaldn.com/_mpimage/farmers-gold-onion-oil-30-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98426&q=best&v=1&m=400&webp=1,images/Farmers_Gold_Onion_Oil_30_ml.jpg
Farmer's Gold Neem Oil 100 ml,255,BDT,https://chaldn.com/_mpimage/farmers-gold-neem-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98333&q=best&v=1&m=400&webp=1,images/Farmers_Gold_Neem_Oil_100_ml.jpg
Dabur Amla Hair Oil (Extra 50 ml ) 400 ml,440,BDT,https://chaldn.com/_mpimage/dabur-amla-hair-oil-extra-50-ml-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123334&q=best&v=1&m=400&webp=1,images/Dabur_Amla_Hair_Oil_Extra_50_ml__400_ml.jpg
Himalaya Anti Hair Fall Shampoo 180 ml,270,BDT,https://chaldn.com/_mpimage/himalaya-anti-hair-fall-shampoo-180-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129228&q=best&v=1&m=400&webp=1,images/Himalaya_Anti_Hair_Fall_Shampoo_180_ml.jpg
Sesa Herbal Hair Oil 100 ml,250,BDT,https://chaldn.com/_mpimage/sesa-herbal-hair-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133488&q=best&v=1&m=400&webp=1,images/Sesa_Herbal_Hair_Oil_100_ml.jpg
Ceylon Organic Extra Virgin Coconut Oil 200 ml,600,BDT,https://chaldn.com/_mpimage/ceylon-organic-extra-virgin-coconut-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126645&q=best&v=1&m=400&webp=1,images/Ceylon_Organic_Extra_Virgin_Coconut_Oil_200_ml.jpg
Agrilife Extra Virgin Coconut Oil 450 ml,1089,BDT,https://chaldn.com/_mpimage/agrilife-extra-virgin-coconut-oil-450-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92014&q=best&v=1&m=400&m=400&webp=1,images/Agrilife_Extra_Virgin_Coconut_Oil_450_ml.jpg
Dabur Amla Hair Oil 300 ml,290,BDT,https://chaldn.com/_mpimage/dabur-amla-hair-oil-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123331&q=best&v=1&m=400&webp=1,images/Dabur_Amla_Hair_Oil_300_ml.jpg
760 Indulekha Bringha Ayurvedic Hair Oil 50 ml,549,BDT,https://chaldn.com/_mpimage/indulekha-bringha-ayurvedic-hair-oil-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129474&q=best&v=1&m=400&m=400&webp=1,images/760_Indulekha_Bringha_Ayurvedic_Hair_Oil_50_ml.jpg
My Organic BD Shikakai Powder 100 gm,85,BDT,https://chaldn.com/_mpimage/my-organic-bd-shikakai-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131076&q=best&v=1&m=400&m=400&webp=1,images/My_Organic_BD_Shikakai_Powder_100_gm.jpg
Herbal Essences White Strawberry & Sweet Mint Shampoo 400 ml,1800,BDT,https://chaldn.com/_mpimage/herbal-essences-white-strawberry-sweet-mint-shampoo-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101830&q=best&v=1&m=400&m=400&webp=1,images/Herbal_Essences_White_Strawberry__Sweet_Mint_Shampoo_400_ml.jpg
Dabur Amla Hair Oil 100 ml,110,BDT,https://chaldn.com/_mpimage/dabur-amla-hair-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123325&q=best&v=1&m=400&webp=1,images/Dabur_Amla_Hair_Oil_100_ml.jpg
Kumarika Spilt & Control Hair Oil 200 ml,200,BDT,https://chaldn.com/_mpimage/kumarika-spilt-control-hair-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113433&q=best&v=1&m=400&webp=1,images/Kumarika_Spilt__Control_Hair_Oil_200_ml.jpg
Kumarika Anti Dandruff Control Hair Oil 200 ml,240,BDT,https://chaldn.com/_mpimage/kumarika-anti-dandruff-control-hair-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129868&q=best&v=1&m=400&webp=1,images/Kumarika_Anti_Dandruff_Control_Hair_Oil_200_ml.jpg
Parachute Advansed Coconut Hair Oil 275 ml,210,BDT,https://chaldn.com/_mpimage/parachute-advansed-coconut-hair-oil-275-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98895&q=best&v=1&m=400&m=400&webp=1,images/Parachute_Advansed_Coconut_Hair_Oil_275_ml.jpg
Emami 7 Oils In One Non Sticky Hair Oil 300 ml,380,BDT,https://chaldn.com/_mpimage/emami-7-oils-in-one-non-sticky-hair-oil-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73784&q=best&v=1&m=400&m=400&webp=1,images/Emami_7_Oils_In_One_Non_Sticky_Hair_Oil_300_ml.jpg
Bigen Hair Color & Conditioner (Light Brown) 80 gm,750,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-light-brown-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125773&q=best&v=1&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Light_Brown_80_gm.jpg
Bigen Hair Color & Conditioner (Natural Brown) 80 gm,700,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-natural-brown-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71945&q=best&v=1&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Natural_Brown_80_gm.jpg
Bigen Hair Color & Conditioner (Dark Brown) 80 gm,700,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-dark-brown-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71944&q=best&v=1&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Dark_Brown_80_gm.jpg
Bigen Hair Color & Conditioner (Natural Black) 80 gm,700,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-natural-black-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125774&q=best&v=1&m=400&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Natural_Black_80_gm.jpg
Jui Coconut Oil Can 350 ml,340,BDT,https://chaldn.com/_mpimage/jui-coconut-oil-can-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110871&q=best&v=1&m=400&webp=1,images/Jui_Coconut_Oil_Can_350_ml.jpg
Ceylon Organic Extra Virgin Coconut Oil 500 ml,1590,BDT,https://chaldn.com/_mpimage/ceylon-organic-extra-virgin-coconut-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126647&q=best&v=1&m=400&webp=1,images/Ceylon_Organic_Extra_Virgin_Coconut_Oil_500_ml.jpg
