name,price,currency,image_url,image_location
Comely Shower Gel (Sunshine Garden) 350 ml,300,BDT,https://chaldn.com/_mpimage/comely-shower-gel-sunshine-garden-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186422&q=best&v=1&m=400&webp=1,images/Comely_Shower_Gel_Sunshine_Garden_350_ml.jpg
The Dermalix Rose Soothing Shower Gel 250 ml,350,BDT,https://chaldn.com/_mpimage/the-dermalix-rose-soothing-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183903&q=best&v=1&m=400&webp=1,images/The_Dermalix_Rose_Soothing_Shower_Gel_250_ml.jpg
Nivea Female Shower Gel Lemongrass & Oil 250 ml,700,BDT,https://chaldn.com/_mpimage/nivea-female-shower-gel-lemongrass-oil-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104950&q=best&v=1&m=400&webp=1,images/Nivea_Female_Shower_Gel_Lemongrass__Oil_250_ml.jpg
Dettol Lasting Fresh Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-lasting-fresh-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149418&q=best&v=1&m=400&webp=1,images/Dettol_Lasting_Fresh_Bodywash_250_ml.jpg
Dettol Skincare Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-skincare-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149404&q=best&v=1&m=400&webp=1,images/Dettol_Skincare_Bodywash_250_ml.jpg
Lux Body Wash French Rose & Almond Oil 245 ml,220,BDT,https://chaldn.com/_mpimage/lux-body-wash-french-rose-almond-oil-245-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177276&q=best&v=1&m=400&webp=1,images/Lux_Body_Wash_French_Rose__Almond_Oil_245_ml.jpg
Dettol Aloe Vera Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-aloe-vera-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163292&q=best&v=1&m=400&webp=1,images/Dettol_Aloe_Vera_Bodywash_250_ml.jpg
Dettol Cool Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-cool-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163291&q=best&v=1&m=400&webp=1,images/Dettol_Cool_Bodywash_250_ml.jpg
Dettol Skincare Bodywash Refill 170 ml,125,BDT,https://chaldn.com/_mpimage/dettol-skincare-bodywash-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153114&q=best&v=1&m=400&webp=1,images/Dettol_Skincare_Bodywash_Refill_170_ml.jpg
Dettol Lasting Fresh Bodywash Refill 170 ml,125,BDT,https://chaldn.com/_mpimage/dettol-lasting-fresh-bodywash-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153113&q=best&v=1&m=400&webp=1,images/Dettol_Lasting_Fresh_Bodywash_Refill_170_ml.jpg
"Dettol Lasting Fresh Bodywash (Scan, Run & Win) 250 ml",225,BDT,https://chaldn.com/_mpimage/dettol-lasting-fresh-bodywash-scan-run-win-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149422&q=best&v=1&m=400&m=400&webp=1,images/Dettol_Lasting_Fresh_Bodywash_Scan_Run__Win_250_ml.jpg
YC Beautiful Day Body Shower Gel 400 ml,650,BDT,https://chaldn.com/_mpimage/yc-beautiful-day-body-shower-gel-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98827&q=best&v=1&m=400&webp=1,images/YC_Beautiful_Day_Body_Shower_Gel_400_ml.jpg
Palmolive Aroma Morning Tonic Shower Gel 250 ml,650,BDT,https://chaldn.com/_mpimage/palmolive-aroma-morning-tonic-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170560&q=best&v=1&m=400&webp=1,images/Palmolive_Aroma_Morning_Tonic_Shower_Gel_250_ml.jpg
Palmolive Body Wash Luminous Oils 250 ml,650,BDT,https://chaldn.com/_mpimage/palmolive-body-wash-luminous-oils-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95418&q=best&v=1&m=400&webp=1,images/Palmolive_Body_Wash_Luminous_Oils_250_ml.jpg
Dettol Original Bodywash 250 ml,200,BDT,https://chaldn.com/_mpimage/dettol-original-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149403&q=best&v=1&m=400&webp=1,images/Dettol_Original_Bodywash_250_ml.jpg
Dettol Fresh Antibacterial Bodywash Citrus & Orange Blossom 250 ml,350,BDT,https://chaldn.com/_mpimage/dettol-fresh-antibacterial-bodywash-citrus-orange-blossom-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104957&q=best&v=1&m=400&webp=1,images/Dettol_Fresh_Antibacterial_Bodywash_Citrus__Orange_Blossom_250_ml.jpg
Biore Mens Hygienic Energy Shower Gel 250 ml,750,BDT,https://chaldn.com/_mpimage/biore-mens-hygienic-energy-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116352&q=best&v=1&m=400&webp=1,images/Biore_Mens_Hygienic_Energy_Shower_Gel_250_ml.jpg
Biore Mens Cool Energy Shower Gel 250 ml,750,BDT,https://chaldn.com/_mpimage/biore-mens-cool-energy-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116351&q=best&v=1&m=400&webp=1,images/Biore_Mens_Cool_Energy_Shower_Gel_250_ml.jpg
St. Ives Sooting Oatmeal & Shea Butters Body Wash 400 ml,1550,BDT,https://chaldn.com/_mpimage/st-ives-sooting-oatmeal-shea-butters-body-wash-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134996&q=best&v=1&m=400&webp=1,images/St_Ives_Sooting_Oatmeal__Shea_Butters_Body_Wash_400_ml.jpg
St. Ives Fresh Skin Apricot Body Wash 400 ml,850,BDT,https://chaldn.com/_mpimage/st-ives-fresh-skin-apricot-body-wash-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134993&q=best&v=1&m=400&webp=1,images/St_Ives_Fresh_Skin_Apricot_Body_Wash_400_ml.jpg
Lux Body Wash Bright Camellia 500 ml,1250,BDT,https://chaldn.com/_mpimage/lux-body-wash-bright-camellia-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130419&q=best&v=1&m=400&webp=1,images/Lux_Body_Wash_Bright_Camellia_500_ml.jpg
Lux Body Wash Soft Rose 500 ml,1250,BDT,https://chaldn.com/_mpimage/lux-body-wash-soft-rose-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130421&q=best&v=1&m=400&m=400&webp=1,images/Lux_Body_Wash_Soft_Rose_500_ml.jpg
