name,price,currency,image_url,image_location
Watteh Greens Red Amaranth Microgreen 25 gm,399,BDT,https://chaldn.com/_mpimage/watteh-greens-red-amaranth-microgreen-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183805&q=best&v=1&m=400&webp=1,images/Watteh_Greens_Red_Amaranth_Microgreen_25_gm.jpg
Watteh Greens Radish Microgreen 25 gm,149,BDT,https://chaldn.com/_mpimage/watteh-greens-radish-microgreen-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183806&q=best&v=1&m=400&webp=1,images/Watteh_Greens_Radish_Microgreen_25_gm.jpg
Watteh Greens Mustard Microgreen 25 gm,149,BDT,https://chaldn.com/_mpimage/watteh-greens-mustard-microgreen-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183807&q=best&v=1&m=400&webp=1,images/Watteh_Greens_Mustard_Microgreen_25_gm.jpg
Ahmed Sugar Free Orange Jelly 500 gm,265,BDT,https://chaldn.com/_mpimage/ahmed-sugar-free-orange-jelly-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123015&q=best&v=1&m=400&webp=1,images/Ahmed_Sugar_Free_Orange_Jelly_500_gm.jpg
ACI Nutrilife Brown Flour (Atta) 1 kg,70,BDT,https://chaldn.com/_mpimage/aci-nutrilife-brown-flour-atta-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177378&q=best&v=1&m=400&webp=1,images/ACI_Nutrilife_Brown_Flour_Atta_1_kg.jpg
ACI Nutrilife Brown Atta 2 kg,140,BDT,https://chaldn.com/_mpimage/aci-nutrilife-brown-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177148&q=best&v=1&m=400&webp=1,images/ACI_Nutrilife_Brown_Atta_2_kg.jpg
Zero Cal Box 150 Sachets,400,BDT,https://chaldn.com/_mpimage/zero-cal-box-150-sachets?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185679&q=best&v=1&m=400&m=400&webp=1,images/Zero_Cal_Box_150_Sachets.jpg
Teer Whole Wheat Flour (Atta) 2 kg,140,BDT,https://chaldn.com/_mpimage/teer-whole-wheat-flour-atta-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101279&q=best&v=1&m=400&webp=1,images/Teer_Whole_Wheat_Flour_Atta_2_kg.jpg
ACI Nutrilife Rice Bran Oil 5 ltr,1160,BDT,https://chaldn.com/_mpimage/aci-nutrilife-rice-bran-oil-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177941&q=best&v=1&m=400&webp=1,images/ACI_Nutrilife_Rice_Bran_Oil_5_ltr.jpg
Zero Cal Sugar 200 Tablets each,200,BDT,https://chaldn.com/_mpimage/zero-cal-sugar-200-tablets-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185682&q=best&v=1&m=400&webp=1,images/Zero_Cal_Sugar_200_Tablets_each.jpg
