name,price,currency,image_url,image_location
Standard Horlicks Health And Nutrition Drink Jar 250 gm,280,BDT,https://chaldn.com/_mpimage/standard-horlicks-health-and-nutrition-drink-jar-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163368&q=best&v=1&m=400&webp=1,images/Standard_Horlicks_Health_And_Nutrition_Drink_Jar_250_gm.jpg
Pran Mango Flavored Milk (Pouch) 150 ml,25,BDT,https://chaldn.com/_mpimage/pran-mango-flavored-milk-pouch-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175235&q=best&v=1&m=400&webp=1,images/Pran_Mango_Flavored_Milk_Pouch_150_ml.jpg
Pran Chocolate Flavored Milk (Pouch) 150 ml,25,BDT,https://chaldn.com/_mpimage/pran-chocolate-flavored-milk-pouch-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175234&q=best&v=1&m=400&webp=1,images/Pran_Chocolate_Flavored_Milk_Pouch_150_ml.jpg
Complan Chocolate Pack 350 gm,405,BDT,https://chaldn.com/_mpimage/complan-chocolate-pack-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139050&q=best&v=1&m=400&webp=1,images/Complan_Chocolate_Pack_350_gm.jpg
Horlicks Chocolate Flavour Jar 500 gm,550,BDT,https://chaldn.com/_mpimage/horlicks-chocolate-flavour-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163350&q=best&v=1&m=400&webp=1,images/Horlicks_Chocolate_Flavour_Jar_500_gm.jpg
Junior Horlicks Health And Nutrition Drink Container Stage-2 500 gm,550,BDT,https://chaldn.com/_mpimage/junior-horlicks-health-and-nutrition-drink-container-stage-2-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168999&q=best&v=1&m=400&webp=1,images/Junior_Horlicks_Health_And_Nutrition_Drink_Container_Stage-2_500_gm.jpg
Standard Horlicks Health And Nutrition Drink Jar 500 gm,500,BDT,https://chaldn.com/_mpimage/standard-horlicks-health-and-nutrition-drink-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168985&q=best&v=1&m=400&webp=1,images/Standard_Horlicks_Health_And_Nutrition_Drink_Jar_500_gm.jpg
Ovaltine Power 10 Chocolate Drink Jar 400 gm,1000,BDT,https://chaldn.com/_mpimage/ovaltine-power-10-chocolate-drink-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131786&q=best&v=1&m=400&m=400&webp=1,images/Ovaltine_Power_10_Chocolate_Drink_Jar_400_gm.jpg
Eldomilk 2+ Growing Up Milk Powder (2-3 Years) 350 gm,495,BDT,https://chaldn.com/_mpimage/eldomilk-2-growing-up-milk-powder-2-3-years-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180133&q=best&v=1&m=400&m=400&webp=1,images/Eldomilk_2_Growing_Up_Milk_Powder_2-3_Years_350_gm.jpg
PediaSure Vanilla Delight 1 kg,3385,BDT,https://chaldn.com/_mpimage/pediasure-vanilla-delight-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132038&q=best&v=1&m=400&webp=1,images/PediaSure_Vanilla_Delight_1_kg.jpg
Biomil 3 Follow Up Formula Milk Powder (1-2 Y) 350 gm,645,BDT,https://chaldn.com/_mpimage/biomil-3-follow-up-formula-milk-powder-1-2-y-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D69085&q=low&v=1&m=400&webp=1,images/Biomil_3_Follow_Up_Formula_Milk_Powder_1-2_Y_350_gm.jpg
Biomil 2 Milk Powder (6-12 months) 350 gm,645,BDT,https://chaldn.com/_mpimage/biomil-2-milk-powder-6-12-months-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163680&q=best&v=1&m=400&m=400&webp=1,images/Biomil_2_Milk_Powder_6-12_months_350_gm.jpg
Biomil 1 Milk Powder (0-6 months) 350 gm,625,BDT,https://chaldn.com/_mpimage/biomil-1-milk-powder-0-6-months-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163678&q=best&v=1&m=400&webp=1,images/Biomil_1_Milk_Powder_0-6_months_350_gm.jpg
