name,price,currency,image_url,image_location
Golden Harvest Frozen Chicken Meat Ball 400 gm,300,BDT,https://chaldn.com/_mpimage/golden-harvest-frozen-chicken-meat-ball-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168992&q=best&v=1&m=400&webp=1,images/Golden_Harvest_Frozen_Chicken_Meat_Ball_400_gm.jpg
Kazi Farms Kitchen Chicken Sausage 10 pcs 340 gm,260,BDT,https://chaldn.com/_mpimage/kazi-farms-kitchen-chicken-sausage-10-pcs-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129676&q=best&v=1&m=400&webp=1,images/Kazi_Farms_Kitchen_Chicken_Sausage_10_pcs_340_gm.jpg
Golden Harvest Mini Chicken Nuggets 300 gm,240,BDT,https://chaldn.com/_mpimage/golden-harvest-mini-chicken-nuggets-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149424&q=best&v=1&m=400&webp=1,images/Golden_Harvest_Mini_Chicken_Nuggets_300_gm.jpg
Golden Harvest Chicken Sausage 340 gm,260,BDT,https://chaldn.com/_mpimage/golden-harvest-chicken-sausage-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168994&q=best&v=1&m=400&webp=1,images/Golden_Harvest_Chicken_Sausage_340_gm.jpg
Kazi Farms Kitchen Spicy Chicken Nuggets 250 gm,200,BDT,https://chaldn.com/_mpimage/kazi-farms-kitchen-spicy-chicken-nuggets-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129679&q=best&v=1&m=400&webp=1,images/Kazi_Farms_Kitchen_Spicy_Chicken_Nuggets_250_gm.jpg
Jhatpot Chicken Nuggets 20 pcs 300 gm,240,BDT,https://chaldn.com/_mpimage/jhatpot-chicken-nuggets-20-pcs-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D59742&q=best&v=1&m=400&webp=1,images/Jhatpot_Chicken_Nuggets_20_pcs_300_gm.jpg
Golden Harvest Chicken Shami Kabab 200 gm,250,BDT,https://chaldn.com/_mpimage/golden-harvest-chicken-shami-kabab-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166302&q=best&v=1&m=400&webp=1,images/Golden_Harvest_Chicken_Shami_Kabab_200_gm.jpg
Country Natural Chicken Samosa 300 gm,250,BDT,https://chaldn.com/_mpimage/country-natural-chicken-samosa-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170036&q=best&v=1&m=400&webp=1,images/Country_Natural_Chicken_Samosa_300_gm.jpg
Country Natural Chicken Spicy Lollipop 400 gm,350,BDT,https://chaldn.com/_mpimage/country-natural-chicken-spicy-lollipop-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168166&q=best&v=1&m=400&webp=1,images/Country_Natural_Chicken_Spicy_Lollipop_400_gm.jpg
Jhatpot Chicken Strips 250 gm,280,BDT,https://chaldn.com/_mpimage/jhatpot-chicken-strips-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112585&q=best&v=1&m=400&webp=1,images/Jhatpot_Chicken_Strips_250_gm.jpg
