name,price,currency,image_url,image_location
170 Victoria Red Kidney Beans 400 gm,159,BDT,https://chaldn.com/_mpimage/victoria-red-kidney-beans-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137005&q=best&v=1&m=400&webp=1,images/170_Victoria_Red_Kidney_Beans_400_gm.jpg
Clariss Canned Baby Corn 425 gm,185,BDT,https://chaldn.com/_mpimage/clariss-canned-baby-corn-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126765&q=best&v=1&m=400&webp=1,images/Clariss_Canned_Baby_Corn_425_gm.jpg
Nana Green Peas 400 gm,125,BDT,https://chaldn.com/_mpimage/nana-green-peas-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115022&q=best&v=1&m=400&webp=1,images/Nana_Green_Peas_400_gm.jpg
Nana Baby Corn 425 gm,120,BDT,https://chaldn.com/_mpimage/nana-baby-corn-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115021&q=best&v=1&m=400&m=400&webp=1,images/Nana_Baby_Corn_425_gm.jpg
Nana Sweet Corn 425 gm,125,BDT,https://chaldn.com/_mpimage/nana-sweet-corn-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115024&q=best&v=1&m=400&webp=1,images/Nana_Sweet_Corn_425_gm.jpg
Blossoms Red Kidney Beans 420 gm,239,BDT,https://chaldn.com/_mpimage/blossoms-red-kidney-beans-420-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92557&q=best&v=1&m=400&webp=1,images/Blossoms_Red_Kidney_Beans_420_gm.jpg
Welcome Tomato Puree 425 gm,190,BDT,https://chaldn.com/_mpimage/welcome-tomato-puree-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92565&q=best&v=1&m=400&webp=1,images/Welcome_Tomato_Puree_425_gm.jpg
Hosen Asparagus 430 gm,399,BDT,https://chaldn.com/_mpimage/hosen-asparagus-430-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92575&q=best&v=1&m=400&m=400&webp=1,images/Hosen_Asparagus_430_gm.jpg
Hibiscus Premium Whole Baby Corn In Brine 425 gm,360,BDT,https://chaldn.com/_mpimage/hibiscus-premium-whole-baby-corn-in-brine-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103095&q=best&v=1&m=400&webp=1,images/Hibiscus_Premium_Whole_Baby_Corn_In_Brine_425_gm.jpg
Saporito Whole Peeled Tomatos Can 800 gm,520,BDT,https://chaldn.com/_mpimage/saporito-whole-peeled-tomatos-can-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104918&q=low&v=1&m=400&webp=1,images/Saporito_Whole_Peeled_Tomatos_Can_800_gm.jpg
Highway Corned Beef 340 gm,370,BDT,https://chaldn.com/_mpimage/highway-corned-beef-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103119&q=best&v=1&m=400&m=400&webp=1,images/Highway_Corned_Beef_340_gm.jpg
Hosen Baked Beans In Tomato Sauce Can 425 gm,249,BDT,https://chaldn.com/_mpimage/hosen-baked-beans-in-tomato-sauce-can-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129330&q=best&v=1&m=400&webp=1,images/Hosen_Baked_Beans_In_Tomato_Sauce_Can_425_gm.jpg
Hosen Red Kidney Beans Can 425 gm,329,BDT,https://chaldn.com/_mpimage/hosen-red-kidney-beans-can-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104876&q=best&v=1&m=400&webp=1,images/Hosen_Red_Kidney_Beans_Can_425_gm.jpg
Hosen Baby Corn Young Spear Can 425 gm,289,BDT,https://chaldn.com/_mpimage/hosen-baby-corn-young-spear-can-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129329&q=best&v=1&m=400&webp=1,images/Hosen_Baby_Corn_Young_Spear_Can_425_gm.jpg
Hosen Baby Corn Young Cut Can 400 gm,219,BDT,https://chaldn.com/_mpimage/hosen-baby-corn-young-cut-can-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103807&q=best&v=1&m=400&m=400&webp=1,images/Hosen_Baby_Corn_Young_Cut_Can_400_gm.jpg
275 Hosen Green Peas Choice Whole Can 397 gm,200,BDT,https://chaldn.com/_mpimage/hosen-green-peas-choice-whole-can-397-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129337&q=best&v=1&m=400&m=400&webp=1,images/275_Hosen_Green_Peas_Choice_Whole_Can_397_gm.jpg
Hosen Gherkins Original Flavour Jar 680 gm,529,BDT,https://chaldn.com/_mpimage/hosen-gherkins-original-flavour-jar-680-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104889&q=best&v=1&m=400&webp=1,images/Hosen_Gherkins_Original_Flavour_Jar_680_gm.jpg
King Bell Whole Baby Corn Tin 425 gm,180,BDT,https://chaldn.com/_mpimage/king-bell-whole-baby-corn-tin-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109810&q=best&v=1&m=400&m=400&webp=1,images/King_Bell_Whole_Baby_Corn_Tin_425_gm.jpg
