name,price,currency,image_url,image_location
45 Banana Chompa (Ready To Eat) 4 pcs,29,BDT,https://chaldn.com/_mpimage/banana-chompa-ready-to-eat-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116416&q=best&v=1&m=400&webp=1,images/45_Banana_Chompa_Ready_To_Eat_4_pcs.jpg
60 Shagor Kola (Banana Sagor) 4 pcs,55,BDT,https://chaldn.com/_mpimage/shagor-kola-banana-sagor-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D76879&q=best&v=1&m=400&webp=1,images/60_Shagor_Kola_Banana_Sagor_4_pcs.jpg
Guava Premium (± 50 gm) 1 kg,119,BDT,https://chaldn.com/_mpimage/guava-premium-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D67818&q=best&v=1&m=400&m=400&webp=1,images/Guava_Premium__50_gm_1_kg.jpg
55 Bangla Kola 4 pcs,45,BDT,https://chaldn.com/_mpimage/bangla-kola-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183438&q=low&v=1&m=400&webp=1,images/55_Bangla_Kola_4_pcs.jpg
Malta ± 50 gm 1 kg,319,BDT,https://chaldn.com/_mpimage/malta-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131779&q=best&v=1&m=400&m=400&webp=1,images/Malta__50_gm_1_kg.jpg
Daab (Green Coconut) each,149,BDT,https://chaldn.com/_mpimage/daab-green-coconut-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D40755&q=best&v=1&m=400&webp=1,images/Daab_Green_Coconut_each.jpg
Dalim (Pomegranate) 2 pcs,269,BDT,https://chaldn.com/_mpimage/dalim-pomegranate-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28589&q=best&v=1&m=400&m=400&webp=1,images/Dalim_Pomegranate_2_pcs.jpg
China Fuji Apple ± 50 gm 1 kg,399,BDT,https://chaldn.com/_mpimage/china-fuji-apple-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114752&q=best&v=1&m=400&webp=1,images/China_Fuji_Apple__50_gm_1_kg.jpg
85 Anaros (Pineapple) each,79,BDT,https://chaldn.com/_mpimage/anaros-pineapple-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D61358&q=low&v=1&m=400&webp=1,images/85_Anaros_Pineapple_each.jpg
200 Paka Pape ± 50 gm 1 kg,179,BDT,https://chaldn.com/_mpimage/paka-pape-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131627&q=best&v=1&m=400&m=400&webp=1,images/200_Paka_Pape__50_gm_1_kg.jpg
185 Shada Nashpati ± 50 gm (Pear White) 2 pcs,179,BDT,https://chaldn.com/_mpimage/shada-nashpati-50-gm-pear-white-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71168&q=best&v=1&m=400&m=400&webp=1,images/185_Shada_Nashpati__50_gm_Pear_White_2_pcs.jpg
Komola (Orange) Imported ± 50 gm 1 kg,359,BDT,https://chaldn.com/_mpimage/komola-orange-imported-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64292&q=best&v=1&m=400&m=400&webp=1,images/Komola_Orange_Imported__50_gm_1_kg.jpg
Gala Apple ± 50 gm 1 kg,479,BDT,https://chaldn.com/_mpimage/gala-apple-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114751&q=best&v=1&m=400&m=400&webp=1,images/Gala_Apple__50_gm_1_kg.jpg
200 Bel (Wood Apple) each,149,BDT,https://chaldn.com/_mpimage/bel-wood-apple-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D34665&q=best&v=1&m=400&webp=1,images/200_Bel_Wood_Apple_each.jpg
Narikel (Coconut) each,169,BDT,https://chaldn.com/_mpimage/narikel-coconut-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94768&q=best&v=1&m=400&webp=1,images/Narikel_Coconut_each.jpg
Pomegranate Peeled (± 50 gm) 300 gm,439,BDT,https://chaldn.com/_mpimage/pomegranate-peeled-50-gm-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166198&q=best&v=1&m=400&webp=1,images/Pomegranate_Peeled__50_gm_300_gm.jpg
Banana Sobri 4 pcs,55,BDT,https://chaldn.com/_mpimage/banana-sobri-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D76878&q=low&v=1&m=400&webp=1,images/Banana_Sobri_4_pcs.jpg
Sobuj Angur (Green Grapes) ± 12 gm 250 gm,159,BDT,https://chaldn.com/_mpimage/sobuj-angur-green-grapes-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134876&q=best&v=1&m=400&m=400&webp=1,images/Sobuj_Angur_Green_Grapes__12_gm_250_gm.jpg
Watermelon Large 5 kg + (Tormuj) each,359,BDT,https://chaldn.com/_mpimage/watermelon-large-5-kg-tormuj-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77403&q=best&v=1&m=400&webp=1,images/Watermelon_Large_5_kg__Tormuj_each.jpg
510 Green Apple ± 50 gm 1 kg,499,BDT,https://chaldn.com/_mpimage/green-apple-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D119065&q=best&v=1&m=400&m=400&webp=1,images/510_Green_Apple__50_gm_1_kg.jpg
300 Lychee Premium 50 pcs,279,BDT,https://chaldn.com/_mpimage/lychee-premium-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D36706&q=best&v=1&m=400&webp=1,images/300_Lychee_Premium_50_pcs.jpg
200 Jamrul (Java Apple Red) 1 kg,179,BDT,https://chaldn.com/_mpimage/jamrul-java-apple-red-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107098&q=best&v=1&m=400&webp=1,images/200_Jamrul_Java_Apple_Red_1_kg.jpg
Koromcha Fruit 500 gm,99,BDT,https://chaldn.com/_mpimage/koromcha-fruit-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79836&q=best&v=1&m=400&m=400&webp=1,images/Koromcha_Fruit_500_gm.jpg
100 Jamrul (Java Apple White) 500 gm,79,BDT,https://chaldn.com/_mpimage/jamrul-java-apple-white-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109665&q=best&v=1&m=400&webp=1,images/100_Jamrul_Java_Apple_White_500_gm.jpg
259 Dragon Fruit Local (± 50 gm) 1 kg,229,BDT,https://chaldn.com/_mpimage/dragon-fruit-local-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93407&q=best&v=1&m=400&webp=1,images/259_Dragon_Fruit_Local__50_gm_1_kg.jpg
