name,price,currency,image_url,image_location
Potato Regular (± 50 gm) 1 kg,29,BDT,https://chaldn.com/_mpimage/potato-regular-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164304&q=best&v=1&m=400&webp=1,images/Potato_Regular__50_gm_1_kg.jpg
Red Tomato ± 25 gm 500 gm,99,BDT,https://chaldn.com/_mpimage/red-tomato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64361&q=best&v=1&m=400&webp=1,images/Red_Tomato__25_gm_500_gm.jpg
109 Roshun (Garlic Imported) ± 25 gm 500 gm,79,BDT,https://chaldn.com/_mpimage/roshun-garlic-imported-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89993&q=best&v=1&m=400&m=400&webp=1,images/109_Roshun_Garlic_Imported__25_gm_500_gm.jpg
Coriander Leaves (Dhonia Pata) ± 10 gm 100 gm,25,BDT,https://chaldn.com/_mpimage/coriander-leaves-dhonia-pata-10-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28562&q=low&v=1&m=400&webp=1,images/Coriander_Leaves_Dhonia_Pata__10_gm_100_gm.jpg
Kacha Morich (Green Chilli) ±12 gm 250 gm,89,BDT,https://chaldn.com/_mpimage/kacha-morich-green-chilli-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28576&q=low&v=1&m=400&m=400&webp=1,images/Kacha_Morich_Green_Chilli_12_gm_250_gm.jpg
Lal Alu (Red Potato Cardinal) ± 50 gm 1 kg,29,BDT,https://chaldn.com/_mpimage/lal-alu-red-potato-cardinal-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D76922&q=low&v=1&m=400&webp=1,images/Lal_Alu_Red_Potato_Cardinal__50_gm_1_kg.jpg
Lal Shak (Red Spinach) 1 bundle,29,BDT,https://chaldn.com/_mpimage/lal-shak-red-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7226&q=low&v=1&m=400&m=400&webp=1,images/Lal_Shak_Red_Spinach_1_bundle.jpg
Deshi Shosha (Local Cucumber) ± 25 gm 500 gm,39,BDT,https://chaldn.com/_mpimage/deshi-shosha-local-cucumber-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64359&q=best&v=1&m=400&m=400&webp=1,images/Deshi_Shosha_Local_Cucumber__25_gm_500_gm.jpg
119 Ada (Imported Ginger) ± 25 gm 500 gm,89,BDT,https://chaldn.com/_mpimage/ada-imported-ginger-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163275&q=low&v=1&m=400&webp=1,images/119_Ada_Imported_Ginger__25_gm_500_gm.jpg
39 Lomba Lebu (Long Lemon) 4 pcs,29,BDT,https://chaldn.com/_mpimage/lomba-lebu-long-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64362&q=low&v=1&m=400&webp=1,images/39_Lomba_Lebu_Long_Lemon_4_pcs.jpg
65 Misti Kumra Fali (Sweet Pumpkin Slice) ± 40 gm 1 kg,59,BDT,https://chaldn.com/_mpimage/misti-kumra-fali-sweet-pumpkin-slice-40-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28900&q=low&v=1&m=400&webp=1,images/65_Misti_Kumra_Fali_Sweet_Pumpkin_Slice__40_gm_1_kg.jpg
Misti Alu (Sweet Potato) ± 25 gm 500 gm,59,BDT,https://chaldn.com/_mpimage/misti-alu-sweet-potato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54835&q=best&v=1&m=400&m=400&webp=1,images/Misti_Alu_Sweet_Potato__25_gm_500_gm.jpg
Kacha Morich (Green Chilli) ± 12 gm 100 gm,39,BDT,https://chaldn.com/_mpimage/kacha-morich-green-chilli-12-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183023&q=low&v=1&m=400&m=400&webp=1,images/Kacha_Morich_Green_Chilli__12_gm_100_gm.jpg
85 Kacha Pepe (Green Papaya) ± 70 gm 1.4 kg,59,BDT,https://chaldn.com/_mpimage/kacha-pepe-green-papaya-70-gm-14-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D69930&q=low&v=1&m=400&m=400&webp=1,images/85_Kacha_Pepe_Green_Papaya__70_gm_14_kg.jpg
