name,price,currency,image_url,image_location
RFL Deluxe Bowl Red 8 ltr each,140,BDT,https://chaldn.com/_mpimage/rfl-deluxe-bowl-red-8-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153301&q=best&v=1&m=400&webp=1,images/RFL_Deluxe_Bowl_Red_8_ltr_each.jpg
RFL Deluxe Bowl Red 3 ltr each,80,BDT,https://chaldn.com/_mpimage/rfl-deluxe-bowl-red-3-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153299&q=best&v=1&m=400&webp=1,images/RFL_Deluxe_Bowl_Red_3_ltr_each.jpg
RFL Family Basket each,520,BDT,https://chaldn.com/_mpimage/rfl-family-basket-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132758&q=best&v=1&m=400&webp=1,images/RFL_Family_Basket_each.jpg
RFL Deluxe Bucket 15 ltr (Red) each,240,BDT,https://chaldn.com/_mpimage/rfl-deluxe-bucket-15-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95523&q=best&v=1&m=400&webp=1,images/RFL_Deluxe_Bucket_15_ltr_Red_each.jpg
RFL Design Bucket 20 ltr (SM Blue) each,300,BDT,https://chaldn.com/_mpimage/rfl-design-bucket-20-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132750&q=best&v=1&m=400&webp=1,images/RFL_Design_Bucket_20_ltr_SM_Blue_each.jpg
RFL Design Bucket 25 ltr (Red) each,300,BDT,https://chaldn.com/_mpimage/rfl-design-bucket-25-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153302&q=best&v=1&m=400&m=400&webp=1,images/RFL_Design_Bucket_25_ltr_Red_each.jpg
RFL Design Bucket 25 ltr (SM Blue) each,350,BDT,https://chaldn.com/_mpimage/rfl-design-bucket-25-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132749&q=best&v=1&m=400&webp=1,images/RFL_Design_Bucket_25_ltr_SM_Blue_each.jpg
RFL Design Bucket 8 ltr (SM Blue) each,150,BDT,https://chaldn.com/_mpimage/rfl-design-bucket-8-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132751&q=best&v=1&m=400&webp=1,images/RFL_Design_Bucket_8_ltr_SM_Blue_each.jpg
RFL Design Bucket 8 ltr (Red) each,150,BDT,https://chaldn.com/_mpimage/rfl-design-bucket-8-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153304&q=best&v=1&m=400&webp=1,images/RFL_Design_Bucket_8_ltr_Red_each.jpg
RFL Design Bucket 5 ltr (SM Blue) each,120,BDT,https://chaldn.com/_mpimage/rfl-design-bucket-5-ltr-sm-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132752&q=best&v=1&m=400&m=400&webp=1,images/RFL_Design_Bucket_5_ltr_SM_Blue_each.jpg
RFL Design Bowl 8 ltr (Blue) each,120,BDT,https://chaldn.com/_mpimage/rfl-design-bowl-8-ltr-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95935&q=best&v=1&m=400&m=400&webp=1,images/RFL_Design_Bowl_8_ltr_Blue_each.jpg
RFL Design Bowl 8 ltr (Red) each,150,BDT,https://chaldn.com/_mpimage/rfl-design-bowl-8-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132745&q=best&v=1&m=400&webp=1,images/RFL_Design_Bowl_8_ltr_Red_each.jpg
RFL Design Bowl 3 ltr (Red) each,80,BDT,https://chaldn.com/_mpimage/rfl-design-bowl-3-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132743&q=best&v=1&m=400&m=400&webp=1,images/RFL_Design_Bowl_3_ltr_Red_each.jpg
RFL Design Bowl 3 ltr (Blue) each,80,BDT,https://chaldn.com/_mpimage/rfl-design-bowl-3-ltr-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132742&q=best&v=1&m=400&m=400&webp=1,images/RFL_Design_Bowl_3_ltr_Blue_each.jpg
RFL Design Bowl 5 ltr (Red) each,110,BDT,https://chaldn.com/_mpimage/rfl-design-bowl-5-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132744&q=best&v=1&m=400&webp=1,images/RFL_Design_Bowl_5_ltr_Red_each.jpg
RFL Design Bowl 5 ltr (Blue) each,110,BDT,https://chaldn.com/_mpimage/rfl-design-bowl-5-ltr-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95475&q=best&v=1&m=400&webp=1,images/RFL_Design_Bowl_5_ltr_Blue_each.jpg
RFL Round Laundry Basket (Red) each,300,BDT,https://chaldn.com/_mpimage/rfl-round-laundry-basket-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113241&q=best&v=1&m=400&webp=1,images/RFL_Round_Laundry_Basket_Red_each.jpg
RFL Magic Clean Bucket With Mop (Green) each,2000,BDT,https://chaldn.com/_mpimage/rfl-magic-clean-bucket-with-mop-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113150&q=best&v=1&m=400&m=400&webp=1,images/RFL_Magic_Clean_Bucket_With_Mop_Green_each.jpg
Npoly Design Bucket With Lead (Red) 25 ltr,445,BDT,https://chaldn.com/_mpimage/npoly-design-bucket-with-lead-red-25-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131458&q=best&v=1&m=400&m=400&webp=1,images/Npoly_Design_Bucket_With_Lead_Red_25_ltr.jpg
RFL Cane Laundry Brown Basket Big each,980,BDT,https://chaldn.com/_mpimage/rfl-cane-laundry-brown-basket-big-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D19083&q=best&v=1&m=400&webp=1,images/RFL_Cane_Laundry_Brown_Basket_Big_each.jpg
