name,price,currency,image_url,image_location
Malik Seeds Mishti Kumra Beej (Rongila) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-mishti-kumra-beej-rongila-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178779&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Mishti_Kumra_Beej_Rongila_each.jpg
Malik Seeds Lau Beej (Pallabi) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-lau-beej-pallabi-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178777&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Lau_Beej_Pallabi_each.jpg
Malik Seeds Chichinga Beej (Asha) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-chichinga-beej-asha-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178776&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Chichinga_Beej_Asha_each.jpg
Malik Seeds Jhinga Beej (Raman) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-jhinga-beej-raman-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178774&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Jhinga_Beej_Raman_each.jpg
Malik Seeds Begun Beej (Pritam) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-begun-beej-pritam-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178769&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Begun_Beej_Pritam_each.jpg
Malik Seeds Begun Beej (Lalita) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-begun-beej-lalita-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178767&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Begun_Beej_Lalita_each.jpg
Malik Seeds Tok Tomato Beej (Sour Round) each,60,BDT,https://chaldn.com/_mpimage/malik-seeds-tok-tomato-beej-sour-round-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178764&q=best&v=1&m=400&webp=1,images/Malik_Seeds_Tok_Tomato_Beej_Sour_Round_each.jpg
RFL RTG Flower Tub Small (Sandal Wood) each,99,BDT,https://chaldn.com/_mpimage/rfl-rtg-flower-tub-small-sandal-wood-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95066&q=best&v=1&m=400&m=400&webp=1,images/RFL_RTG_Flower_Tub_Small_Sandal_Wood_each.jpg
RFL RTG Flower Tub Big (Sandal Wood) each,200,BDT,https://chaldn.com/_mpimage/rfl-rtg-flower-tub-big-sandal-wood-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95068&q=best&v=1&m=400&m=400&webp=1,images/RFL_RTG_Flower_Tub_Big_Sandal_Wood_each.jpg
RFL RTG Flower Tub Big (Tulip Green) each,200,BDT,https://chaldn.com/_mpimage/rfl-rtg-flower-tub-big-tulip-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95062&q=best&v=1&m=400&m=400&webp=1,images/RFL_RTG_Flower_Tub_Big_Tulip_Green_each.jpg
