name,price,currency,image_url,image_location
Fresh Hand Towel (250X1 Ply) each,100,BDT,https://chaldn.com/_mpimage/fresh-hand-towel-250x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113119&q=best&v=1&m=400&webp=1,images/Fresh_Hand_Towel_250X1_Ply_each.jpg
Bashundhara Kitchen Towel Rolls 2 pcs,160,BDT,https://chaldn.com/_mpimage/bashundhara-kitchen-towel-rolls-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99748&q=best&v=1&m=400&webp=1,images/Bashundhara_Kitchen_Towel_Rolls_2_pcs.jpg
"Fresh Paper Napkins 13"" Perfumed (100X1 Ply) each",75,BDT,https://chaldn.com/_mpimage/fresh-paper-napkins-13-perfumed-100x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113125&q=best&v=1&m=400&webp=1,images/Fresh_Paper_Napkins_13_Perfumed_100X1_Ply_each.jpg
Bashundhara Kitchen Towel Rolls each,85,BDT,https://chaldn.com/_mpimage/bashundhara-kitchen-towel-rolls-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124786&q=best&v=1&m=400&webp=1,images/Bashundhara_Kitchen_Towel_Rolls_each.jpg
Fresh kitchen Towel Roll each,85,BDT,https://chaldn.com/_mpimage/fresh-kitchen-towel-roll-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D49743&q=best&v=1&m=400&webp=1,images/Fresh_kitchen_Towel_Roll_each.jpg
150 RFL Stainless Steel Net Spoon 33 cm each,105,BDT,https://chaldn.com/_mpimage/rfl-stainless-steel-net-spoon-33-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101027&q=best&v=1&m=400&webp=1,images/150_RFL_Stainless_Steel_Net_Spoon_33_cm_each.jpg
RFL Vegetable Washing Net 37 cm (Red) each,115,BDT,https://chaldn.com/_mpimage/rfl-vegetable-washing-net-37-cm-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132885&q=best&v=1&m=400&webp=1,images/RFL_Vegetable_Washing_Net_37_cm_Red_each.jpg
Npoly Vegetable Washing Net (Red) 36 cm each,70,BDT,https://chaldn.com/_mpimage/npoly-vegetable-washing-net-red-36-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115235&q=best&v=1&m=400&webp=1,images/Npoly_Vegetable_Washing_Net_Red_36_cm_each.jpg
RFL Plastic Dala Big (Red) each,240,BDT,https://chaldn.com/_mpimage/rfl-plastic-dala-big-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95531&q=best&v=1&m=400&webp=1,images/RFL_Plastic_Dala_Big_Red_each.jpg
"Bashundhara Paper Napkins 13"" Unscented 100 pcs",75,BDT,https://chaldn.com/_mpimage/bashundhara-paper-napkins-13-unscented-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164084&q=best&v=1&m=400&webp=1,images/Bashundhara_Paper_Napkins_13_Unscented_100_pcs.jpg
Rok Dishwashing Steel Scourer each,35,BDT,https://chaldn.com/_mpimage/rok-dishwashing-steel-scourer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132985&q=best&v=1&m=400&webp=1,images/Rok_Dishwashing_Steel_Scourer_each.jpg
