name,price,currency,image_url,image_location
Samurai Multi Functional Electric Cooker Pink (All Plastic) 1.8 ltr,1400,BDT,https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-pink-all-plastic-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186274&q=best&v=1&m=400&webp=1,images/Samurai_Multi_Functional_Electric_Cooker_Pink_All_Plastic_18_ltr.jpg
Samurai Multi Functional Electric Cooker Teal (All Plastic) 1.8 ltr,1400,BDT,https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-teal-all-plastic-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186273&q=best&v=1&m=400&webp=1,images/Samurai_Multi_Functional_Electric_Cooker_Teal_All_Plastic_18_ltr.jpg
Samurai Mosquito Bat White (Rechargeable) each,750,BDT,https://chaldn.com/_mpimage/samurai-mosquito-bat-white-rechargeable-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186268&q=best&v=1&m=400&webp=1,images/Samurai_Mosquito_Bat_White_Rechargeable_each.jpg
165 Stainless Steel Round Spoon Medium each,159,BDT,https://chaldn.com/_mpimage/stainless-steel-round-spoon-medium-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176970&q=best&v=1&m=400&webp=1,images/165_Stainless_Steel_Round_Spoon_Medium_each.jpg
Pureit Classic Germ Kill Kit 1500 ltr,800,BDT,https://chaldn.com/_mpimage/pureit-classic-germ-kill-kit-1500-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177904&q=best&v=1&m=400&webp=1,images/Pureit_Classic_Germ_Kill_Kit_1500_ltr.jpg
Vision Electric Kettle Glass (VIS-EK-016) 1.8 ltr,1500,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-glass-vis-ek-016-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185377&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_Glass_VIS-EK-016_18_ltr.jpg
Vision Electric Kettle Heavy Duty (VIS-EK-017) 5 ltr,2500,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-heavy-duty-vis-ek-017-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185376&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_Heavy_Duty_VIS-EK-017_5_ltr.jpg
Vision Electric Kettle (VIS-EK-008) 1.5 ltr,900,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-vis-ek-008-15-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185374&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_VIS-EK-008_15_ltr.jpg
Vision Electric Kettle (VIS-EK-005) 1.8 ltr,1000,BDT,https://chaldn.com/_mpimage/vision-electric-kettle-vis-ek-005-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185373&q=best&v=1&m=400&webp=1,images/Vision_Electric_Kettle_VIS-EK-005_18_ltr.jpg
RFL Topper Nonstick Glamour Fry Pan With Lid (Ash) 28 cm,1540,BDT,https://chaldn.com/_mpimage/rfl-topper-nonstick-glamour-fry-pan-with-lid-ash-28-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185170&q=best&v=1&m=400&webp=1,images/RFL_Topper_Nonstick_Glamour_Fry_Pan_With_Lid_Ash_28_cm.jpg
