name,price,currency,image_url,image_location
Jackly Hardware Tools each,249,BDT,https://chaldn.com/_mpimage/jackly-hardware-tools-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107294&q=best&v=1&m=400&webp=1,images/Jackly_Hardware_Tools_each.jpg
Quality Clipper Nail Cutter each,122,BDT,https://chaldn.com/_mpimage/quality-clipper-nail-cutter-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112352&q=best&v=1&m=400&webp=1,images/Quality_Clipper_Nail_Cutter_each.jpg
Stainless Steel Windbreak Clip 20 pcs,155,BDT,https://chaldn.com/_mpimage/stainless-steel-windbreak-clip-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177498&q=best&v=1&m=400&webp=1,images/Stainless_Steel_Windbreak_Clip_20_pcs.jpg
490 Portable Digital Weight Scale,439,BDT,https://chaldn.com/_mpimage/portable-digital-weight-scale?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132212&q=best&v=1&m=400&webp=1,images/490_Portable_Digital_Weight_Scale.jpg
Glue Gun Stick 11 inch White 5 pcs,100,BDT,https://chaldn.com/_mpimage/glue-gun-stick-11-inch-white-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114898&q=best&v=1&m=400&m=400&webp=1,images/Glue_Gun_Stick_11_inch_White_5_pcs.jpg
520 Can & Bottle Opener each,269,BDT,https://chaldn.com/_mpimage/can-bottle-opener-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126584&q=best&v=1&m=400&webp=1,images/520_Can__Bottle_Opener_each.jpg
Cutting Pliers (Red & Black) each,426,BDT,https://chaldn.com/_mpimage/cutting-pliers-red-black-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133283&q=best&v=1&m=400&webp=1,images/Cutting_Pliers_Red__Black_each.jpg
Feather Paint Brush each,139,BDT,https://chaldn.com/_mpimage/feather-paint-brush-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128445&q=best&v=1&m=400&webp=1,images/Feather_Paint_Brush_each.jpg
250 Nail Cutter each,199,BDT,https://chaldn.com/_mpimage/nail-cutter-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138662&q=best&v=1&m=400&webp=1,images/250_Nail_Cutter_each.jpg
Mobaj Premium 7 Levers Lock each,899,BDT,https://chaldn.com/_mpimage/mobaj-premium-7-levers-lock-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130791&q=best&v=1&m=400&m=400&webp=1,images/Mobaj_Premium_7_Levers_Lock_each.jpg
Stainless Steel Rice Spoon each,197,BDT,https://chaldn.com/_mpimage/stainless-steel-rice-spoon-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135005&q=low&v=1&m=400&webp=1,images/Stainless_Steel_Rice_Spoon_each.jpg
