name,price,currency,image_url,image_location
SMC Orsaline-N 25 pcs,150,BDT,https://chaldn.com/_mpimage/smc-orsaline-n-25-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D61695&q=best&v=1&m=400&webp=1,images/SMC_Orsaline-N_25_pcs.jpg
ACI Savlon Antiseptic Liquid 56 ml,45,BDT,https://chaldn.com/_mpimage/aci-savlon-antiseptic-liquid-56-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181711&q=best&v=1&m=400&webp=1,images/ACI_Savlon_Antiseptic_Liquid_56_ml.jpg
Dettol Antiseptic Disinfectant Liquid 100 ml,60,BDT,https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155575&q=best&v=1&m=400&webp=1,images/Dettol_Antiseptic_Disinfectant_Liquid_100_ml.jpg
1200 ACI Savlon Antiseptic 5 ltr,1149,BDT,https://chaldn.com/_mpimage/aci-savlon-antiseptic-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181735&q=best&v=1&m=400&webp=1,images/1200_ACI_Savlon_Antiseptic_5_ltr.jpg
ACI Savlon Liquid Antiseptic 1000 ml,280,BDT,https://chaldn.com/_mpimage/aci-savlon-liquid-antiseptic-1000-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181725&q=best&v=1&m=400&webp=1,images/ACI_Savlon_Liquid_Antiseptic_1000_ml.jpg
ACI Savlon Liquid Antiseptic 500 ml,175,BDT,https://chaldn.com/_mpimage/aci-savlon-liquid-antiseptic-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181728&q=best&v=1&m=400&webp=1,images/ACI_Savlon_Liquid_Antiseptic_500_ml.jpg
Alcohol Prep Pads 100 pcs,155,BDT,https://chaldn.com/_mpimage/alcohol-prep-pads-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123212&q=best&v=1&m=400&webp=1,images/Alcohol_Prep_Pads_100_pcs.jpg
Himani Fast Relief 50 ml,500,BDT,https://chaldn.com/_mpimage/himani-fast-relief-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103606&q=best&v=1&m=400&m=400&webp=1,images/Himani_Fast_Relief_50_ml.jpg
Hexisol Hand Rub 50 ml,55,BDT,https://chaldn.com/_mpimage/hexisol-hand-rub-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129219&q=best&v=1&m=400&webp=1,images/Hexisol_Hand_Rub_50_ml.jpg
Hexisol Hand Rub 250 ml,140,BDT,https://chaldn.com/_mpimage/hexisol-hand-rub-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103093&q=best&v=1&m=400&webp=1,images/Hexisol_Hand_Rub_250_ml.jpg
Dettol Antiseptic Disinfectant Liquid 500 ml,175,BDT,https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154668&q=best&v=1&m=400&webp=1,images/Dettol_Antiseptic_Disinfectant_Liquid_500_ml.jpg
Dettol Antiseptic Disinfectant Liquid 5 ltr,1500,BDT,https://chaldn.com/_mpimage/dettol-antiseptic-disinfectant-liquid-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184817&q=best&v=1&m=400&webp=1,images/Dettol_Antiseptic_Disinfectant_Liquid_5_ltr.jpg
