name,price,currency,image_url,image_location
Dettol Fresh Liquid Handwash Refill 170 ml,80,BDT,https://chaldn.com/_mpimage/dettol-fresh-liquid-handwash-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121869&q=best&v=1&m=400&webp=1,images/Dettol_Fresh_Liquid_Handwash_Refill_170_ml.jpg
Dettol Fresh Liquid Handwash Pump 200 ml,110,BDT,https://chaldn.com/_mpimage/dettol-fresh-liquid-handwash-pump-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134132&q=best&v=1&m=400&webp=1,images/Dettol_Fresh_Liquid_Handwash_Pump_200_ml.jpg
Dettol Handwash Original Liquid Refill 170 ml,80,BDT,https://chaldn.com/_mpimage/dettol-handwash-original-liquid-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160588&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Original_Liquid_Refill_170_ml.jpg
Dettol Handwash Original Liquid Pump 200 ml,110,BDT,https://chaldn.com/_mpimage/dettol-handwash-original-liquid-pump-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146326&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Original_Liquid_Pump_200_ml.jpg
Dettol Handwash Skincare Liquid Refill 170 ml,80,BDT,https://chaldn.com/_mpimage/dettol-handwash-skincare-liquid-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114827&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Skincare_Liquid_Refill_170_ml.jpg
ACI Savlon Ocean Blue Antiseptic Handwash Refill 170 ml,80,BDT,https://chaldn.com/_mpimage/aci-savlon-ocean-blue-antiseptic-handwash-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146333&q=best&v=1&m=400&webp=1,images/ACI_Savlon_Ocean_Blue_Antiseptic_Handwash_Refill_170_ml.jpg
Dettol Handwash Re-Energize Liquid Refill 750 ml,270,BDT,https://chaldn.com/_mpimage/dettol-handwash-re-energize-liquid-refill-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179243&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Re-Energize_Liquid_Refill_750_ml.jpg
Savlon Instant Hand Sanitizer 200 ml,200,BDT,https://chaldn.com/_mpimage/savlon-instant-hand-sanitizer-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75306&q=best&v=1&m=400&m=400&webp=1,images/Savlon_Instant_Hand_Sanitizer_200_ml.jpg
Savlon Hand Sanitizer 50 ml,80,BDT,https://chaldn.com/_mpimage/savlon-hand-sanitizer-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133231&q=best&v=1&m=400&m=400&webp=1,images/Savlon_Hand_Sanitizer_50_ml.jpg
Dettol Handwash Re-Energize Liquid 5 ltr,1400,BDT,https://chaldn.com/_mpimage/dettol-handwash-re-energize-liquid-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186627&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Re-Energize_Liquid_5_ltr.jpg
Hexisol Hand Rub 50 ml,55,BDT,https://chaldn.com/_mpimage/hexisol-hand-rub-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129219&q=best&v=1&m=400&webp=1,images/Hexisol_Hand_Rub_50_ml.jpg
Hexisol Hand Rub 250 ml,140,BDT,https://chaldn.com/_mpimage/hexisol-hand-rub-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103093&q=best&v=1&m=400&webp=1,images/Hexisol_Hand_Rub_250_ml.jpg
Sepnil Instant Hand Sanitizer 40 ml,80,BDT,https://chaldn.com/_mpimage/sepnil-instant-hand-sanitizer-40-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D60016&q=best&v=1&m=400&webp=1,images/Sepnil_Instant_Hand_Sanitizer_40_ml.jpg
Dettol Handwash Aloe Vera Liquid Pump 200 ml,110,BDT,https://chaldn.com/_mpimage/dettol-handwash-aloe-vera-liquid-pump-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184818&q=best&v=1&m=400&m=400&webp=1,images/Dettol_Handwash_Aloe_Vera_Liquid_Pump_200_ml.jpg
Dettol Handwash Aloe Vera Liquid Refill 170 ml,80,BDT,https://chaldn.com/_mpimage/dettol-handwash-aloe-vera-liquid-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114828&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Aloe_Vera_Liquid_Refill_170_ml.jpg
Sepnil Instant Hand Sanitizer 200 ml,250,BDT,https://chaldn.com/_mpimage/sepnil-instant-hand-sanitizer-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178322&q=best&v=1&m=400&webp=1,images/Sepnil_Instant_Hand_Sanitizer_200_ml.jpg
Dettol Handwash Cool Liquid Refill 170 ml,80,BDT,https://chaldn.com/_mpimage/dettol-handwash-cool-liquid-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114788&q=best&v=1&m=400&m=400&webp=1,images/Dettol_Handwash_Cool_Liquid_Refill_170_ml.jpg
Dettol Handwash Cool Liquid Pump 200 ml,110,BDT,https://chaldn.com/_mpimage/dettol-handwash-cool-liquid-pump-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112224&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Cool_Liquid_Pump_200_ml.jpg
Dettol Handwash Skincare Liquid Pump 200 ml,110,BDT,https://chaldn.com/_mpimage/dettol-handwash-skincare-liquid-pump-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112103&q=best&v=1&m=400&webp=1,images/Dettol_Handwash_Skincare_Liquid_Pump_200_ml.jpg
Lifebuoy Handwash Total Pump 200 ml,120,BDT,https://chaldn.com/_mpimage/lifebuoy-handwash-total-pump-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161166&q=best&v=1&m=400&webp=1,images/Lifebuoy_Handwash_Total_Pump_200_ml.jpg
