name,price,currency,image_url,image_location
60 Sagudana 200 gm,49,BDT,https://chaldn.com/_mpimage/sagudana-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47075&q=best&v=1&m=400&m=400&webp=1,images/60_Sagudana_200_gm.jpg
ACI Fruit Sal Tasty Saline 1 Box 20 pcs,140,BDT,https://chaldn.com/_mpimage/aci-fruit-sal-tasty-saline-1-box-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176300&q=best&v=1&m=400&webp=1,images/ACI_Fruit_Sal_Tasty_Saline_1_Box_20_pcs.jpg
Eno Digestive Orange Flavour 30 pcs 150 gm,450,BDT,https://chaldn.com/_mpimage/eno-digestive-orange-flavour-30-pcs-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124279&q=best&v=1&m=400&webp=1,images/Eno_Digestive_Orange_Flavour_30_pcs_150_gm.jpg
Eno Digestive Lemon Flavour 30 pcs 150 gm,450,BDT,https://chaldn.com/_mpimage/eno-digestive-lemon-flavour-30-pcs-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124278&q=best&v=1&m=400&webp=1,images/Eno_Digestive_Lemon_Flavour_30_pcs_150_gm.jpg
Farmer's Gold Rose Petal Powder 25 gm,150,BDT,https://chaldn.com/_mpimage/farmers-gold-rose-petal-powder-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128404&q=best&v=1&m=400&m=400&webp=1,images/Farmers_Gold_Rose_Petal_Powder_25_gm.jpg
Hajmola Borhani 100 Tablets 74 gm,110,BDT,https://chaldn.com/_mpimage/hajmola-borhani-100-tablets-74-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86099&q=best&v=1&m=400&webp=1,images/Hajmola_Borhani_100_Tablets_74_gm.jpg
Eno Orange Flavor 5 pcs,75,BDT,https://chaldn.com/_mpimage/eno-orange-flavor-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108644&q=best&v=1&m=400&webp=1,images/Eno_Orange_Flavor_5_pcs.jpg
Sajeeb Pure Psyllium Husk (Isubgul Vushi) 75 gm,175,BDT,https://chaldn.com/_mpimage/sajeeb-pure-psyllium-husk-isubgul-vushi-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138686&q=best&v=1&m=400&webp=1,images/Sajeeb_Pure_Psyllium_Husk_Isubgul_Vushi_75_gm.jpg
Hajmola Regular 90 Tablets 68 gm,110,BDT,https://chaldn.com/_mpimage/hajmola-regular-90-tablets-68-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86101&q=best&v=1&m=400&webp=1,images/Hajmola_Regular_90_Tablets_68_gm.jpg
179 Psyllium Husk (Isubgul Vushi) 100 gm,159,BDT,https://chaldn.com/_mpimage/psyllium-husk-isubgul-vushi-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180793&q=best&v=1&m=400&webp=1,images/179_Psyllium_Husk_Isubgul_Vushi_100_gm.jpg
Dabur Chyawanprash Awaleha 500 gm,600,BDT,https://chaldn.com/_mpimage/dabur-chyawanprash-awaleha-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158180&q=best&v=1&m=400&webp=1,images/Dabur_Chyawanprash_Awaleha_500_gm.jpg
