name,price,currency,image_url,image_location
Golden Grain Chia Seed 100 gm,95,BDT,https://chaldn.com/_mpimage/golden-grain-chia-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187934&q=best&v=1&m=400&webp=1,images/Golden_Grain_Chia_Seed_100_gm.jpg
Golden Grain White Sesame Seed (Til) 100 gm,85,BDT,https://chaldn.com/_mpimage/golden-grain-white-sesame-seed-til-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D187935&q=best&v=1&m=400&webp=1,images/Golden_Grain_White_Sesame_Seed_Til_100_gm.jpg
39 Lomba Lebu (Long Lemon) 4 pcs,29,BDT,https://chaldn.com/_mpimage/lomba-lebu-long-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64362&q=low&v=1&m=400&webp=1,images/39_Lomba_Lebu_Long_Lemon_4_pcs.jpg
Aarong Dairy Sour Curd 500 gm,120,BDT,https://chaldn.com/_mpimage/aarong-dairy-sour-curd-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77433&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Sour_Curd_500_gm.jpg
Duck Eggs (Hasher Dim) 6 pcs,115,BDT,https://chaldn.com/_mpimage/duck-eggs-hasher-dim-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79970&q=best&v=1&m=400&m=400&webp=1,images/Duck_Eggs_Hasher_Dim_6_pcs.jpg
95 Quail Eggs 20 pcs,89,BDT,https://chaldn.com/_mpimage/quail-eggs-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79220&q=best&v=1&m=400&webp=1,images/95_Quail_Eggs_20_pcs.jpg
Aarong Dairy Austagram Cheese 200 gm,190,BDT,https://chaldn.com/_mpimage/aarong-dairy-austagram-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47612&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Austagram_Cheese_200_gm.jpg
Bengal Meat Beef Keema ± 50 gm 1 kg,1050,BDT,https://chaldn.com/_mpimage/bengal-meat-beef-keema-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74668&q=best&v=1&m=400&m=400&webp=1,images/Bengal_Meat_Beef_Keema__50_gm_1_kg.jpg
Best's Mushroom Choice Whole Tin 425 gm,182,BDT,https://chaldn.com/_mpimage/bests-mushroom-choice-whole-tin-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125750&q=best&v=1&m=400&webp=1,images/Bests_Mushroom_Choice_Whole_Tin_425_gm.jpg
Koral Fish After Cutting ± 50 gm 1 kg,1059,BDT,https://chaldn.com/_mpimage/koral-fish-after-cutting-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175500&q=best&v=1&m=400&m=400&webp=1,images/Koral_Fish_After_Cutting__50_gm_1_kg.jpg
199 Walnuts (Akhrot) 100 gm,179,BDT,https://chaldn.com/_mpimage/walnuts-akhrot-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184610&q=best&v=1&m=400&webp=1,images/199_Walnuts_Akhrot_100_gm.jpg
49 Peanut Peeled (Vaja Cheena Badam) 100 gm,45,BDT,https://chaldn.com/_mpimage/peanut-peeled-vaja-cheena-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184613&q=best&v=1&m=400&webp=1,images/49_Peanut_Peeled_Vaja_Cheena_Badam_100_gm.jpg
199 Cashew Nut (Kaju Badam) 100 gm,189,BDT,https://chaldn.com/_mpimage/cashew-nut-kaju-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184612&q=best&v=1&m=400&m=400&webp=1,images/199_Cashew_Nut_Kaju_Badam_100_gm.jpg
Brooke Bond Taaza Black Tea 400 gm,250,BDT,https://chaldn.com/_mpimage/brooke-bond-taaza-black-tea-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162455&q=best&v=1&m=400&webp=1,images/Brooke_Bond_Taaza_Black_Tea_400_gm.jpg
89 Chia Seed 100 gm,59,BDT,https://chaldn.com/_mpimage/chia-seed-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D78545&q=best&v=1&m=400&webp=1,images/89_Chia_Seed_100_gm.jpg
Nestle Nescafe Classic Instant Coffee Jar 45 gm,275,BDT,https://chaldn.com/_mpimage/nestle-nescafe-classic-instant-coffee-jar-45-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161347&q=best&v=1&m=400&webp=1,images/Nestle_Nescafe_Classic_Instant_Coffee_Jar_45_gm.jpg
Kazi & Kazi Organic Green Tea 40 pcs 60 gm,215,BDT,https://chaldn.com/_mpimage/kazi-kazi-organic-green-tea-40-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108206&q=best&v=1&m=400&webp=1,images/Kazi__Kazi_Organic_Green_Tea_40_pcs_60_gm.jpg
White Sesame Seed (Til) 100 gm,49,BDT,https://chaldn.com/_mpimage/white-sesame-seed-til-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184017&q=best&v=1&m=400&webp=1,images/White_Sesame_Seed_Til_100_gm.jpg
Clariss Olive Oil Pomace Glass Bottle 250 ml,495,BDT,https://chaldn.com/_mpimage/clariss-olive-oil-pomace-glass-bottle-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93952&q=best&v=1&m=400&webp=1,images/Clariss_Olive_Oil_Pomace_Glass_Bottle_250_ml.jpg
Luglio Pomace Olive Oil 500 ml,475,BDT,https://chaldn.com/_mpimage/luglio-pomace-olive-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130406&q=best&v=1&m=400&webp=1,images/Luglio_Pomace_Olive_Oil_500_ml.jpg
Amul Dark Chocolate Minis Gable Pouch 100 gm,469,BDT,https://chaldn.com/_mpimage/amul-dark-chocolate-minis-gable-pouch-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D72183&q=best&v=1&m=400&m=400&webp=1,images/Amul_Dark_Chocolate_Minis_Gable_Pouch_100_gm.jpg
Vivo Ambient Whip Topping with Vegetable Fat 1100 gm,736,BDT,https://chaldn.com/_mpimage/vivo-ambient-whip-topping-with-vegetable-fat-1100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137073&q=best&v=1&m=400&webp=1,images/Vivo_Ambient_Whip_Topping_with_Vegetable_Fat_1100_gm.jpg
Saffola Honey 500 gm,430,BDT,https://chaldn.com/_mpimage/saffola-honey-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124808&q=best&v=1&m=400&webp=1,images/Saffola_Honey_500_gm.jpg
Grand'Or UHT Cooking Cream 1000 gm,1550,BDT,https://chaldn.com/_mpimage/grandor-uht-cooking-cream-1000-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128959&q=best&v=1&m=400&webp=1,images/GrandOr_UHT_Cooking_Cream_1000_gm.jpg
Lactima Slice Cheese (12 Slice) 200 gm,510,BDT,https://chaldn.com/_mpimage/lactima-slice-cheese-12-slice-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129932&q=best&v=1&m=400&m=400&webp=1,images/Lactima_Slice_Cheese_12_Slice_200_gm.jpg
Eru Slice Cheese Cheddar Herb (8 Slice) 150 gm,790,BDT,https://chaldn.com/_mpimage/eru-slice-cheese-cheddar-herb-8-slice-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108680&q=best&v=1&m=400&webp=1,images/Eru_Slice_Cheese_Cheddar_Herb_8_Slice_150_gm.jpg
Ispahani Blender's Choice Premium Green Tea Bag 70 gm 50 pcs,205,BDT,https://chaldn.com/_mpimage/ispahani-blenders-choice-premium-green-tea-bag-70-gm-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107163&q=best&v=1&m=400&m=400&webp=1,images/Ispahani_Blenders_Choice_Premium_Green_Tea_Bag_70_gm_50_pcs.jpg
Ceylon Organic Extra Virgin Coconut Oil 500 ml,1590,BDT,https://chaldn.com/_mpimage/ceylon-organic-extra-virgin-coconut-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126647&q=best&v=1&m=400&webp=1,images/Ceylon_Organic_Extra_Virgin_Coconut_Oil_500_ml.jpg
Hibiscus Premium Whole Baby Corn In Brine 425 gm,360,BDT,https://chaldn.com/_mpimage/hibiscus-premium-whole-baby-corn-in-brine-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103095&q=best&v=1&m=400&webp=1,images/Hibiscus_Premium_Whole_Baby_Corn_In_Brine_425_gm.jpg
Welcome Light Meat Tuna In Sunflower Oil (Flake) 170 gm,190,BDT,https://chaldn.com/_mpimage/welcome-light-meat-tuna-in-sunflower-oil-flake-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D60408&q=low&v=1&m=400&m=400&webp=1,images/Welcome_Light_Meat_Tuna_In_Sunflower_Oil_Flake_170_gm.jpg
BPM White Till 200 gm,90,BDT,https://chaldn.com/_mpimage/bpm-white-till-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52502&q=best&v=1&m=400&webp=1,images/BPM_White_Till_200_gm.jpg
Nut Candy Wasabi Coated Green Peas 180 gm,550,BDT,https://chaldn.com/_mpimage/nut-candy-wasabi-coated-green-peas-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131468&q=best&v=1&m=400&webp=1,images/Nut_Candy_Wasabi_Coated_Green_Peas_180_gm.jpg
Lipton Green Tea Bag Honey and Lemon 50 pcs,150,BDT,https://chaldn.com/_mpimage/lipton-green-tea-bag-honey-and-lemon-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93326&q=best&v=1&m=400&m=400&webp=1,images/Lipton_Green_Tea_Bag_Honey_and_Lemon_50_pcs.jpg
Aarong Dairy Cheese Spread Garlic 180 gm,300,BDT,https://chaldn.com/_mpimage/aarong-dairy-cheese-spread-garlic-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122744&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Cheese_Spread_Garlic_180_gm.jpg
Aarong Dairy Cheese Spread Classic 180 gm,290,BDT,https://chaldn.com/_mpimage/aarong-dairy-cheese-spread-classic-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101670&q=best&v=1&m=400&webp=1,images/Aarong_Dairy_Cheese_Spread_Classic_180_gm.jpg
Hosen Mushroom Choice Whole Can 425 gm,350,BDT,https://chaldn.com/_mpimage/hosen-mushroom-choice-whole-can-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92521&q=best&v=1&m=400&webp=1,images/Hosen_Mushroom_Choice_Whole_Can_425_gm.jpg
275 Hosen Green Peas Choice Whole Can 397 gm,200,BDT,https://chaldn.com/_mpimage/hosen-green-peas-choice-whole-can-397-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129337&q=best&v=1&m=400&m=400&webp=1,images/275_Hosen_Green_Peas_Choice_Whole_Can_397_gm.jpg
Ispahani Blender's Choice Premium Green Tea 35 gm 25 pcs,110,BDT,https://chaldn.com/_mpimage/ispahani-blenders-choice-premium-green-tea-35-gm-25-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107156&q=best&v=1&m=400&webp=1,images/Ispahani_Blenders_Choice_Premium_Green_Tea_35_gm_25_pcs.jpg
680 Almarai Spreadable Cream Cheese 200 gm,619,BDT,https://chaldn.com/_mpimage/almarai-spreadable-cream-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175776&q=best&v=1&m=400&webp=1,images/680_Almarai_Spreadable_Cream_Cheese_200_gm.jpg
Twinings Green Tea & Lemon 25 Tea bags each,850,BDT,https://chaldn.com/_mpimage/twinings-green-tea-lemon-25-tea-bags-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136601&q=best&v=1&m=400&m=400&webp=1,images/Twinings_Green_Tea__Lemon_25_Tea_bags_each.jpg
Figaro Pitted Black Olive 340 gm,395,BDT,https://chaldn.com/_mpimage/figaro-pitted-black-olive-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109282&q=best&v=1&m=400&webp=1,images/Figaro_Pitted_Black_Olive_340_gm.jpg
Mozzarella Cheese 250 gm,270,BDT,https://chaldn.com/_mpimage/mozzarella-cheese-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47623&q=best&v=1&m=400&webp=1,images/Mozzarella_Cheese_250_gm.jpg
